page_url,ranking
amzn1.account.AFC27MA3IX3LOZP3PIE2JJZCAAJA,75930
amzn1.account.AFC27MA3IX3LOZP3PIE2JJZCAAJA,75930
amzn1.account.AEZHF6LRP2OCYZ67Z2JB76DWW4EA,1983973
amzn1.account.AETPARPSBO7IF27YPLOAO64S6F3Q,35365
amzn1.account.AGVYWVD3CUHJTFJS4YDOU5KYMWNQ,2342886
amzn1.account.AHSSHPP7VQRWVDRV2SX3DGX5MELA,480352
amzn1.account.AHXT7HF2TQLZTIDAWLVMPLV3KLPA,2561152
,
amzn1.account.AG55TGF2ABTAE2MQ6XKJZJNBT75Q,1995376
amzn1.account.AEAZ6YYSQKQYI2KHEZQUYO7GCA5A,98646
amzn1.account.AGPS74J2JVQMHLPGYKT2RESYV6NA,24433
amzn1.account.AGCCASQVUHJMZP3FIK6L4UO72FNQ,3675
amzn1.account.AEK3Y7BPE2HRXVFMXLH57SBHVH4A,166144
amzn1.account.AGT55FVUVG64BTMGGZ2LZGX7NNZA,3153077
amzn1.account.AEORHVIBAWHUO7JWEGFDVP3Q4Q4Q,235294
amzn1.account.AFT4N7Z5HHCHOPIXFEX5DTI6QOFA,66558
amzn1.account.AEZHF6LRP2OCYZ67Z2JB76DWW4EA,1983973
amzn1.account.AETPARPSBO7IF27YPLOAO64S6F3Q,35365
amzn1.account.AHCUCEF5L22FYAI23YYMC7MMGDSA,865342
amzn1.account.AGVYWVD3CUHJTFJS4YDOU5KYMWNQ,2342886
amzn1.account.AHXT7HF2TQLZTIDAWLVMPLV3KLPA,2561152
amzn1.account.AG55TGF2ABTAE2MQ6XKJZJNBT75Q,1995376
amzn1.account.AEPSUN6ZXEMOGNN7D444XUX3K2JA,2049
amzn1.account.AGPS74J2JVQMHLPGYKT2RESYV6NA,24433
amzn1.account.AFLB355HGNA4SMHGF6CGUNXKRROQ,6060173
amzn1.account.AEK3Y7BPE2HRXVFMXLH57SBHVH4A,166144
amzn1.account.AGT55FVUVG64BTMGGZ2LZGX7NNZA,3153077
amzn1.account.AFT4N7Z5HHCHOPIXFEX5DTI6QOFA,66558
amzn1.account.AGU5NIFR7CBXQNHNDCCJOHYYCSPA,4679828
amzn1.account.AGWO4XUECAQ6ZOJCDSSWRDQTSG7Q,6689
amzn1.account.AEFAQ6P3J22UYWBZAMX4VX74BZCA,13905
amzn1.account.AHFMBPQYPQZAR4QN4JH5TDR4WSIA,1050785
amzn1.account.AGXMXRDQNAF6FU3UJL77OUYSU6XA,2288122
amzn1.account.AFN2ODMZ7ZSSWLOYOABHVDUZVV6Q,33849
amzn1.account.AEDHKYOBWWAHV3ZMI74CGHVBPNYA,21998143
amzn1.account.AE447E2RM3FLYHQYXZSH2N5R2UVQ,6946
amzn1.account.AGYWWQWTLPTITBQXLMAXAWWSZETA,445598
amzn1.account.AH2MJYAVGU3S5FPBLLK6QUSBQ2EQ,832707
amzn1.account.AFKVRQTXLQ774WOVKYJKMQHQ7I5Q,28613
amzn1.account.AEBHW2MDOZFO7DXUWKPGHRMBMJQA,178048
amzn1.account.AEEZJHLNNODTKJQNAN3PZKFH7XJQ,1559457
amzn1.account.AEZWSR5NOMG3R222FSJ3CTSSNZTQ,6682802
amzn1.account.AFNR4KYYREFTP4JPYN7QXWJIMYVA,2409162
amzn1.account.AFYZZPLQEP2TNUQIEOITVHORRBPA,1166020
amzn1.account.AFDVVDFM22MPE6ECDXFK4CQLSACA,262843
amzn1.account.AHA3NE6AVDPSZ5OBGRKZFRQ5CIIA,21113830
amzn1.account.AFSWVWUY3TX73N74JJZWHHEJCLOA,543025
amzn1.account.AFZPCSYFMMS2QRKIFOMWCPG7WSGA,2667796
amzn1.account.AESKCORU4TVBXJK6XSROCKSGFSKQ,1227448
amzn1.account.AHKG4PEEVRY7ZY4IRPYYPYLLWCFQ,203840
amzn1.account.AHKZYZCEADCSP4OMX7VAZ6TRAF5Q,1406092
