helpful_votes,page_url,total_review,visibility_status
"3,809",amzn1.account.AF33BGX44LYLOF4WBHSXOBHHGRYA,376,Public
805,amzn1.account.AEZISTWAYF7UYJJK366OUOM7RV4Q,152,Public
"1,128",amzn1.account.AHW5U5ZXHXZIEWVNM3RM2PNNGSVA,123,Public
"5,766",amzn1.account.AGLIMVXSGKMCYPX2E4IFUM3556LQ,"1,337",Public
473,amzn1.account.AFNOBNBYU4RNUQJNXFOZ5MIHU2VQ,24,Public
828,amzn1.account.AGT4HC3F634WAPURGT6WYPBQDD3A,110,Public
622,amzn1.account.AFDQQ7YTCQ4RIXJDYEHFQHQKJW7A,43,Public
342,amzn1.account.AFEANYXDPNRJ3DEFALXX3XUXZQPA,57,Public
77,amzn1.account.AEZJP7GPYCPGLYQRQ2JVOGCKKBGQ,2,Public
118,amzn1.account.AFCUVIC3UMMGPKO6FEY6AP3DAFIQ,51,Public
"3,809",amzn1.account.AF33BGX44LYLOF4WBHSXOBHHGRYA,376,Public
805,amzn1.account.AEZISTWAYF7UYJJK366OUOM7RV4Q,152,Public
"1,128",amzn1.account.AHW5U5ZXHXZIEWVNM3RM2PNNGSVA,123,Public
"5,766",amzn1.account.AGLIMVXSGKMCYPX2E4IFUM3556LQ,"1,337",Public
473,amzn1.account.AFNOBNBYU4RNUQJNXFOZ5MIHU2VQ,24,Public
828,amzn1.account.AGT4HC3F634WAPURGT6WYPBQDD3A,110,Public
622,amzn1.account.AFDQQ7YTCQ4RIXJDYEHFQHQKJW7A,43,Public
342,amzn1.account.AFEANYXDPNRJ3DEFALXX3XUXZQPA,57,Public
77,amzn1.account.AEZJP7GPYCPGLYQRQ2JVOGCKKBGQ,2,Public
118,amzn1.account.AFCUVIC3UMMGPKO6FEY6AP3DAFIQ,51,Public
"5,225",amzn1.account.AFUIFE5NYGOLMACNIDQ62MAIVGFQ,508,Public
84,amzn1.account.AFCPFPECKGWLBUK7C4FPY4FTRU2Q,26,Public
198,amzn1.account.AESNY2T4JJ3XI27RBMQABZAYW35Q,108,Public
"1,046",amzn1.account.AF32KXQ62LME5MBFIHUSCUQ2FBQA,333,Public
238,amzn1.account.AFF5QWULCMNYL77ZKTXH7QXX6K2Q,82,Public
510,amzn1.account.AHVQCRVXUHNA43WQWGFJKKCBNZHQ,631,Public
364,amzn1.account.AFKISVUIQG4XMSGMABGW35KDKVKA,135,Public
34,amzn1.account.AEBTKVC35ZUUXDYWCUKHIZAISYDA,23,Public
76,amzn1.account.AHI36IZCJYMINPZKNJN2W6YV7CZA,40,Public
163,amzn1.account.AHCVRU73GKGPF5FH6OHUXMH4US7A,25,Public
59,amzn1.account.AGKNVBIQYNCHCKBUVJL6LOX7DMMQ,35,Public
51,amzn1.account.AH5TWUWFD7N4NEA2AKMDPKSSTNDQ,19,Public
22,amzn1.account.AGKDCUOXO4SEHQZO2NJ2LN2JQD3Q,30,Public
