page_url,ranking
amzn1.account.AF33BGX44LYLOF4WBHSXOBHHGRYA,4758
amzn1.account.AEZISTWAYF7UYJJK366OUOM7RV4Q,12258
amzn1.account.AHW5U5ZXHXZIEWVNM3RM2PNNGSVA,60212
amzn1.account.AGLIMVXSGKMCYPX2E4IFUM3556LQ,613
amzn1.account.AFNOBNBYU4RNUQJNXFOZ5MIHU2VQ,1007629
amzn1.account.AGT4HC3F634WAPURGT6WYPBQDD3A,64819
amzn1.account.AFDQQ7YTCQ4RIXJDYEHFQHQKJW7A,135202
amzn1.account.AFEANYXDPNRJ3DEFALXX3XUXZQPA,343907
amzn1.account.AEZJP7GPYCPGLYQRQ2JVOGCKKBGQ,8597238
amzn1.account.AFCUVIC3UMMGPKO6FEY6AP3DAFIQ,2290986
amzn1.account.AF33BGX44LYLOF4WBHSXOBHHGRYA,4758
amzn1.account.AEZISTWAYF7UYJJK366OUOM7RV4Q,12258
amzn1.account.AHW5U5ZXHXZIEWVNM3RM2PNNGSVA,60212
amzn1.account.AGLIMVXSGKMCYPX2E4IFUM3556LQ,613
amzn1.account.AFNOBNBYU4RNUQJNXFOZ5MIHU2VQ,1007629
amzn1.account.AGT4HC3F634WAPURGT6WYPBQDD3A,64819
amzn1.account.AFDQQ7YTCQ4RIXJDYEHFQHQKJW7A,135202
amzn1.account.AFEANYXDPNRJ3DEFALXX3XUXZQPA,343907
amzn1.account.AEZJP7GPYCPGLYQRQ2JVOGCKKBGQ,8597238
amzn1.account.AFCUVIC3UMMGPKO6FEY6AP3DAFIQ,2290986
amzn1.account.AFUIFE5NYGOLMACNIDQ62MAIVGFQ,3382
amzn1.account.AFCPFPECKGWLBUK7C4FPY4FTRU2Q,1827141
amzn1.account.AESNY2T4JJ3XI27RBMQABZAYW35Q,166191
amzn1.account.AF32KXQ62LME5MBFIHUSCUQ2FBQA,50278
amzn1.account.AFF5QWULCMNYL77ZKTXH7QXX6K2Q,184445
amzn1.account.AHVQCRVXUHNA43WQWGFJKKCBNZHQ,6843
amzn1.account.AFKISVUIQG4XMSGMABGW35KDKVKA,291866
