page_url,ranking
amzn1.account.AH27QVL7N35XH67MFLSLRLFPZZ2A,213391
amzn1.account.AGW5QXFNP3QCB7WKOIJL4A6BCKQQ,419655
amzn1.account.AFQJQWAGXAWOME6VIQGJFBCVRJAA,2733033
amzn1.account.AFV6DBEHRLSVMGCIJW74J3EPNL2A,1168998
amzn1.account.AHE4Y3CYTBEOUE2ZFKSHQBXX4EHA,1600
amzn1.account.AGE57QCBZ4AB7ITBQCITMZXVFCCQ,40099
amzn1.account.AHDQEBCONNWHS5ZM5STID5FEREGQ,2518242
amzn1.account.AHO3NIRJJAZBDCC4XYHA65YZ2B3A,5414664
amzn1.account.AHUG2AFDDS6K7J2UVGAPJJHGZCLA,10955179
amzn1.account.AE6C6D6ECEL6BO7HTMIHDTOFU4EA,2975633
amzn1.account.AH27QVL7N35XH67MFLSLRLFPZZ2A,213391
amzn1.account.AGW5QXFNP3QCB7WKOIJL4A6BCKQQ,419655
amzn1.account.AFQJQWAGXAWOME6VIQGJFBCVRJAA,2733033
amzn1.account.AFV6DBEHRLSVMGCIJW74J3EPNL2A,1168998
amzn1.account.AHE4Y3CYTBEOUE2ZFKSHQBXX4EHA,1600
amzn1.account.AGE57QCBZ4AB7ITBQCITMZXVFCCQ,40099
amzn1.account.AHO3NIRJJAZBDCC4XYHA65YZ2B3A,5414664
amzn1.account.AHDQEBCONNWHS5ZM5STID5FEREGQ,2518242
amzn1.account.AE6C6D6ECEL6BO7HTMIHDTOFU4EA,2975633
amzn1.account.AHUG2AFDDS6K7J2UVGAPJJHGZCLA,10955179
amzn1.account.AEOEZMAE3HWAF273F5Q6CHMGOAUA,4519847
amzn1.account.AFZMSPWF5FH7CEU2URUDSSTTDFNQ,8133759
amzn1.account.AF63TR256J23BSAUDBW5LLDZHTKA,3013053
amzn1.account.AHB5OGJ55J6F73AKN4ORYG3YG7UA,252932
amzn1.account.AHXHNH7X3QLEO6ARWCQ5AIIPTVTA,880890
amzn1.account.AGN55B3KED3XY3JQPXOIFETPQQUQ,1931474
amzn1.account.AEXV2VRPJBT5AEVSTGNUB7C6CYCA,2203512
