page_url,ranking
amzn1.account.AHD74TTGYZGMDP36PI5B5QBO67LQ,847643
amzn1.account.AG5K5VFDSYSH3X7D7F7Z5CPWDLYQ,4847605
amzn1.account.AEK3YR4NR7DHT6CUV7SL4TVU2YOA,230896
amzn1.account.AF36MBXNIFZ3WJH3YX6UO3D53SVA,2695054
amzn1.account.AGTZHU4RS6JJJYUFR3KBIRMWT2MQ,3044488
amzn1.account.AGVKMVWYTWQEWYGAPDYPIXGVWOOA,328694
amzn1.account.AG5K5VFDSYSH3X7D7F7Z5CPWDLYQ,4847605
amzn1.account.AFTXDPDRIKYWSYP34BEQ7T5GYFIQ,2770805
amzn1.account.AEHVUZ7MG2XUEUGNRBOE3AV7DIDQ,816943
amzn1.account.AERWR73CNVUDY2C353TQ3BGBLTUQ,626677
amzn1.account.AGLJX2KCSDTAM6AGEZFO22ZVESHA,8809196
amzn1.account.AHXCAR6YYG64G4AWJL42QKCZBWWQ,5098225
amzn1.account.AGY6FF2YWKSZGSQFKPQVTOMZ2FOA,683251
amzn1.account.AEAJBOEY6Q4K5E64JMLD3VV2TDUQ,6469104
amzn1.account.AHMRIWPAQ7OZQ4NIQ6TMQDMNZORQ,1152985
amzn1.account.AEK3YR4NR7DHT6CUV7SL4TVU2YOA,230896
amzn1.account.AE7GABTLAFH52GWAZAJKYYTOSYBQ,721429
amzn1.account.AFLQVQPXCKUW7EOE2AW4LZREIJSA,929857
amzn1.account.AG4GUFUOH5WGNDNI3G6WONNCCIPA,8720625
amzn1.account.AFDEPPQCML5NMRFFJJZ2YLTRMQFQ,2514223
amzn1.account.AETDSAC6IJSNIH6BYQEMU3N47LBA,86422298
amzn1.account.AGOWLDPKGRO7WVH5E46HTWFYRZYA,9800520
amzn1.account.AEQ34DVV2TLH24GMYRDD4UZTXS7A,3058156
amzn1.account.AGVKMVWYTWQEWYGAPDYPIXGVWOOA,328694
amzn1.account.AERWR73CNVUDY2C353TQ3BGBLTUQ,626677
amzn1.account.AGSAHD2HQWWGCXU6T4DHGVP77PXA,3197571
amzn1.account.AGVJKR3PCEBXHARTDVZHDQGPJPOQ,1261317
amzn1.account.AFFHUDZLJ7WZBEL3AMHJGKLNYB2A,86617986
amzn1.account.AGVJKR3PCEBXHARTDVZHDQGPJPOQ,1261317
amzn1.account.AHD74TTGYZGMDP36PI5B5QBO67LQ,847643
amzn1.account.AFTXDPDRIKYWSYP34BEQ7T5GYFIQ,2770805
amzn1.account.AF36MBXNIFZ3WJH3YX6UO3D53SVA,2695054
amzn1.account.AEJSV5Y6RDFWLLMRPHJ4UC3HTDXQ,136517
amzn1.account.AGB4LUQ7EDDU6XRQOU47U2T3GIAQ,236528
amzn1.account.AE5VQ3HYWNSVSP44C4Z64OM6N66Q,3311036
amzn1.account.AHFYDV3P752ECMH2LRNACR43SWCQ,76801
amzn1.account.AGQCQ73IMVF3LV3L7PC4I7MKBLTA,4999177
amzn1.account.AHQEFSI2PJZ4JC25PWLIBLLNTZBQ,399424
amzn1.account.AEXNMP3JQC4WNESMBAAOUZ3RV2RQ,1705931
amzn1.account.AHSKZ7FMLT3A4ITO4BQ6TWBKCETA,15011508
amzn1.account.AHQEFSI2PJZ4JC25PWLIBLLNTZBQ,399424
amzn1.account.AHSWHRB4S3WSVKXWBHFSRSK4YAGQ,419529
amzn1.account.AGRG3MKCS7DMPHYZZ2RYEG5G4RYA,8351757
amzn1.account.AHJFPO4SEMD5AY2O2FSXB3GPBSSA,1980104
amzn1.account.AGIV42742RECBQ5NAJSLMQKI27IA,665030
amzn1.account.AFWQVRKGAPY2AZ3PZRSYADUN3ELQ,24012256
amzn1.account.AH6XMDCGSQLSBHXXCAVHTD5LMBMA,914514
amzn1.account.AGXXQYERLI7LD7WRYZFCFYBJC7WA,21509
amzn1.account.AEXNMP3JQC4WNESMBAAOUZ3RV2RQ,1705931
amzn1.account.AFNFSX3674WRTEC7WE5OVETTC5YA,22480305
amzn1.account.AGL2EM7N5GB3D64G6ITVPBEPRGPQ,3635694
amzn1.account.AHZ44MJ7TKUTD2E7C36ZPAXU3L2A,704134
amzn1.account.AHZD3HDL32SJOPY6TGANYMBKYDNQ,33613
amzn1.account.AEGOTTZ242CIICSVF7IOW3TH3BVA,8564460
amzn1.account.AEXQPSN5VA5E7YGMJ5S23TYSI3OQ,616945
amzn1.account.AFTGTNKXGZG4RTNIGPSINE2654FQ,12032435
amzn1.account.AFEVR7BXOT7HMKOOEG55EESXXS6A,173433
amzn1.account.AHDSBMSUBG45X7UQERBAUXFTVHLA,521687
amzn1.account.AEAWBZWIMTX5H2GVPY2F4EVDJ2OQ,8056202
amzn1.account.AH57QDCWV7TGO5Q6OFB7KUCMYGXQ,86746335
amzn1.account.AFTGTF6D2CSJJZ5LRQXGGSVUAUHQ,6077849
amzn1.account.AEOCCBHIUYCXIL7LQSJCWJ6KHSUQ,1069028
amzn1.account.AFV77ZJKVPARVK2D6JUC5OLUYYYQ,487246
amzn1.account.AFFDUYNR4HUPXCP6NBGXFMCIJJAA,462606
amzn1.account.AHJHLG63APKKUPRT6EPJIVMOORQA,663973
amzn1.account.AFSGOFU3AXVFOZC7EDXC5CJOCEUA,1269577
amzn1.account.AGPB7KYDUNTYEKNQTGM2YGOH22OQ,529640
amzn1.account.AEW6AOM6AOUPYJW2DFAGIJHIYUUQ,7062648
amzn1.account.AEPEJ6WUMB2OP5JIADKCRPMZMZCQ,659496
amzn1.account.AGNNPJYPPNCDGTRZCSEFX4IWQ47A,86216817
amzn1.account.AGR6PN5OTOZEYUQGUVUCWQVB2KTQ,1805005
amzn1.account.AE2M35VMDZOY5MIBBDQWHVDO2A7Q,25859
amzn1.account.AEDIQ5NQHFS62RORAOLSVUHEEDPA,488721
amzn1.account.AFA7VISE6CDG3JHBXGP4ZFM2JHVA,4255548
amzn1.account.AHQJK477SUPZJPOTK4GTYZVVY5FQ,6839942
amzn1.account.AFZDVJNTEZMZVL4AYPV4TKSL52OQ,33912664
amzn1.account.AEMRN3CD45FUR7KFVLGK7YJTGQ5A,7615797
amzn1.account.AHQJEE652BJCE2LRPNSDNVCYTH5Q,723569
amzn1.account.AEJBNVKOXPVSESMYLSOJC5BTDGHA,644812
amzn1.account.AFCJ7UCQCXEMGOTJI6SOBNTKON7A,8577032
amzn1.account.AGPXCCAMJEU2MEEUTITB2MGBEGEQ,128482
amzn1.account.AHXSJCLVZCCWCFWSGWFMNXA6FNTA,10622623
amzn1.account.AGRHWXCDTKYY23U3W2SL5IQXU7XA,2214057
amzn1.account.AETI5OIEJG3U6YFNDEIMU6T6C6UA,565542
amzn1.account.AHH7KFWUEDQ7RSIARIG5JTH3KYHA,4038194
amzn1.account.AEYZUWRCD23A2PE2UCQULCAQ3KKQ,2240081
amzn1.account.AETGSYFVXJSUULGILF7DP765HPSA,1788294
amzn1.account.AGCQKH3A7OHISLZMSPAQI7S5DZMQ,106451
amzn1.account.AEUFYGDI476JF3SHXUOOV7QVDTGA,17124826
amzn1.account.AEGI3GJHDLUYA5TUJBIEBVLQKFHA,1706419
amzn1.account.AFADN2K3R6PPXZ77J4MKLYWLY3AA,110896
amzn1.account.AHQZAFL6Q3HSXD2U4A5QHCPNSXSA,514516
amzn1.account.AEGQZAMDVMJWDNRH3DESROJIZKMA,836119
amzn1.account.AHVAW7IW6PSMVPS2MMYT6MKRB47Q,9804032
amzn1.account.AFVBYRUWNOFP3WFA7X5WESCTL6RA,2088143
amzn1.account.AFJ5RNUH3S7HAGCFHOVXOY2CJUAA,196395
amzn1.account.AGGKBSCHLI7DFPVZYE2ZGYYLKDOQ,6649501
amzn1.account.AF4V2QDP4EH23QJSPJE6AOMAPBEA,974577
amzn1.account.AFRFGNHS27HABGTXFOMFCBEGESNQ,2926497
amzn1.account.AEAIWE3CXNXQHTS4OGVYDNTELYVA,9641569
amzn1.account.AGE72LPOKQIC64OVVOZVQUPILOFA,5288425
amzn1.account.AE7672UOSI3TI3E3VOJVX6LTZWCA,3659613
amzn1.account.AE5BD3LE32HWQCVJSQVMHZ3MO77A,121297
amzn1.account.AGU7Y47FBV6UAKSMG4F525D3O64Q,1878740
amzn1.account.AETHJ57DRNPPXY7IM3I6SOHMO4MA,454884
amzn1.account.AEFRVLVJPZVPXJLFBLLVFGTKBSBA,5864
amzn1.account.AHXGC2GWNCZCIZ67JFIHOH6JKMTQ,1008562
amzn1.account.AG6NHSWBUY6O4BEF34GJQXDJLT5A,5856510
amzn1.account.AFWVFD6J5QAJGG2VI5HI3QRCWGQQ,88562
