page_url,ranking
amzn1.account.AFQSPUMI37HKDM3OGGVNYMYBINQA,2638
amzn1.account.AFJLSUUPHQVCMEWOFERHSUCQNSSQ,2190199
amzn1.account.AHPAAHRTIYJMDDIQBYLJT7EXDMSQ,41564
amzn1.account.AFA3AXHGDTQZEP7BUR7B5ZVLAT3A,36109
amzn1.account.AHBPRDGUF233AOLDC2MVMUVIEKSQ,196324
amzn1.account.AHBP6MZVXCBBDKAKHONTDVFX4Q3Q,273217
amzn1.account.AFJTR55HABQW4IWNZ253H2SC2P2A,204128
amzn1.account.AGJI7TTSMMLW3BN24IVQGAGZD25A,781866
amzn1.account.AFO5YPOLM7PAGRGZD7XQFL3HNT4Q,196700
amzn1.account.AH6JIGSGK5WYGKAB3BPY3BFXDBJQ,62519
amzn1.account.AFQSPUMI37HKDM3OGGVNYMYBINQA,2638
amzn1.account.AFJLSUUPHQVCMEWOFERHSUCQNSSQ,2190199
amzn1.account.AHPAAHRTIYJMDDIQBYLJT7EXDMSQ,41564
amzn1.account.AFA3AXHGDTQZEP7BUR7B5ZVLAT3A,36109
amzn1.account.AHBPRDGUF233AOLDC2MVMUVIEKSQ,196324
amzn1.account.AHBP6MZVXCBBDKAKHONTDVFX4Q3Q,273217
amzn1.account.AFJTR55HABQW4IWNZ253H2SC2P2A,204128
amzn1.account.AGJI7TTSMMLW3BN24IVQGAGZD25A,781866
amzn1.account.AFO5YPOLM7PAGRGZD7XQFL3HNT4Q,196700
amzn1.account.AH6JIGSGK5WYGKAB3BPY3BFXDBJQ,62519
amzn1.account.AF2UEQ2LTNSRVDB6QIJNYQREEE4Q,201287
amzn1.account.AGFI2KQRYSFBUCTGFXOUNZZQT3ZQ,20858
amzn1.account.AELEQ2KCIH7LLI32UKH4B447HQKA,196
amzn1.account.AHKVKEANXVLO5TMQMSRTU4X3IMZQ,654145
amzn1.account.AGVJ2YXQ4JSAFYUHVULVT7VBTHAQ,361407
amzn1.account.AER44XTBOLUMJGBAHLCF7L37WKLQ,6677635
amzn1.account.AF6ETLZDEGIJJT63JVMQ4FQHXQNA,739194
amzn1.account.AEG7GHMMTYMGKSBJBS33TLROTPFQ,478822
amzn1.account.AGN2RGIKW7GO2LK2JGOLH2GWNPFQ,984997
amzn1.account.AHEDBF6V2RVNMPPJ4P3ARBNCFHJQ,677022
amzn1.account.AGI67NXYFMJXSSOTCMPXZ3ENHD2A,1294479
amzn1.account.AGZNRH2IWC7H3I4GFML6BWWOL7HQ,40853
amzn1.account.AEXYKDWCU4TSXF3GWOE6I6JWGYAQ,236726
amzn1.account.AF5HOUJ7PZIP7MNZDX4YXJ2NIYZQ,2913539
amzn1.account.AFCVWRAPQCTQQNPT6MM53PLVYR3Q,1591320
amzn1.account.AFRX6HQQFNFVPZRCK3V7STUZYECQ,737844
amzn1.account.AG3IGOLWV4SWODR3RL6OVGSM2SQA,35697
amzn1.account.AFKX4DKNQIEX2JLYSMPM5MF6M63Q,955046
amzn1.account.AEEFZRYXHBRH6BVKQSS4F4S7BXAA,199449
amzn1.account.AHDA6DGBDR3QSXH4KKJW2M2Q35YA,1985532
amzn1.account.AHJOD3KSO3QO4ROADJTIUY2V2FVQ,3988
amzn1.account.AE4OZ32N7EWDLYR7KYX6VEYQ6XYQ,13941
amzn1.account.AGT2SOWV7WR7TNMFSC4Z4VONSASQ,703972
amzn1.account.AENQVGWMYFT74EXM6CN4C5OS42EA,9404083
amzn1.account.AEU5U4VWKT5QLLDZEJXCLIID6ZSA,10232
amzn1.account.AHIR2NPCKF6MURRK5XSEDVSDMJEQ,19259
amzn1.account.AGVRTTJPC6BPOC3BUDWXG7MVO6YA,1116995
amzn1.account.AGLDZAH7TWRW4R2Z7ZOCUOHNNF7Q,1048372
amzn1.account.AHERHNG7PMJ2KNUWHSW5HG6WJXEA,2044103
amzn1.account.AHOU73W3NFCGLDSDCPMFZOOBTIVQ,2120388
amzn1.account.AF6FMN3PWJ2Y4DJ7Q27JFPNXQOZQ,25884
amzn1.account.AHFG6DBOC5H5PRWGFY43YE2GKN4Q,4496
amzn1.account.AFHIRDMAD5ADWA4U62W72CWTKP7Q,16105
amzn1.account.AG4SJFS6IR7SMQFKM5Z2DB6VALEQ,626828
amzn1.account.AEYW5INQOC6SF3PZWWINYKUT5H3A,79570
amzn1.account.AFPR5V25V6KX6VFBWF3NB6MQVBAA,5219037
amzn1.account.AEADDOHIQUCXIJCV3FOMC5D33BIQ,2232697
amzn1.account.AFRZX3BGDZLRQWXYC3Y2IX6RAR6Q,331879
amzn1.account.AEQCYE6RHVQXOWBGH24WUY6ZQEQQ,799908
amzn1.account.AF32A7I7SA5SX4FP2GAEQUGK2U6A,194946
amzn1.account.AHLVAQZH567H4ZDIPFEOPKTQ3KGA,2189670
amzn1.account.AE6TODERNGOC4W5WY3QVCAYRBVYQ,86725754
amzn1.account.AG23IOKWLZ4UBV7APY33ZL3AW3XA,120881
amzn1.account.AEMZOMZVKY6EI3MC3NIJRLCUE5RA,279986
amzn1.account.AFA57ECFNFCW5GWB6FUOZUBMLT4A,2677492
amzn1.account.AGBYNXKJ4JK7D2P4NJGJFIHE65YQ,772762
amzn1.account.AEBLHZA3TTYV3JJUCOTGLWBSSFRQ,11668
amzn1.account.AHKYDLBMX4MYTY3DZV6JIRMXB7GA,1021278
amzn1.account.AGRWCI2VQOOCXZQSHIU3UVNPCWGQ,434298
amzn1.account.AGNWWDY6AR5M2NEAWMN4SI4N2GAQ,415953
amzn1.account.AGFLIUF73DQRBG2UWRYDJTKHXUVQ,257439
amzn1.account.AHNCW7JAGRU2KO3ND3GTWHLUXTVQ,350235
amzn1.account.AHFMJEOTXBR5TFX6KB776HVHW7EA,465928
amzn1.account.AGXSEWSCVCEILCRABZJVWT4HU47A,115447
amzn1.account.AGWA424EXFBU47GWXCJCTIVPEB5Q,266491
amzn1.account.AEDBHQ6FDEMKHX4SJFPSYMJHGEJQ,121955
amzn1.account.AFV2TZ3PRWDBOC3TZS64FII35CFA,1840406
amzn1.account.AFAUB7TMULBUES6R5KFDNTDB746A,1587564
amzn1.account.AHPK3Y2HGCQ5C4M53CDIKPAYA6PQ,763462
amzn1.account.AHEIUPH7FTRRUSSZ3RJV2KHVNSUQ,1513426
amzn1.account.AG7Y555J7A4EMHOSSGMIKQDYS4JA,68864
amzn1.account.AH47AKG7JQFSE5YALUGGNSPVOQCA,1354364
amzn1.account.AGKBFVYP4MDR7O5RDZZPUSC6HKYQ,3472648
amzn1.account.AGLUY4HJKR4ALPVYGDZPGBBLDOZQ,7156394
amzn1.account.AGPGE47STJONANGBVCGGSEFAMDXQ,7534009
amzn1.account.AH2OJP3YR5TUC5XGLK6VDLEYWQXQ,271662
amzn1.account.AF34PUCUO6AR4REN73XYLRDT472Q,3196556
amzn1.account.AHBJW4KUH2XSF3DJLS6OAOGQZVGQ,97677
amzn1.account.AG643W43PMJLYYLJXBH74GSOWNGA,1389707
amzn1.account.AGU7VXVPBK5BNUOWTOP34MWGKSBA,494976
amzn1.account.AHLTVWH5HJHMUIDVSRRFAGL32M3Q,1271798
amzn1.account.AGB2QL3VQEMOGU6LEC65CH2ZQLTQ,23402
amzn1.account.AHLVSX7TUU7DRZEF4AUM66J5HANA,2145420
amzn1.account.AEZAZB3TDQI57HLSMD3LGD3NQURQ,333572
amzn1.account.AE3T4K5SDJOJBBKAKG5Z6W5LKUBA,632
amzn1.account.AH2LVB5VW7MRUOKLJZPF6FBPFOQQ,3710055
amzn1.account.AFBJ4OHMRO3MK4HWSCFXKSS5N5SQ,10824
amzn1.account.AFWCCFO3OX73VAHWMDW4KQ33LSVQ,298640
amzn1.account.AEMN3MCG7MFK46Y76T3R7IWDG2GQ,909312
