page_url,ranking
amzn1.account.AFBGAGALRTBPUQPXL2ADFIPYAYWQ,1366617
amzn1.account.AHXC2I6S4EPTLZVREO7PNT5RXMCQ,2286
amzn1.account.AFN6MJA3ZLQZZ25WWGWKECIQGADA,2285133
amzn1.account.AFCZN3PWHO3QCHFC5OTX72PVC2IA,4008539
amzn1.account.AF7QQNGVE5L67NMP2LHFBGCY53AQ,3054025
amzn1.account.AF2VQVG4MRZIP4INH45AAAKZ6PRQ,828784
amzn1.account.AHW3A4MHW6RV74WPL2MB4IDPXEQA,229117
amzn1.account.AFFAHDCNLJ7E3HVOXDMB4HUMM7HA,11216
amzn1.account.AHGVHRU3JBMIKN5CFVDYOBZ3PR4Q,1512162
amzn1.account.AFUFX4EILG6VHYM7U7WCZCFSMOJQ,736718
amzn1.account.AHXC2I6S4EPTLZVREO7PNT5RXMCQ,2286
amzn1.account.AFBGAGALRTBPUQPXL2ADFIPYAYWQ,1366617
amzn1.account.AFN6MJA3ZLQZZ25WWGWKECIQGADA,2285133
amzn1.account.AFCZN3PWHO3QCHFC5OTX72PVC2IA,4008539
amzn1.account.AF7QQNGVE5L67NMP2LHFBGCY53AQ,3054025
amzn1.account.AF2VQVG4MRZIP4INH45AAAKZ6PRQ,828784
amzn1.account.AHW3A4MHW6RV74WPL2MB4IDPXEQA,229117
amzn1.account.AFFAHDCNLJ7E3HVOXDMB4HUMM7HA,11216
amzn1.account.AHGVHRU3JBMIKN5CFVDYOBZ3PR4Q,1512162
amzn1.account.AFUFX4EILG6VHYM7U7WCZCFSMOJQ,736718
amzn1.account.AHLM4NTQV3GSZRKO27KNTBH2BGRQ,10997762
amzn1.account.AEU425QOI7HANHJLWIXF6LY3YAPQ,723389
amzn1.account.AGDK7DPGZPCTIFFDT2TVYH6LQLKA,138209
amzn1.account.AGRC4NX2BMPIIK2YHFNUG2BJYRLQ,74293
amzn1.account.AGAUIJWIFPHSVS2WUNWCRHGZFSTQ,166758
amzn1.account.AE5VVKFUM4SCGWNBMD3XE7F3VH4A,1075689
amzn1.account.AHYNWOWDQXB6FSKLD4LZAA6KCCOA,520348
amzn1.account.AHYVYGV2AOG2H7Y64RUZJIAL43IA,74787
amzn1.account.AHZNB2MCTCYHMKHDAWQIE2VYMYRA,678681
amzn1.account.AHSBZUGWYG62KF6B7WEGJ3XSFLBQ,1025729
amzn1.account.AGI56JGSTZ2YVEJWUR7BWFTHRWNQ,2349589
amzn1.account.AFUQRI7TMLSX4APD2NCEVWM65LUA,6614303
amzn1.account.AGRU2MQMAJ73BV3DG7ZJB6YOLYHQ,24287
amzn1.account.AGOGJVDDE3EHA4V62ELDJFQYHGUA,6196503
amzn1.account.AGMMTVL66LLAJUCPEDKLRWGWUD2Q,73085
amzn1.account.AEVM5QUOW7IX2TVD2OIXT2UQQPGQ,431947
amzn1.account.AE4E6KQMMTMWFVB3UFHWDZ622PLA,563741
amzn1.account.AGW4MJYTFKQAV55LLISXJ56ZUKBA,901173
amzn1.account.AGQBKLEOFAM43CKSBYV6BUSKCXYQ,31251218
amzn1.account.AHR64EIASIIBGMEPOF7ENNA6K76A,4909415
amzn1.account.AH3AOK4SN7CADJDRRFOR6PRQLCQA,1046557
amzn1.account.AHBRHIFKKBN2AAD4DS7Y2DOXLYAA,2184568
amzn1.account.AE7LOI63ZRQ6PMUYWKJGAVV2CQHA,86585552
amzn1.account.AG7J6ITUGIIT4DXTLIJFELMLINHQ,522531
amzn1.account.AHROSGGT3Y5J5URQGSF6DSKR4OWQ,1955945
amzn1.account.AG45G4JDTPKHCXFVUIZMG4TKMFGA,34904
amzn1.account.AFQLV4CF2NU3Y5KTRWZXMTXEJ7QA,1074295
amzn1.account.AFCKK7RKDQLRD45EBCVP7NO35HPQ,4039709
amzn1.account.AFDQCCY7TRK5ZRGZWUHTDUUDSNLQ,4882646
amzn1.account.AGJ3F7QTKPZTN3OFOJHTNCAC2ODQ,11012275
amzn1.account.AG5UNKZARBEH7JG6SWLSUYOE4JQQ,399125
amzn1.account.AEBIM4T5FZ2LZNIS3DIF34KWXWFA,259266
amzn1.account.AG4Q6YXM5RL7XTQGDEETLNSXBBIA,1808695
amzn1.account.AGR7RWNXLR2EQNCP2XMMSNLRVMBQ,12216
amzn1.account.AEMP4I6KA3DNGXQE3LPMO6LXDHSA,107268
amzn1.account.AFF4A2VNTBOLB77WAGHNHCPRL2ZQ,6806636
amzn1.account.AEGM7BCQMJ3TEMTSPXC6TLE6XSEA,6563234
amzn1.account.AH6FV3TQTZAMVMMRT6SLHW3UV5FQ,5150332
amzn1.account.AFJ5VO6YHLHGQASOESOHER457VNQ,86577883
amzn1.account.AE76NFDTIGOXF3IJPMHPGBWVPO4Q,1316079
amzn1.account.AE7UCOXLCRQCN6FW4IJ4SKO33VXA,2928092
amzn1.account.AFFDYEWDFPR5JAVSUKQ7O6S6ZDUA,1013859
amzn1.account.AH7UDT522GOGCVQCRONIRAR575SQ,402340
amzn1.account.AG6PNJPFEX3NSMGRPRYJPEGY7YIA,32054
amzn1.account.AE6JK3DGTUT7GZRZHHQ6WWJVPYWA,3755460
amzn1.account.AHNBJQXUSQ5JWXJZ4FZWRDSDH2WA,1960703
amzn1.account.AFUO4J7PHPGQ6YZEUO2LJIFRBTCA,1556719
amzn1.account.AGWA4BAA2G6SQZUGIWF6TJHQZIVQ,4005924
amzn1.account.AE6X72NPMGCE4B5AK6IOPAKB2KWQ,770951
amzn1.account.AEAXUMT2YORWSPVK5YACLLDQ7GPA,12465
amzn1.account.AEX7VGBREC72WXSTSL7GNZ7QKRMA,2974537
amzn1.account.AG7C2C67YD5JT7NP4RWLWOK3ME2Q,1399890
amzn1.account.AEOBHK5UXUMYIDRMTSX7KAQ5ZXDQ,1022963
amzn1.account.AHFGBUPO7ZH7ZHOPUGZG64J4KK5Q,229921
amzn1.account.AH4Q46GFGTAYK7PO7XTPM6Q3GNIQ,3116186
amzn1.account.AFSOMBNA3TKYFKVILI4RPEDXO5CQ,37807
amzn1.account.AFVZ4EWZAJD6YIMZXX55LDILKMLA,13160152
amzn1.account.AHLUN4J6N5CAHIXBWLLWWCG2YLAA,825386
amzn1.account.AHGQKBDEHPMUJPPQL3IG4OXY4QSA,1838625
amzn1.account.AHZNXNYS53QDJDFRCDJJDKIT4PNQ,1890614
amzn1.account.AGWWRZE65L32CH24JMKNG3IC5ZJA,4379663
amzn1.account.AH4JU4A254PVXWPULATV6M2OIWRQ,1129474
amzn1.account.AFIOKMLNUECF2KFNOMBRQNGCAV2Q,1920108
amzn1.account.AGS265EUB5M2GE65Q4WFWGJT2FZA,697534
amzn1.account.AGF2J7IPILC4UMN673D57SR6KEKQ,204360
amzn1.account.AG4GENIPJYJ75HDP2LHHVYPTXQEQ,5536454
amzn1.account.AH4HXGXHL64HWUZZDEPFE7EBZ6HA,844886
amzn1.account.AGLCSB6K5XXR7O6UBWLOHUHWNQ7Q,798199
amzn1.account.AHT2ORK2KKKG3SAADEKSLYMQSSMQ,13134500
amzn1.account.AGMXDDXO4IL3OAACLKV766GTN5LQ,2135846
amzn1.account.AHDWC64YH5GXQMTAY74DJVBZ4H7A,1734361
amzn1.account.AHKTKM7VGQL43PZVC24T76EWI56Q,5243140
amzn1.account.AGK6W5J5HSH74OBPDEUDM5FUV5HA,739895
amzn1.account.AHFKQZVO7VGQFFKRMEFVBB4J2TBQ,295
amzn1.account.AEPPEE7XOF3ZVCYYUL72A5IJOCGQ,1299983
amzn1.account.AFNI6B2TCMZY2FD7AMZKC5H3W5XA,1141296
