helpful_votes,page_url,total_review,visibility_status
156,,17,Public
604,,139,Public
"1,400",,233,Public
385,,428,Public
136,,69,Public
831,,353,Public
111,,38,Public
77,,30,Public
166,,44,Public
105,,72,Public
200,,126,Public
191,,35,Public
61,,60,Public
56,,22,Public
4,,3,Public
56,,38,Public
41,,53,Public
18,,44,Public
28,,36,Public
231,,14,Public
118,,26,Public
131,,45,Public
88,,46,Public
674,,237,Public
"3,091",,"1,905",Public
612,,30,Public
33,,24,Public
329,,89,Public
136,,58,Public
359,,83,Public
370,,167,Public
333,,156,Public
133,,62,Public
707,,565,Public
127,,65,Public
3,,40,Public
31,,19,Public
84,,103,Public
923,,77,Public
203,,276,Public
239,,155,Public
732,,310,Public
12,,28,Public
120,,29,Public
284,,49,Public
474,,252,Public
43,,55,Public
18,,75,Public
143,,62,Public
365,,300,Public
"1,617",,77,Public
44,,110,Public
"4,898",,790,Public
36,,27,Public
12,,26,Public
20,,13,Public
87,,54,Public
109,,59,Public
72,,120,Public
8,,22,Public
64,,43,Public
42,,72,Public
308,,205,Public
25,,15,Public
124,,19,Public
6,,28,Public
1,,2,Public
8,,10,Public
55,,55,Public
207,,280,Public
169,,136,Public
25,,38,Public
60,,36,Public
62,,39,Public
550,,89,Public
0,,4,Public
8,,15,Public
4,,9,Public
61,,38,Public
308,,31,Public
28,,35,Public
12,,79,Public
401,,245,Public
20,,32,Public
29,,71,Public
10,,22,Public
12,,21,Public
74,,33,Public
4,,23,Public
27,,117,Public
22,,38,Public
72,,140,Public
31,,55,Public
35,,56,Public
8,,56,Public
164,,65,Public
11,,21,Public
151,,63,Public
84,,146,Public
160,,142,Public
10,,45,Public
,,,
254,,108,Public
360,,303,Public
8,,11,Public
13,,22,Public
221,,370,Public
104,,59,Public
139,,68,Public
3,,12,Public
112,,89,Public
134,,63,Public
4,,25,Public
626,,219,Public
36,,70,Public
137,,67,Public
15,,38,Public
43,,82,Public
13,,20,Public
15,,79,Public
309,,94,Public
91,,68,Public
8,,22,Public
78,,29,Public
11,,34,Public
261,,137,Public
53,,82,Public
60,,8,Public
19,,51,Public
45,,95,Public
524,,134,Public
4,,48,Public
11,,31,Public
18,,85,Public
416,,63,Public
6,,44,Public
32,,74,Public
34,,65,Public
154,,101,Public
36,,43,Public
119,,206,Public
1,,24,Public
298,,206,Public
34,,58,Public
343,,385,Public
9,,35,Public
15,,86,Public
72,,37,Public
30,,38,Public
43,,88,Public
30,,99,Public
10,,21,Public
32,,52,Public
31,,25,Public
1,,18,Public
11,,20,Public
26,,35,Public
49,,183,Public
11,,31,Public
46,,74,Public
105,,111,Public
427,,102,Public
199,,86,Public
12,,15,Public
16,,34,Public
738,,"1,058",Public
29,,32,Public
37,,35,Public
213,,258,Public
11,,69,Public
18,,20,Public
9,,44,Public
54,,105,Public
276,,67,Public
12,,19,Public
0,,8,Public
175,,131,Public
58,,19,Public
61,,117,Public
0,,7,Public
53,,98,Public
135,,54,Public
26,,30,Public
80,,40,Public
139,,75,Public
56,,200,Public
19,,41,Public
2,,16,Public
17,,151,Public
33,,31,Public
1,,17,Public
1,,1,Public
9,,51,Public
55,,148,Public
10,,112,Public
500,,52,Public
10,,30,Public
0,,11,Public
307,,128,Public
19,,25,Public
29,,119,Public
1,,2,Public
122,,84,Public
38,,61,Public
3,,28,Public
156,,162,Public
6,,16,Public
2,,8,Public
25,,14,Public
8,,64,Public
13,,40,Public
36,,61,Public
18,,77,Public
0,,19,Public
104,,164,Public
6,,62,Public
4,,14,Public
46,,19,Public
10,,46,Public
76,,130,Public
18,,29,Public
114,,93,Public
0,,2,Public
13,,11,Public
93,,75,Public
17,,25,Public
10,,28,Public
9,,31,Public
99,,144,Public
81,,109,Public
64,,58,Public
583,,452,Public
105,,57,Public
31,,24,Public
27,,102,Public
75,,21,Public
7,,34,Public
5,,57,Public
41,,40,Public
20,,6,Public
1,,5,Public
11,,32,Public
118,,140,Public
3,,32,Public
30,,13,Public
24,,33,Public
18,,76,Public
335,,392,Public
37,,133,Public
18,,62,Public
187,,170,Public
3,,15,Public
18,,80,Public
341,,131,Public
17,,22,Public
28,,48,Public
6,,31,Public
134,,105,Public
6,,41,Public
25,,43,Public
59,,75,Public
171,,69,Public
296,,294,Public
2,,20,Public
27,,22,Public
79,,49,Public
90,,103,Public
50,,91,Public
6,,37,Public
220,,336,Public
13,,87,Public
58,,56,Public
58,,47,Public
30,,67,Public
50,,32,Public
5,,17,Public
321,,102,Public
34,,36,Public
9,,23,Public
194,,80,Public
13,,30,Public
424,,209,Public
127,,120,Public
99,,51,Public
28,,33,Public
7,,51,Public
36,,105,Public
7,,27,Public
308,,448,Public
29,,32,Public
8,,20,Public
61,,33,Public
24,,61,Public
16,,16,Public
8,,55,Public
8,,25,Public
26,,78,Public
27,,69,Public
103,,118,Public
54,,83,Public
13,,46,Public
123,,46,Public
"1,475",,923,Public
5,,17,Public
86,,77,Public
18,,28,Public
13,,34,Public
254,,172,Public
32,,21,Public
15,,14,Public
111,,35,Public
6,,33,Public
65,,36,Public
12,,15,Public
22,,19,Public
64,,84,Public
52,,96,Public
26,,40,Public
3,,29,Public
6,,26,Public
26,,79,Public
"1,747",,529,Public
23,,58,Public
192,,98,Public
7,,14,Public
5,,16,Public
89,,29,Public
16,,37,Public
19,,36,Public
63,,28,Public
8,,18,Public
0,,4,Public
4,,9,Public
2,,15,Public
23,,51,Public
17,,29,Public
6,,57,Public
4,,16,Public
86,,17,Public
23,,35,Public
16,,95,Public
246,,63,Public
0,,12,Public
13,,19,Public
2,,15,Public
21,,36,Public
"2,248",,"1,347",Public
109,,30,Public
26,,16,Public
177,,31,Public
8,,51,Public
213,,122,Public
0,,18,Public
6,,64,Public
967,,159,Public
56,,114,Public
45,,108,Public
15,,47,Public
68,,35,Public
27,,10,Public
28,,25,Public
31,,57,Public
7,,32,Public
42,,58,Public
37,,19,Public
18,,42,Public
9,,49,Public
75,,63,Public
4,,17,Public
16,,20,Public
0,,4,Public
33,,91,Public
148,,176,Public
30,,70,Public
19,,48,Public
10,,28,Public
4,,36,Public
79,,170,Public
19,,40,Public
16,,45,Public
23,,49,Public
108,,97,Public
46,,64,Public
28,,50,Public
5,,97,Public
9,,10,Public
27,,32,Public
255,,102,Public
54,,24,Public
4,,25,Public
7,,27,Public
22,,10,Public
1,,27,Public
2,,29,Public
21,,72,Public
5,,7,Public
