helpful_votes,page_url,total_review,visibility_status
362,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7C7STVPLJ7NWPHWJOQGVPYUKJQ,62,Public
526,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGJNS47BP3XOWDEAENUYIIAPNTQ,66,Public
146,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDIK6DWNJ2FC7PKJRYIEOBAEXIA,22,Public
113,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGMKAJ2KWHOXQJO7ZXAGWK3ADUQ,33,Public
136,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPTCGTNQYAO7ZLPFPJONQYVUSHA,25,Public
57,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHER6YJEUUFHXPGVW3RDXMEA6MQ,1,Public
265,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AET7DXKBMG2UKEBT7YCLZEVKEMKA,218,Public
176,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFQTTUVSRENT4HOSZIFFI5D2RIQ,32,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3M6VIAIBDQRZ3B5XPPY3PWDKMA,44,Public
245,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXLERNV7477P4Y35B3DFVQSO6IQ,66,Public
362,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7C7STVPLJ7NWPHWJOQGVPYUKJQ,62,Public
526,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGJNS47BP3XOWDEAENUYIIAPNTQ,66,Public
146,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDIK6DWNJ2FC7PKJRYIEOBAEXIA,22,Public
113,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGMKAJ2KWHOXQJO7ZXAGWK3ADUQ,33,Public
136,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPTCGTNQYAO7ZLPFPJONQYVUSHA,25,Public
57,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHER6YJEUUFHXPGVW3RDXMEA6MQ,1,Public
265,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AET7DXKBMG2UKEBT7YCLZEVKEMKA,218,Public
176,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFQTTUVSRENT4HOSZIFFI5D2RIQ,32,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3M6VIAIBDQRZ3B5XPPY3PWDKMA,44,Public
245,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXLERNV7477P4Y35B3DFVQSO6IQ,66,Public
90,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUEVLGDFJ73OJDQLUVKAMYDBNKQ,38,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTOZVDZWQPCPKEMTD65GJE7IPLA,25,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFG64GROLG7DBCQHGHOJVOYD2CXA,56,Public
410,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJGGSII6G7PCUMWLJLWOQCBBT3A,128,Public
