helpful_votes,page_url,total_review,visibility_status
"1,049",,315,Public
343,,89,Public
181,,19,Public
740,,62,Public
199,,31,Public
"2,160",,656,Public
723,,140,Public
84,,41,Public
109,,39,Public
59,,31,Public
119,,81,Public
27,,30,Public
134,,105,Public
76,,77,Public
322,,192,Public
309,,336,Public
40,,17,Public
222,,103,Public
115,,66,Public
52,,15,Public
462,,80,Public
21,,19,Public
9,,8,Public
375,,51,Public
301,,87,Public
47,,20,Public
7,,18,Public
749,,188,Public
119,,105,Public
184,,41,Public
23,,72,Public
123,,83,Public
37,,52,Public
559,,47,Public
212,,100,Public
344,,67,Public
125,,36,Public
833,,339,Public
455,,192,Public
38,,13,Public
290,,153,Public
235,,134,Public
"1,336",,87,Public
403,,244,Public
20,,13,Public
"1,702",,150,Public
164,,104,Public
49,,40,Public
14,,15,Public
178,,24,Public
"2,165",,"1,422",Public
25,,73,Public
61,,33,Public
32,,26,Public
113,,39,Public
"3,875",,795,Public
3,,12,Public
206,,208,Public
"4,972",,958,Public
14,,38,Public
428,,438,Public
2,,3,Public
44,,32,Public
"2,284",,"1,004",Public
39,,41,Public
18,,55,Public
275,,107,Public
693,,313,Public
303,,108,Public
340,,347,Public
126,,35,Public
"1,367",,137,Public
20,,6,Public
33,,34,Public
28,,45,Public
20,,31,Public
1,,9,Public
122,,48,Public
160,,110,Public
152,,20,Public
114,,86,Public
14,,18,Public
17,,24,Public
196,,128,Public
1,,8,Public
21,,70,Public
7,,11,Public
456,,20,Public
91,,85,Public
7,,28,Public
59,,72,Public
254,,764,Public
93,,36,Public
14,,50,Public
"1,034",,473,Public
23,,23,Public
9,,11,Public
152,,23,Public
59,,95,Public
36,,71,Public
393,,120,Public
241,,88,Public
63,,97,Public
28,,102,Public
49,,21,Public
26,,44,Public
300,,202,Public
65,,97,Public
281,,85,Public
22,,72,Public
6,,15,Public
23,,28,Public
43,,50,Public
110,,115,Public
2,,6,Public
10,,34,Public
222,,92,Public
137,,70,Public
10,,18,Public
"14,128",,"3,066",Public
23,,44,Public
137,,77,Public
93,,99,Public
21,,34,Public
29,,99,Public
104,,19,Public
854,,177,Public
315,,22,Public
158,,62,Public
1,,5,Public
10,,35,Public
115,,64,Public
739,,240,Public
64,,245,Public
44,,123,Public
365,,32,Public
85,,37,Public
32,,35,Public
13,,37,Public
47,,63,Public
306,,168,Public
36,,48,Public
27,,62,Public
282,,90,Public
26,,14,Public
14,,38,Public
98,,90,Public
25,,15,Public
41,,31,Public
248,,162,Public
73,,62,Public
24,,128,Public
170,,11,Public
12,,20,Public
279,,88,Public
133,,82,Public
12,,32,Public
411,,272,Public
48,,67,Public
15,,20,Public
21,,24,Public
"3,013",,912,Public
123,,84,Public
190,,63,Public
0,,1,Public
4,,10,Public
18,,30,Public
969,,960,Public
90,,37,Public
66,,86,Public
30,,302,Public
38,,35,Public
30,,54,Public
135,,175,Public
32,,32,Public
133,,96,Public
11,,18,Public
135,,9,Public
96,,60,Public
150,,129,Public
141,,52,Public
4,,17,Public
31,,37,Public
158,,92,Public
9,,31,Public
45,,47,Public
34,,97,Public
78,,47,Public
117,,246,Public
158,,175,Public
124,,77,Public
39,,41,Public
345,,259,Public
58,,95,Public
640,,674,Public
53,,22,Public
8,,12,Public
