helpful_votes,page_url,total_review,visibility_status
437,,27,Public
373,,44,Public
296,,22,Public
337,,68,Public
576,,17,Public
154,,7,Public
195,,25,Public
64,,12,Public
59,,27,Public
"1,095",,47,Public
437,,27,Public
373,,44,Public
296,,22,Public
337,,68,Public
576,,17,Public
154,,7,Public
195,,25,Public
"1,095",,47,Public
64,,12,Public
59,,27,Public
80,,74,Public
39,,22,Public
143,,76,Public
61,,52,Public
43,,20,Public
236,,167,Public
65,,34,Public
42,,34,Public
825,,73,Public
107,,62,Public
51,,15,Public
119,,31,Public
19,,18,Public
59,,70,Public
"1,688",,616,Public
248,,115,Public
10,,1,Public
248,,144,Public
74,,38,Public
79,,26,Public
"2,511",,486,Public
60,,16,Public
66,,26,Public
27,,38,Public
36,,20,Public
73,,51,Public
22,,21,Public
13,,14,Public
20,,22,Public
7,,6,Public
9,,26,Public
19,,34,Public
19,,16,Public
56,,61,Public
13,,11,Public
103,,149,Public
99,,53,Public
67,,23,Public
9,,15,Public
47,,77,Public
130,,52,Public
11,,18,Public
8,,18,Public
5,,15,Public
7,,24,Public
83,,34,Public
202,,166,Public
69,,57,Public
19,,36,Public
113,,34,Public
60,,44,Public
214,,296,Public
183,,170,Public
80,,29,Public
76,,40,Public
4,,33,Public
162,,115,Public
224,,66,Public
28,,18,Public
987,,400,Public
45,,60,Public
36,,23,Public
252,,57,Public
19,,18,Public
165,,92,Public
128,,79,Public
239,,56,Public
84,,28,Public
69,,103,Public
5,,37,Public
230,,97,Public
27,,64,Public
211,,323,Public
238,,39,Public
166,,132,Public
"1,158",,519,Public
8,,29,Public
210,,66,Public
226,,120,Public
79,,78,Public
6,,32,Public
144,,28,Public
91,,95,Public
580,,72,Public
136,,40,Public
2,,36,Public
61,,40,Public
112,,71,Public
172,,94,Public
40,,88,Public
52,,40,Public
49,,21,Public
4,,3,Public
31,,17,Public
23,,26,Public
74,,55,Public
5,,9,Public
724,,323,Public
305,,120,Public
181,,83,Public
126,,27,Public
33,,30,Public
49,,81,Public
35,,31,Public
179,,114,Public
301,,268,Public
19,,43,Public
17,,14,Public
24,,96,Public
114,,88,Public
946,,491,Public
15,,29,Public
30,,29,Public
"2,139",,492,Public
9,,10,Public
33,,33,Public
29,,80,Public
145,,140,Public
146,,49,Public
393,,174,Public
47,,28,Public
59,,56,Public
8,,12,Public
40,,49,Public
29,,26,Public
69,,60,Public
258,,48,Public
11,,31,Public
3,,32,Public
10,,26,Public
5,,1,Public
2,,1,Public
12,,20,Public
69,,33,Public
58,,38,Public
2,,5,Public
76,,36,Public
54,,28,Public
70,,46,Public
73,,96,Public
6,,18,Public
1,,19,Public
36,,29,Public
52,,56,Public
182,,93,Public
3,,34,Public
1,,1,Public
11,,21,Public
48,,30,Public
7,,8,Public
2,,3,Public
343,,110,Public
13,,28,Public
341,,93,Public
1,,9,Public
25,,55,Public
5,,13,Public
796,,153,Public
941,,115,Public
93,,115,Public
97,,82,Public
6,,13,Public
67,,58,Public
185,,39,Public
5,,7,Public
13,,24,Public
38,,32,Public
22,,20,Public
86,,104,Public
55,,184,Public
62,,47,Public
19,,124,Public
5,,19,Public
2,,4,Public
34,,59,Public
85,,119,Public
8,,20,Public
58,,93,Public
30,,24,Public
15,,35,Public
280,,205,Public
2,,10,Public
10,,6,Public
12,,22,Public
3,,42,Public
322,,279,Public
9,,6,Public
6,,14,Public
3,,2,Public
222,,29,Public
27,,51,Public
93,,39,Public
91,,39,Public
15,,16,Public
19,,52,Public
257,,195,Public
1,,23,Public
0,,10,Public
18,,34,Public
1,,12,Public
1,,2,Public
15,,43,Public
20,,21,Public
70,,66,Public
506,,167,Public
22,,27,Public
22,,58,Public
321,,72,Public
18,,9,Public
1,,5,Public
5,,20,Public
27,,51,Public
15,,40,Public
35,,38,Public
196,,91,Public
50,,30,Public
105,,93,Public
5,,25,Public
430,,63,Public
314,,205,Public
159,,95,Public
0,,6,Public
6,,17,Public
203,,86,Public
4,,15,Public
11,,5,Public
26,,41,Public
173,,136,Public
99,,41,Public
17,,33,Public
19,,60,Public
32,,43,Public
1,,13,Public
14,,15,Public
49,,54,Public
7,,32,Public
0,,4,Public
31,,31,Public
8,,23,Public
5,,31,Public
6,,9,Public
241,,105,Public
105,,112,Public
76,,44,Public
11,,12,Public
35,,23,Public
10,,56,Public
28,,39,Public
23,,45,Public
1,,2,Public
59,,25,Public
3,,40,Public
4,,19,Public
151,,171,Public
4,,8,Public
80,,60,Public
"1,013",,833,Public
23,,19,Public
39,,45,Public
18,,38,Public
8,,29,Public
47,,35,Public
126,,220,Public
4,,18,Public
9,,23,Public
11,,36,Public
6,,4,Public
6,,8,Public
93,,77,Public
18,,62,Public
4,,30,Public
0,,1,Public
57,,22,Public
15,,62,Public
1,,3,Public
66,,51,Public
179,,89,Public
58,,61,Public
8,,19,Public
31,,102,Public
16,,53,Public
2,,5,Public
70,,39,Public
252,,181,Public
5,,5,Public
86,,61,Public
71,,52,Public
31,,40,Public
38,,54,Public
75,,51,Public
110,,12,Public
"1,688",,132,Public
39,,43,Public
13,,8,Public
4,,22,Public
33,,45,Public
684,,800,Public
21,,11,Public
13,,31,Public
11,,43,Public
25,,199,Public
3,,5,Public
,,,
1,,21,Public
,,,
,,,
,,,
,,,
,,,
149,,224,Public
,,,
,,,
,,,
13,,53,Public
43,,82,Public
,,,
39,,37,Public
454,,92,Public
2,,17,Public
4,,16,Public
109,,50,Public
43,,91,Public
0,,6,Public
19,,15,Public
360,,114,Public
24,,73,Public
172,,220,Public
21,,101,Public
32,,77,Public
32,,26,Public
10,,20,Public
25,,123,Public
9,,25,Public
23,,45,Public
26,,69,Public
27,,20,Public
1,,15,Public
8,,25,Public
24,,46,Public
27,,35,Public
2,,12,Public
16,,56,Public
2,,13,Public
,,,
25,,43,Public
39,,66,Public
"1,545",,84,Public
,,,
,,,
4,,17,Public
,,,
9,,47,Public
,,,
,,,
,,,
,,,
,,,
42,,24,Public
,,,
,,,
0,,7,Public
87,,105,Public
4,,20,Public
59,,52,Public
113,,61,Public
29,,22,Public
3,,21,Public
997,,424,Public
9,,31,Public
112,,37,Public
0,,2,Public
187,,180,Public
2,,15,Public
52,,10,Public
57,,31,Public
0,,5,Public
23,,22,Public
6,,14,Public
2,,16,Public
141,,115,Public
223,,109,Public
49,,54,Public
123,,83,Public
23,,31,Public
71,,99,Public
7,,52,Public
31,,92,Public
20,,9,Public
82,,142,Public
7,,4,Public
5,,24,Public
42,,22,Public
76,,58,Public
15,,24,Public
33,,104,Public
0,,2,Public
10,,49,Public
15,,4,Public
8,,48,Public
36,,43,Public
93,,46,Public
20,,50,Public
4,,15,Public
30,,60,Public
24,,36,Public
11,,16,Public
9,,14,Public
15,,32,Public
3,,51,Public
111,,181,Public
20,,28,Public
76,,188,Public
20,,51,Public
25,,41,Public
254,,52,Public
79,,34,Public
30,,50,Public
20,,75,Public
22,,63,Public
1,,9,Public
14,,63,Public
0,,19,Public
175,,130,Public
43,,79,Public
9,,41,Public
8,,16,Public
2,,11,Public
10,,50,Public
137,,77,Public
14,,21,Public
37,,45,Public
16,,20,Public
49,,99,Public
8,,35,Public
1,,8,Public
45,,125,Public
29,,86,Public
84,,164,Public
15,,40,Public
4,,9,Public
3,,3,Public
118,,140,Public
101,,138,Public
633,,132,Public
13,,35,Public
11,,39,Public
8,,12,Public
98,,63,Public
0,,1,Public
59,,26,Public
5,,9,Public
3,,5,Public
24,,51,Public
24,,67,Public
14,,75,Public
20,,26,Public
18,,62,Public
5,,16,Public
40,,49,Public
29,,40,Public
34,,88,Public
64,,55,Public
168,,77,Public
76,,61,Public
899,,364,Public
17,,55,Public
17,,69,Public
191,,252,Public
35,,151,Public
20,,15,Public
79,,89,Public
53,,35,Public
31,,18,Public
11,,7,Public
120,,204,Public
7,,35,Public
8,,36,Public
25,,29,Public
38,,69,Public
20,,32,Public
