helpful_votes,page_url,total_review,visibility_status
"1,320",,2,Public
836,,1,Public
713,,152,Public
370,,17,Public
501,,157,Public
318,,321,Public
203,,5,Public
174,,37,Public
205,,22,Public
"5,615",,348,Public
"1,320",,2,Public
836,,1,Public
713,,152,Public
370,,17,Public
501,,157,Public
318,,321,Public
203,,5,Public
174,,37,Public
205,,22,Public
"5,615",,348,Public
42,,2,Public
57,,11,Public
41,,3,Public
85,,107,Public
56,,106,Public
134,,38,Public
24,,1,Public
"1,360",,247,Public
52,,35,Public
376,,123,Public
58,,37,Public
24,,16,Public
115,,54,Public
343,,151,Public
30,,39,Public
89,,54,Public
37,,20,Public
28,,43,Public
15,,12,Public
147,,63,Public
18,,25,Public
18,,11,Public
18,,16,Public
61,,23,Public
32,,32,Public
895,,240,Public
76,,74,Public
52,,48,Public
17,,23,Public
21,,22,Public
10,,26,Public
545,,162,Public
36,,12,Public
144,,72,Public
150,,139,Public
109,,105,Public
69,,43,Public
19,,37,Public
60,,16,Public
320,,666,Public
9,,4,Public
7,,18,Public
84,,157,Public
14,,44,Public
31,,17,Public
38,,31,Public
204,,76,Public
13,,6,Public
"2,744",,469,Public
165,,65,Public
106,,115,Public
86,,75,Public
104,,146,Public
730,,380,Public
21,,28,Public
31,,25,Public
5,,7,Public
14,,10,Public
,,,
61,,27,Public
"2,992",,52,Public
,,,
,,,
,,,
,,,
73,,129,Public
,,,
,,,
5,,3,Public
,,,
138,,37,Public
,,,
,,,
,,,
91,,10,Public
74,,76,Public
,,,
,,,
,,,
,,,
,,,
104,,56,Public
32,,44,Public
,,,
62,,44,Public
,,,
,,,
,,,
,,,
,,,
66,,30,Public
7,,13,Public
,,,
799,,233,Public
"1,902",,190,Public
12,,22,Public
,,,
552,,78,Public
,,,
,,,
2,,1,Public
321,,69,Public
,,,
139,,35,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
26,,13,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
9,,7,Public
,,,
,,,
,,,
,,,
,,,
27,,68,Public
36,,42,Public
91,,66,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
4,,11,Public
,,,
,,,
2,,11,Public
26,,25,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
115,,249,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0,,20,Public
,,,
,,,
,,,
1,,1,Public
,,,
,,,
,,,
4,,5,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1,,2,Public
,,,
,,,
42,,65,Public
,,,
,,,
64,,29,Public
,,,
,,,
9,,29,Public
,,,
,,,
,,,
9,,13,Public
120,,140,Public
,,,
,,,
112,,29,Public
,,,
,,,
1,,14,Public
,,,
0,,9,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
4,,9,Public
,,,
3,,3,Public
,,,
,,,
3,,22,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
145,,49,Public
46,,41,Public
21,,42,Public
,,,
,,,
,,,
250,,198,Public
,,,
,,,
6,,17,Public
2,,23,Public
,,,
,,,
1,,14,Public
,,,
,,,
7,,6,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1,,15,Public
,,,
,,,
,,,
,,,
,,,
9,,22,Public
,,,
20,,77,Public
,,,
27,,29,Public
143,,65,Public
,,,
,,,
14,,27,Public
,,,
,,,
3,,9,Public
1,,1,Public
,,,
,,,
,,,
,,,
51,,60,Public
24,,85,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
218,,7,Public
,,,
5,,6,Public
,,,
,,,
,,,
,,,
,,,
,,,
15,,32,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2,,6,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
8,,4,Public
,,,
,,,
,,,
,,,
,,,
,,,
11,,51,Public
,,,
1,,16,Public
,,,
,,,
,,,
,,,
,,,
,,,
16,,25,Public
,,,
,,,
34,,22,Public
,,,
26,,36,Public
,,,
122,,81,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2,,3,Public
,,,
20,,18,Public
11,,11,Public
,,,
,,,
126,,35,Public
,,,
,,,
,,,
28,,12,Public
,,,
,,,
0,,4,Public
6,,18,Public
,,,
,,,
3,,12,Public
,,,
0,,1,Public
130,,69,Public
,,,
,,,
3,,3,Public
,,,
,,,
,,,
,,,
,,,
42,,70,Public
46,,58,Public
,,,
,,,
26,,29,Public
,,,
,,,
9,,56,Public
37,,50,Public
,,,
258,,176,Public
,,,
,,,
,,,
,,,
1,,4,Public
531,,40,Public
,,,
,,,
63,,44,Public
,,,
,,,
32,,56,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
156,,80,Public
,,,
39,,8,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
33,,7,Public
,,,
,,,
17,,26,Public
5,,9,Public
,,,
,,,
1,,11,Public
33,,15,Public
,,,
50,,30,Public
,,,
,,,
24,,35,Public
,,,
,,,
46,,40,Public
2,,15,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
9,,19,Public
11,,40,Public
,,,
41,,14,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
7,,31,Public
19,,25,Public
15,,87,Public
,,,
