helpful_votes,page_url,total_review,visibility_status
647,,41,Public
201,,11,Public
127,,23,Public
296,,66,Public
465,,77,Public
127,,50,Public
122,,57,Public
460,,176,Public
542,,205,Public
476,,120,Public
204,,52,Public
88,,102,Public
71,,39,Public
24,,15,Public
132,,32,Public
285,,100,Public
65,,36,Public
13,,14,Public
"2,685",,"1,186",Public
853,,182,Public
"1,016",,206,Public
108,,75,Public
183,,60,Public
20,,73,Public
142,,54,Public
84,,56,Public
15,,28,Public
64,,33,Public
350,,82,Public
"2,174",,144,Public
10,,9,Public
105,,76,Public
587,,1,Public
238,,151,Public
839,,108,Public
39,,55,Public
365,,143,Public
36,,36,Public
2,,29,Public
99,,48,Public
431,,137,Public
76,,44,Public
82,,49,Public
72,,55,Public
110,,62,Public
18,,18,Public
187,,90,Public
13,,7,Public
28,,41,Public
75,,36,Public
81,,18,Public
18,,13,Public
66,,89,Public
3,,10,Public
5,,35,Public
620,,152,Public
56,,112,Public
206,,590,Public
107,,151,Public
175,,90,Public
91,,53,Public
1,,18,Public
43,,48,Public
51,,29,Public
218,,54,Public
41,,42,Public
62,,175,Public
21,,15,Public
64,,63,Public
15,,24,Public
54,,29,Public
130,,117,Public
6,,62,Public
248,,191,Public
474,,212,Public
6,,18,Public
315,,84,Public
17,,69,Public
121,,39,Public
39,,34,Public
35,,39,Public
133,,10,Public
14,,16,Public
10,,27,Public
61,,76,Public
24,,45,Public
18,,46,Public
12,,16,Public
68,,33,Public
188,,408,Public
8,,11,Public
70,,80,Public
46,,29,Public
2,,19,Public
4,,22,Public
82,,180,Public
2,,24,Public
"1,853",,750,Public
15,,20,Public
84,,60,Public
15,,24,Public
18,,68,Public
22,,52,Public
188,,46,Public
85,,46,Public
32,,59,Public
"1,802",,47,Public
46,,40,Public
265,,19,Public
6,,50,Public
18,,18,Public
"1,280",,597,Public
109,,226,Public
869,,277,Public
137,,108,Public
18,,83,Public
2,,22,Public
229,,88,Public
13,,15,Public
18,,44,Public
76,,105,Public
47,,31,Public
2,,24,Public
8,,23,Public
14,,37,Public
105,,34,Public
10,,12,Public
55,,51,Public
331,,204,Public
417,,442,Public
112,,73,Public
9,,14,Public
141,,135,Public
55,,59,Public
83,,45,Public
0,,32,Public
10,,14,Public
12,,24,Public
3,,6,Public
24,,29,Public
6,,6,Public
601,,112,Public
124,,126,Public
374,,386,Public
117,,124,Public
0,,1,Public
115,,199,Public
5,,9,Public
210,,46,Public
7,,30,Public
11,,44,Public
23,,45,Public
21,,20,Public
11,,18,Public
136,,108,Public
32,,9,Public
553,,371,Public
1,,10,Public
71,,95,Public
0,,8,Public
195,,219,Public
0,,8,Public
88,,29,Public
8,,40,Public
17,,20,Public
29,,80,Public
1,,15,Public
31,,33,Public
51,,118,Public
22,,56,Public
95,,13,Public
4,,46,Public
24,,33,Public
15,,28,Public
2,,29,Public
83,,23,Public
57,,58,Public
14,,40,Public
35,,23,Public
5,,11,Public
47,,73,Public
24,,34,Public
47,,95,Public
94,,104,Public
284,,248,Public
181,,50,Public
2,,9,Public
