helpful_votes,page_url,total_review,visibility_status
"1,006",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLHA2DHSVXFFSVCS6XLY6Y7HEBQ,59,Public
440,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJLJHOI2NTZUU62CDPMIGIOO6JA,18,Public
231,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCLPIRAHZBJGCVJEQNFXCF6GPJQ,5,Public
267,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6BKJ3DJKOCOMP4RCDW56VSHLRQ,63,Public
246,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEE7Z6XRMNQRSAWHIYZKA3WJEFJQ,84,Public
240,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRODH2UJVC6EMRAGDFVGXJI7YDA,85,Public
194,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEJZOV7AWNCHTLHIY5ASTISXEIA,9,Public
164,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBJRC7UZVGXI6BAOLASRKADYEMQ,22,Public
405,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2E2G762XJDCH7RVOI7VAD4MABQ,414,Public
127,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6PMU5CA3ZUWPE4IYZUXJZV5FCQ,20,Public
"1,006",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLHA2DHSVXFFSVCS6XLY6Y7HEBQ,59,Public
440,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJLJHOI2NTZUU62CDPMIGIOO6JA,18,Public
231,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCLPIRAHZBJGCVJEQNFXCF6GPJQ,5,Public
267,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6BKJ3DJKOCOMP4RCDW56VSHLRQ,63,Public
246,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEE7Z6XRMNQRSAWHIYZKA3WJEFJQ,84,Public
240,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRODH2UJVC6EMRAGDFVGXJI7YDA,85,Public
194,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEJZOV7AWNCHTLHIY5ASTISXEIA,9,Public
164,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBJRC7UZVGXI6BAOLASRKADYEMQ,22,Public
405,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2E2G762XJDCH7RVOI7VAD4MABQ,414,Public
127,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6PMU5CA3ZUWPE4IYZUXJZV5FCQ,20,Public
81,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHI7RKWNPMDPUFRX7TEGP5IUNKJA,18,Public
474,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5BAB34G3UCQBDXFBS6EXVI3NYQ,170,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG22WTRDYPRXB25UB4J44RPV3ITQ,6,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFIJFSX4HJFO4EXTTHR3CRQAOXA,12,Public
48,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2MM2ZMSO4FBIOY7ZIH3K5GQJLA,30,Public
390,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEM7VZTTF7C2CKQUGRX2ILTUXMMQ,350,Public
50,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLC5VNWMMM5RGRGCIIJZB7ZNQBA,29,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYM5A6BJE4SOIYLYZISDDUK72DA,2,Public
91,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCOXLZQX2X6ENMVWTEERMLGBFSQ,30,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHO6UIEKWVVCCF32S2XTTYWHXHRQ,23,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHF7ARKCYKC4RXZ35O7KQISZDUBA,28,Public
80,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGH45TBPZ7TC5K3TNAFFEOGR6CTQ,140,Public
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGX3GAOPNZBBGWN43B744D6YCCXQ,27,Public
