helpful_votes,page_url,total_review,visibility_status
674,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCX6F5VO2SDN3R2AE5FMLKMTMBQ,28,Public
358,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFP7YYDCAGBLSVXOPIFTR6BVOPBA,9,Public
335,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAIUUCMED3DEYA2RWI44TCYRV4Q,18,Public
"1,177",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFRQJOWYWLGW4QU32WKPINA46WMQ,12,Public
597,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIRQAEJSUI5U5MGE4A6EL6HKX3Q,50,Public
127,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXN2ETCFA6BKNZZFBSKLHEHWWXQ,14,Public
224,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSE3U4CKUVV5YI2U4RQM34RHDXQ,59,Public
240,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWWBS7AF6GTFXJBILJ66IOKTTRA,41,Public
188,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5BKTAQDGXN4SSBHA3YECCG677Q,20,Public
73,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQQ7DEMQ7APJYP3H4EUOYD6SGQA,39,Public
674,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCX6F5VO2SDN3R2AE5FMLKMTMBQ,28,Public
358,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFP7YYDCAGBLSVXOPIFTR6BVOPBA,9,Public
335,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAIUUCMED3DEYA2RWI44TCYRV4Q,18,Public
"1,177",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFRQJOWYWLGW4QU32WKPINA46WMQ,12,Public
597,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIRQAEJSUI5U5MGE4A6EL6HKX3Q,50,Public
127,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXN2ETCFA6BKNZZFBSKLHEHWWXQ,14,Public
224,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSE3U4CKUVV5YI2U4RQM34RHDXQ,59,Public
240,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWWBS7AF6GTFXJBILJ66IOKTTRA,41,Public
188,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5BKTAQDGXN4SSBHA3YECCG677Q,20,Public
73,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQQ7DEMQ7APJYP3H4EUOYD6SGQA,39,Public
74,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLHQWUWOJJW5QCL4WJB76XNZXSQ,25,Public
210,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELSEKLFF6IOCOTN6XLBBYH3K5RQ,70,Public
187,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERNGE4IZYC3ZZTWNNFX4ASBXZCQ,96,Public
802,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQOEVFR2SVO67Y5MJBC4QNX7BNQ,160,Public
94,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJTIGNANDJCVAW5GTSF6YZKX4RA,25,Public
"1,090",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFY5RUDJDHI3OP4Z6MHGV3RVLAUQ,416,Public
80,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGW6DM6BO6UXRG46CPXZBVFDLJ2A,64,Public
40,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSBKNIQWHNN6IHKCBNV4AZRBXKQ,15,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQITHW2NWOVTMFZMLNVP7J22OYA,16,Public
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKZW64SZEAGA5O4C73QBLICKSHA,19,Public
179,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXYZDCBYMLUZOZMYSRNYBIJK3QQ,31,Public
745,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRGAXRL4AZ3TGW55QCSV5QKWQMA,205,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVGLWACRBTZI5H3RZEJYBAX6WSQ,19,Public
113,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLN4QRLDK7D5NXSUZ7CD6VTZG2A,106,Public
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHTGLV7A2BDLNAZTDIKOENJAUSA,45,Public
133,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHPTDT7ZG7ENPZOECGGPFMHBDUA,78,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFP2NHXWYW2HCVBCYXSFYTUAZYQ,8,Public
226,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUDFSQXMJ44BSQ34TQ63YGCN6UQ,34,Public
84,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFN35W6SBZOMQD4WJ2MFIABPEQ6A,80,Public
36,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLOXUK6JWIBEPNP7PQYYUPHODOA,66,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG72GGPPDHTENTQT64IGQ5UJ4MZA,16,Public
