helpful_votes,page_url,total_review,visibility_status
,,,
"1,376",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXSP3GQR6G6WMRMOMRK4P453DJA,184,Public
,,,
,,,
624,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOFNYDMZ55OQDAEC7SYMS526HAQ,48,Public
,,,
238,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETJXFVT5WABILNFWIC7TZ4VXUDQ,60,Public
,,,
,,,
,,,
"1,457",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMSST7KSMNZJDYE3LH5AI7LXUFQ,35,Public
,,,
"1,388",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERCTDJN2PA2BNTYI6FPSRLKYTUA,280,Public
,,,
,,,
,,,
,,,
147,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAFYNLXJIYFOXRER37UXND76ETQ,11,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
91,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWE7YUW5R7XFY6UT3V3CRJYFHVA,28,Public
,,,
676,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJP6UVRH7EJGQPBO3VDRZB2Y53Q,488,Public
287,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSMYYTUE3DEFOURWJ6NWQWMJKCQ,52,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERTT3JUC37PWEPERXSKWFT3D7TA,45,Public
,,,
64,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOOEJTR2UDAAQSRL7IOFJKXIEBA,53,Public
,,,
,,,
,,,
314,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7QTGPRBYG3RSJXN2DK7ANIU4WQ,87,Public
,,,
,,,
,,,
126,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRRGCQYRDG42UUHTRWWA6TOCR7A,25,Public
,,,
,,,
92,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEKL6PEMMZAO5PWEUHMD72K63QFQ,18,Public
,,,
,,,
"1,023",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIITIJQSR7FRESUCDKZTRJAV6GA,689,Public
,,,
,,,
,,,
,,,
