helpful_votes,page_url,total_review,visibility_status
631,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2D2KSJEE4CRWYBECTUMFLDOLHA,7,Public
"1,531",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGGHJBACTWLQ43FCBLLTWAXPHNA,202,Public
350,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYK3D3JGCF3I4Y47XB6PDMMHYAA,21,Public
239,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFQJATPENZRPAMNDJH7QAH5H5YQ,30,Public
340,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUNSL2ZRU3IP7IANKWISA7V4K3A,163,Public
145,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6LOU7J23YDAHYPNDKY7UHN4EMQ,18,Public
188,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXDIGXWOWUAC6DINBE7KKHCED4Q,71,Public
527,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHF2LCFKSLCORRNH6EEWCG4HPJZQ,72,Public
69,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJ7A5QK4LAWSHAIJYQZG3BFZU5A,17,Public
82,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFI24JROIKXH5GWXQSHXFOZH35BA,26,Public
631,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2D2KSJEE4CRWYBECTUMFLDOLHA,7,Public
"1,531",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGGHJBACTWLQ43FCBLLTWAXPHNA,202,Public
350,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYK3D3JGCF3I4Y47XB6PDMMHYAA,21,Public
239,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFQJATPENZRPAMNDJH7QAH5H5YQ,30,Public
340,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUNSL2ZRU3IP7IANKWISA7V4K3A,163,Public
145,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6LOU7J23YDAHYPNDKY7UHN4EMQ,18,Public
188,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXDIGXWOWUAC6DINBE7KKHCED4Q,71,Public
