helpful_votes,page_url,total_review,visibility_status
499,,14,Public
499,,14,Public
916,,39,Public
283,,29,Public
251,,102,Public
425,,62,Public
369,,45,Public
292,,22,Public
106,,15,Public
207,,80,Public
916,,39,Public
644,,61,Public
283,,29,Public
251,,102,Public
425,,62,Public
369,,45,Public
292,,22,Public
106,,15,Public
207,,80,Public
612,,159,Public
68,,21,Public
135,,28,Public
174,,26,Public
47,,6,Public
"1,834",,303,Public
580,,72,Public
207,,59,Public
400,,119,Public
644,,61,Public
63,,11,Public
87,,16,Public
53,,26,Public
50,,38,Public
17,,6,Public
95,,26,Public
48,,40,Public
62,,76,Public
30,,18,Public
278,,81,Public
21,,4,Public
104,,54,Public
85,,40,Public
209,,185,Public
9,,3,Public
27,,20,Public
44,,11,Public
242,,64,Public
44,,25,Public
105,,67,Public
86,,120,Public
230,,42,Public
72,,86,Public
6,,1,Public
24,,16,Public
34,,28,Public
19,,29,Public
8,,7,Public
14,,17,Public
65,,168,Public
685,,210,Public
509,,91,Public
7,,6,Public
"1,748",,557,Public
107,,16,Public
112,,95,Public
525,,239,Public
291,,87,Public
"2,627",,334,Public
212,,49,Public
111,,40,Public
8,,57,Public
157,,71,Public
406,,256,Public
24,,33,Public
14,,58,Public
24,,12,Public
23,,28,Public
27,,60,Public
148,,54,Public
"1,072",,405,Public
85,,184,Public
595,,164,Public
"1,810",,155,Public
465,,229,Public
413,,112,Public
40,,44,Public
41,,45,Public
111,,86,Public
175,,67,Public
20,,9,Public
365,,212,Public
88,,45,Public
9,,18,Public
25,,34,Public
332,,16,Public
17,,11,Public
419,,186,Public
21,,29,Public
171,,18,Public
39,,50,Public
282,,44,Public
48,,96,Public
347,,59,Public
121,,96,Public
18,,5,Public
42,,46,Public
4,,2,Public
365,,212,Public
10,,10,Public
124,,10,Public
7,,26,Public
78,,55,Public
424,,106,Public
11,,21,Public
96,,79,Public
341,,119,Public
3,,1,Public
5,,8,Public
631,,175,Public
83,,43,Public
"1,335",,400,Public
20,,17,Public
9,,7,Public
65,,32,Public
42,,51,Public
663,,124,Public
15,,39,Public
152,,46,Public
45,,73,Public
10,,18,Public
56,,52,Public
316,,113,Public
3,,1,Public
29,,39,Public
14,,22,Public
7,,7,Public
193,,134,Public
6,,8,Public
59,,87,Public
135,,9,Public
9,,14,Public
133,,26,Public
898,,388,Public
236,,34,Public
286,,70,Public
12,,20,Public
10,,9,Public
30,,24,Public
2,,1,Public
37,,56,Public
14,,24,Public
32,,25,Public
"1,512",,867,Public
13,,23,Public
131,,158,Public
7,,7,Public
133,,119,Public
15,,20,Public
200,,92,Public
202,,111,Public
319,,119,Public
26,,36,Public
36,,40,Public
298,,40,Public
12,,12,Public
34,,40,Public
278,,60,Public
4,,8,Public
18,,10,Public
2,,3,Public
18,,14,Public
1,,2,Public
3,,7,Public
43,,70,Public
111,,129,Public
1,,5,Public
3,,8,Public
798,,217,Public
81,,55,Public
"6,495",,"1,750",Public
706,,333,Public
175,,79,Public
6,,2,Public
95,,51,Public
1,,2,Public
18,,47,Public
57,,39,Public
250,,48,Public
563,,185,Public
12,,26,Public
11,,30,Public
950,,480,Public
52,,64,Public
3,,3,Public
2,,2,Public
2,,5,Public
414,,81,Public
1,,15,Public
12,,14,Public
"1,617",,231,Public
25,,49,Public
57,,77,Public
150,,29,Public
378,,105,Public
55,,40,Public
277,,26,Public
92,,46,Public
221,,110,Public
48,,41,Public
3,,10,Public
374,,95,Public
3,,4,Public
38,,66,Public
3,,7,Public
26,,23,Public
"1,550",,143,Public
162,,74,Public
653,,130,Public
646,,176,Public
46,,38,Public
55,,111,Public
857,,308,Public
10,,8,Public
519,,178,Public
321,,193,Public
62,,59,Public
39,,29,Public
308,,100,Public
172,,60,Public
3,,11,Public
517,,64,Public
189,,69,Public
15,,25,Public
59,,37,Public
297,,168,Public
441,,83,Public
94,,24,Public
446,,124,Public
55,,33,Public
3,,8,Public
14,,24,Public
56,,57,Public
587,,179,Public
2,,3,Public
67,,34,Public
37,,63,Public
3,,5,Public
75,,21,Public
365,,130,Public
81,,80,Public
364,,125,Public
9,,6,Public
28,,19,Public
167,,84,Public
67,,41,Public
555,,240,Public
9,,8,Public
27,,35,Public
176,,75,Public
15,,23,Public
294,,113,Public
699,,280,Public
355,,11,Public
111,,60,Public
15,,45,Public
80,,50,Public
220,,82,Public
13,,11,Public
50,,66,Public
15,,13,Public
8,,13,Public
15,,17,Public
2,,2,Public
68,,30,Public
24,,45,Public
5,,7,Public
581,,62,Public
123,,88,Public
48,,51,Public
2,,6,Public
274,,116,Public
12,,37,Public
243,,88,Public
104,,190,Public
23,,17,Public
125,,94,Public
3,,6,Public
25,,22,Public
13,,14,Public
562,,106,Public
183,,68,Public
227,,87,Public
90,,35,Public
16,,11,Public
3,,5,Public
163,,133,Public
416,,119,Public
275,,126,Public
209,,123,Public
0,,5,Public
31,,77,Public
227,,32,Public
1,,1,Public
6,,2,Public
17,,40,Public
715,,234,Public
56,,190,Public
176,,128,Public
92,,80,Public
145,,63,Public
9,,3,Public
754,,50,Public
