helpful_votes,page_url,total_review,visibility_status
603,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7K2B4VUQRX4YWMNHUQFX2AI2NQ,80,Public
473,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAKMSUMT4VRACVYCDFA7MZSG57A,251,Public
360,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLACPL5LPHD7XKYIH6SI2ILDHEQ,72,Public
295,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4QB4EIHG5C4ATHWVRGL2XYQGPA,47,Public
231,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYKJAKXZLTRORA45STXEORIFFNQ,31,Public
221,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEI6VVNABCWKHWLG2SQZIDWHAIKA,40,Public
386,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGA3OWATSUIWRRVDOFBFUXD2YG2Q,73,Public
234,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNJLKS36VTVAZBRDVAFMQG25FJA,101,Public
399,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2ZO7PJNBVXS4KA5XBTHIK2R3LQ,333,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHT2YPWCJCCTWJ5FTW6G2AHQPPGA,2,Public
603,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7K2B4VUQRX4YWMNHUQFX2AI2NQ,80,Public
473,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAKMSUMT4VRACVYCDFA7MZSG57A,251,Public
360,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLACPL5LPHD7XKYIH6SI2ILDHEQ,72,Public
295,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4QB4EIHG5C4ATHWVRGL2XYQGPA,47,Public
231,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYKJAKXZLTRORA45STXEORIFFNQ,31,Public
221,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEI6VVNABCWKHWLG2SQZIDWHAIKA,40,Public
