helpful_votes,page_url,total_review,visibility_status
"1,140",,15,Public
662,,3,Public
553,,9,Public
451,,15,Public
379,,1,Public
337,,3,Public
345,,1,Public
314,,12,Public
304,,16,Public
789,,2,Public
"1,140",,15,Public
662,,3,Public
553,,9,Public
451,,15,Public
379,,1,Public
337,,3,Public
345,,1,Public
314,,12,Public
304,,16,Public
789,,2,Public
356,,80,Public
253,,2,Public
255,,24,Public
256,,5,Public
270,,22,Public
266,,28,Public
270,,21,Public
277,,51,Public
252,,26,Public
287,,64,Public
247,,3,Public
246,,5,Public
248,,1,Public
247,,7,Public
272,,16,Public
,,,
607,,297,Public
246,,4,Public
260,,25,Public
245,,1,Public
247,,1,Public
255,,25,Public
248,,8,Public
264,,31,Public
246,,9,Public
251,,13,Public
359,,113,Public
250,,6,Public
755,,225,Public
248,,10,Public
230,,4,Public
374,,21,Public
248,,7,Public
303,,17,Public
287,,65,Public
279,,8,Public
517,,98,Public
330,,19,Public
231,,11,Public
216,,21,Public
246,,2,Public
246,,10,Public
382,,62,Public
199,,14,Public
191,,3,Public
244,,2,Public
198,,126,Public
247,,5,Public
183,,12,Public
164,,10,Public
159,,15,Public
167,,1,Public
176,,2,Public
143,,2,Public
605,,13,Public
369,,85,Public
140,,12,Public
184,,31,Public
123,,16,Public
117,,1,Public
108,,3,Public
118,,45,Public
218,,167,Public
92,,1,Public
97,,11,Public
116,,20,Public
106,,34,Public
93,,7,Public
"1,745",,52,Public
77,,2,Public
99,,40,Public
67,,14,Public
72,,5,Public
83,,4,Public
180,,25,Public
897,,19,Public
178,,19,Public
813,,51,Public
"2,968",,117,Public
459,,420,Public
43,,14,Public
30,,19,Public
126,,22,Public
702,,4,Public
37,,14,Public
780,,362,Public
650,,149,Public
565,,8,Public
16,,25,Public
19,,2,Public
334,,37,Public
33,,37,Public
26,,57,Public
308,,67,Public
17,,33,Public
61,,62,Public
22,,15,Public
693,,158,Public
31,,43,Public
218,,63,Public
176,,51,Public
49,,49,Public
8,,24,Public
19,,38,Public
569,,4,Public
72,,36,Public
25,,21,Public
65,,44,Public
26,,8,Public
119,,80,Public
46,,46,Public
38,,13,Public
"1,305",,137,Public
35,,35,Public
244,,59,Public
235,,17,Public
"2,116",,148,Public
566,,126,Public
167,,64,Public
479,,247,Public
25,,13,Public
262,,274,Public
50,,29,Public
3,,8,Public
38,,46,Public
38,,63,Public
16,,40,Public
28,,30,Public
2,,1,Public
"2,010",,909,Public
66,,27,Public
220,,58,Public
81,,73,Public
14,,31,Public
60,,25,Public
5,,9,Public
29,,46,Public
62,,56,Public
6,,7,Public
17,,24,Public
38,,25,Public
5,,26,Public
35,,50,Public
221,,36,Public
14,,25,Public
766,,136,Public
17,,16,Public
236,,13,Public
291,,42,Public
3,,17,Public
165,,52,Public
228,,37,Public
287,,91,Public
899,,321,Public
13,,16,Public
137,,35,Public
15,,46,Public
25,,15,Public
58,,37,Public
65,,21,Public
44,,37,Public
22,,17,Public
109,,15,Public
3,,4,Public
690,,166,Public
719,,174,Public
2,,7,Public
20,,19,Public
163,,14,Public
18,,24,Public
54,,33,Public
32,,11,Public
101,,73,Public
51,,118,Public
326,,22,Public
11,,40,Public
25,,13,Public
195,,124,Public
18,,29,Public
120,,62,Public
50,,89,Public
