helpful_votes,page_url,total_review,visibility_status
257,,20,Public
389,,149,Public
51,,4,Public
105,,80,Public
39,,37,Public
201,,139,Public
111,,113,Public
106,,62,Public
53,,32,Public
26,,51,Public
257,,20,Public
389,,149,Public
51,,4,Public
105,,80,Public
39,,37,Public
201,,139,Public
111,,113,Public
106,,62,Public
53,,32,Public
26,,51,Public
177,,72,Public
60,,65,Public
8,,10,Public
16,,19,Public
7,,4,Public
61,,106,Public
4,,7,Public
160,,35,Public
157,,189,Public
2,,3,Public
28,,58,Public
48,,57,Public
136,,158,Public
63,,33,Public
29,,85,Public
31,,47,Public
92,,109,Public
68,,34,Public
54,,127,Public
26,,49,Public
38,,81,Public
26,,74,Public
390,,459,Public
51,,130,Public
8,,24,Public
405,,194,Public
"4,659",,437,Public
337,,605,Public
45,,101,Public
14,,38,Public
99,,62,Public
62,,104,Public
32,,22,Public
6,,16,Public
3,,22,Public
105,,161,Public
2,,12,Public
11,,20,Public
136,,243,Public
0,,10,Public
12,,28,Public
12,,14,Public
12,,49,Public
12,,19,Public
3,,1,Public
3,,3,Public
2,,12,Public
8,,27,Public
17,,20,Public
34,,78,Public
94,,59,Public
73,,92,Public
11,,20,Public
90,,131,Public
0,,20,Public
12,,32,Public
150,,144,Public
50,,23,Public
27,,59,Public
1,,14,Public
301,,108,Public
420,,185,Public
8,,29,Public
143,,280,Public
26,,22,Public
66,,73,Public
3,,9,Public
16,,25,Public
4,,42,Public
4,,23,Public
0,,0,Public
23,,51,Public
84,,69,Public
224,,143,Public
2,,22,Public
20,,25,Public
12,,43,Public
83,,99,Public
8,,16,Public
3,,1,Public
20,,38,Public
24,,57,Public
454,,573,Public
10,,31,Public
10,,22,Public
26,,20,Public
59,,50,Public
16,,36,Public
31,,38,Public
17,,27,Public
16,,48,Public
14,,36,Public
7,,20,Public
143,,231,Public
80,,71,Public
5,,25,Public
68,,50,Public
7,,48,Public
0,,7,Public
48,,89,Public
6,,24,Public
3,,7,Public
411,,275,Public
2,,5,Public
887,,193,Public
12,,18,Public
100,,76,Public
188,,146,Public
186,,81,Public
11,,12,Public
97,,48,Public
176,,89,Public
3,,4,Public
6,,31,Public
0,,2,Public
37,,65,Public
197,,255,Public
6,,39,Public
2,,27,Public
12,,17,Public
4,,59,Public
193,,32,Public
45,,31,Public
5,,32,Public
6,,42,Public
28,,67,Public
95,,65,Public
4,,38,Public
494,,150,Public
5,,21,Public
8,,30,Public
15,,28,Public
1,,2,Public
22,,55,Public
29,,40,Public
21,,56,Public
"5,956",,"2,285",Public
41,,21,Public
51,,30,Public
284,,264,Public
13,,13,Public
7,,5,Public
130,,402,Public
6,,23,Public
49,,66,Public
