helpful_votes,page_url,total_review,visibility_status
"1,364",,4,Public
"2,134",,237,Public
539,,63,Public
"10,909",,"1,157",Public
843,,71,Public
265,,35,Public
78,,1,Public
86,,30,Public
"61,922",,"2,365",Public
57,,23,Public
"1,364",,4,Public
"2,134",,237,Public
539,,63,Public
"10,909",,"1,157",Public
843,,71,Public
265,,35,Public
78,,1,Public
86,,30,Public
"61,922",,"2,365",Public
57,,23,Public
39,,15,Public
385,,132,Public
457,,293,Public
"1,752",,104,Public
"2,562",,121,Public
48,,10,Public
86,,79,Public
25,,2,Public
238,,178,Public
"1,259",,201,Public
23,,1,Public
866,,300,Public
182,,88,Public
165,,46,Public
517,,186,Public
77,,44,Public
14,,20,Public
29,,32,Public
119,,230,Public
175,,68,Public
,,,
85,,75,Public
134,,181,Public
19,,37,Public
22,,10,Public
,,,
,,,
,,,
,,,
,,,
97,,188,Public
,,,
,,,
,,,
305,,275,Public
,,,
571,,146,Public
15,,21,Public
578,,223,Public
65,,32,Public
,,,
312,,189,Public
8,,4,Public
112,,37,Public
15,,20,Public
17,,31,Public
,,,
286,,47,Public
170,,77,Public
8,,17,Public
,,,
112,,128,Public
"5,787",,"1,392",Public
,,,
,,,
141,,40,Public
,,,
,,,
113,,52,Public
,,,
,,,
123,,70,Public
,,,
122,,104,Public
,,,
,,,
,,,
14,,7,Public
97,,181,Public
662,,185,Public
2,,33,Public
,,,
243,,38,Public
,,,
14,,24,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
69,,67,Public
,,,
,,,
,,,
,,,
,,,
146,,165,Public
,,,
48,,15,Public
,,,
,,,
244,,238,Public
,,,
57,,96,Public
,,,
,,,
,,,
,,,
,,,
"1,687",,509,Public
763,,766,Public
,,,
,,,
39,,43,Public
,,,
,,,
,,,
3,,11,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
667,,96,Public
,,,
,,,
268,,223,Public
"1,184",,366,Public
,,,
,,,
89,,208,Public
53,,46,Public
317,,158,Public
,,,
,,,
,,,
,,,
42,,50,Public
,,,
228,,95,Public
,,,
926,,102,Public
174,,120,Public
,,,
,,,
559,,553,Public
,,,
,,,
,,,
,,,
,,,
156,,145,Public
,,,
,,,
,,,
31,,17,Public
"34,069",,"4,685",Public
19,,6,Public
,,,
3,,19,Public
,,,
,,,
64,,20,Public
,,,
,,,
,,,
,,,
131,,96,Public
,,,
172,,26,Public
135,,113,Public
,,,
,,,
,,,
,,,
,,,
344,,168,Public
185,,62,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"2,407",,757,Public
"2,487",,178,Public
,,,
,,,
,,,
,,,
,,,
431,,234,Public
,,,
,,,
,,,
153,,71,Public
493,,83,Public
1,,11,Public
,,,
,,,
,,,
,,,
34,,53,Public
,,,
,,,
207,,14,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
8,,39,Public
,,,
,,,
96,,45,Public
252,,172,Public
270,,50,Public
,,,
,,,
40,,39,Public
,,,
,,,
98,,68,Public
,,,
125,,43,Public
,,,
,,,
,,,
,,,
112,,51,Public
,,,
328,,90,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
84,,84,Public
716,,69,Public
,,,
11,,13,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
360,,286,Public
14,,15,Public
,,,
120,,114,Public
,,,
23,,86,Public
,,,
100,,111,Public
,,,
,,,
,,,
,,,
7,,24,Public
,,,
,,,
,,,
,,,
13,,12,Public
956,,51,Public
49,,40,Public
416,,133,Public
,,,
,,,
,,,
,,,
51,,26,Public
,,,
36,,23,Public
,,,
"1,909",,726,Public
,,,
168,,155,Public
,,,
451,,401,Public
,,,
,,,
,,,
2,,5,Public
,,,
,,,
,,,
,,,
,,,
258,,211,Public
,,,
,,,
,,,
,,,
,,,
"1,072",,405,Public
"2,733",,974,Public
,,,
2,,1,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
68,,50,Public
453,,311,Public
,,,
,,,
,,,
,,,
,,,
41,,49,Public
,,,
,,,
,,,
,,,
160,,77,Public
,,,
,,,
16,,32,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
96,,177,Public
,,,
15,,19,Public
33,,53,Public
,,,
103,,26,Public
,,,
,,,
,,,
,,,
262,,143,Public
,,,
,,,
32,,13,Public
,,,
,,,
32,,17,Public
304,,54,Public
,,,
,,,
186,,147,Public
,,,
,,,
,,,
,,,
,,,
,,,
"10,720",,915,Public
,,,
7,,12,Public
55,,95,Public
,,,
,,,
,,,
,,,
67,,32,Public
75,,56,Public
,,,
841,,275,Public
,,,
,,,
,,,
,,,
,,,
,,,
10,,43,Public
,,,
,,,
,,,
,,,
,,,
,,,
"1,748",,460,Public
,,,
,,,
699,,280,Public
,,,
,,,
,,,
,,,
32,,26,Public
11,,92,Public
,,,
822,,367,Public
,,,
,,,
,,,
,,,
,,,
,,,
25,,62,Public
,,,
50,,73,Public
,,,
,,,
,,,
50,,52,Public
,,,
220,,495,Public
,,,
1,,2,Public
"64,789",,"2,118",Public
,,,
7,,4,Public
,,,
,,,
5,,32,Public
"12,895",,"1,088",Public
90,,123,Public
12,,38,Public
"1,669",,442,Public
5,,18,Public
430,,402,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
23,,187,Public
,,,
,,,
97,,54,Public
,,,
6,,2,Public
"3,430",,"1,578",Public
,,,
,,,
63,,98,Public
,,,
,,,
,,,
76,,41,Public
,,,
0,,0,Public
,,,
24,,64,Public
,,,
,,,
,,,
