helpful_votes,page_url,total_review,visibility_status
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
911,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGD6OZSQZGKNT4IKL7ZLQX76ODGQ,193,Public
,,,
"1,227",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMYBWDN67IB5IBTMHLHN76V4QHQ,463,Public
,,,
,,,
"1,439",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELPK5YNXGIFRKAP7NS4RQRX5P3Q,401,Public
,,,
457,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3OIAL4RC52LHRLDRVI5R5HDIKA,22,Public
,,,
518,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF66XCWWQMZHEPUT32ZJXHV3YNJA,24,Public
182,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFXXOUF4LUMALLZDPR3KQRESTOBQ,5,Public
,,,
168,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUO3P345YYEGU7BL6OOFDD6VDNQ,43,Public
,,,
72,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUMR6YNFHW5CVGRPLXPGJEW6MEQ,2,Public
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG762J55EMDHICGS3W75EYDTIZNA,4,Public
"12,895",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFC3VEQNFIHIINL7SYGC5JCD74MQ,"1,088",Public
,,,
699,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOJDZL6CXRSSUTUOYNSEYJWFIZA,281,Public
66,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXZB6HHBYKSMQJ2THRPRV5YUL6A,1,Public
,,,
,,,
96,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWDVCVDW6HM7CX4KC54744YYK2Q,22,Public
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAIVPSJWT555BTPKEOAE42WYXUQ,19,Public
388,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDWO2UN3BNH43QUGKCHR62VLXZQ,237,Public
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE65LVZHTQQT4D6UTQS2Z4RCSRSQ,17,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKKPU25E3TS6WQFJLGC5VXN56RQ,17,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBJE4TFWJWALLY2WYH464K4AHAQ,9,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIHJHZKUFE6DPHGC76AFHEKN2VA,32,Public
170,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4CXRI3GMPHOL5VYKQXHY6IW5YA,82,Public
,,,
51,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCTISNGPZNULSEMSNAZUQVG2GGA,70,Public
,,,
,,,
