helpful_votes,page_url,total_review,visibility_status
"1,683",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYK3B43JT4OSZT2XS3YSGPWTLAA,18,Public
"1,175",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMWUQHB5QY36SMYKMQV42TOMQGQ,58,Public
"1,328",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSUWRW7JW4EHRDN3IZ2QTTFBEMQ,96,Public
"2,690",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGA2WEYL2VFKKPE2PL5PTZIDBGPQ,504,Public
731,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZRRQGY23YPVRA7HJXS5MLTK43A,18,Public
625,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHOPP73Z6OZZEVOF6N47KRB6ZJA,41,Public
674,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJBGJS2CPV6TQH5SWTTGVIPHTZA,125,Public
548,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXLLGSCIQ6O22CDJFN43W2WTBNQ,13,Public
694,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGITQHPC5FXJDDZ2PGXNV3BUN2CA,108,Public
380,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3MDZOJWRTNK3QGRQOJSUJIIXIQ,24,Public
"1,683",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYK3B43JT4OSZT2XS3YSGPWTLAA,18,Public
"1,175",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMWUQHB5QY36SMYKMQV42TOMQGQ,58,Public
"1,328",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSUWRW7JW4EHRDN3IZ2QTTFBEMQ,96,Public
"2,690",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGA2WEYL2VFKKPE2PL5PTZIDBGPQ,504,Public
731,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZRRQGY23YPVRA7HJXS5MLTK43A,18,Public
625,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHOPP73Z6OZZEVOF6N47KRB6ZJA,41,Public
674,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJBGJS2CPV6TQH5SWTTGVIPHTZA,125,Public
548,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXLLGSCIQ6O22CDJFN43W2WTBNQ,13,Public
694,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGITQHPC5FXJDDZ2PGXNV3BUN2CA,108,Public
380,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3MDZOJWRTNK3QGRQOJSUJIIXIQ,24,Public
337,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHO3UT5545H2XSJKAXKCAXQKOMVA,6,Public
452,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFY6OK43LSHK37KR7FWXYA2K6JIA,117,Public
228,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLDFHMCP25AC2NSPFZIHSD3WWTA,35,Public
"1,117",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2POVBPO5VRVN6LDHUVE2VTH33A,158,Public
137,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOVNRPIYT4PWZBAFTLQUZLJK5AQ,32,Public
185,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHA7H2OMZCVQGIPDRX3BMUCAKY4A,37,Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFW5XFC2NL26O7UEUXEYDYER6HAQ,20,Public
141,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTRN52VWPMY2C4DKRT65ZQUEQIQ,42,Public
73,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEAHUXBF6STOUKOFWZRRUUIHNEQ,8,Public
81,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEULJC2Y7WP2LJHRW7EONLE56SQQ,21,Public
141,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBQYHLVMJZCWMXWZUZQCY5QBLWA,79,Public
221,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFFIO3PLTCEEECMRGPLKT3CQZEA,36,Public
873,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVIISJK7YHXI7NMX7BNSDEYU2BA,158,Public
89,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF55M7CPZDDMXOR6ODF36TEIVGVQ,35,Public
89,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEZ7NMMQ5ZARCQDPJAB627A4TJQ,39,Public
977,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7OBK5ECA2XP2LYLN526V7JDEXA,55,Public
446,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7CS72JX64M3PZ4HWSY3SYNNKMQ,131,Public
255,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6ZJIYLYSA4YBR3DI6UEOQTESIA,76,Public
260,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZV55KHNJZRF7ACXTKA4QOTAY7Q,62,Public
499,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5SG73R3TINUXR2PZ32A6CV62GA,65,Public
75,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGHXM57XBDSM3WMZMPMPY2QXLSQ,46,Public
86,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHWPKFWVVIWMDIY7HJVUHNRABSA,35,Public
133,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETH4SOTYVIZT6DLL6ESRLMM4PNQ,56,Public
70,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFW5XN6JLYSLY4F5JY4LFWTN3FAQ,71,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMQQQE5BVQUKJJYH5LDRGROHXSQ,30,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7DMRF46FREHEFGWQILR3TBQ3SA,48,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFGPFGLG2JOHZKLVQYUE4OC76HA,101,Public
62,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUXFS2OGVVC4K2AWRAH6ZQRH3LQ,47,Public
156,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEW2TA7IS4QLQU2ZXZW4IIRIVXSQ,143,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEN2HP4UCHPISG3YA5ESC4LWX2YA,2,Public
614,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4IP4PAJYOUSE4WSOL45URVS6AA,215,Public
"1,832",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7ETAEFQH4OAZZI4CIOKQWL27PQ,325,Public
63,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFX46FENUBQTI7FQH3FYYZYADJA,25,Public
66,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEPD6BG5I4RY3VM4BC6TCYPPSAQ,49,Public
655,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWUXHGC7PUZXX4T6H7TSNYPKW3Q,282,Public
126,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMEQ6I7NZ4CVU26RWFY5ZNVR73Q,53,Public
81,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOQB65JYZ3XB44WPYB2D42TSCRA,34,Public
184,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHD5ROTYRLQU5I5MXI7J2Z5RM6WQ,12,Public
"1,072",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4DRZSLSIOOFJFCDTRTOWPU2QOA,42,Public
431,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDTM5FATLQWYYUG6G7N5UZY2AGQ,303,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH7JL3TBAOJZXUOICSUA7XXJY3DQ,30,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSXBG33LRQ4XGAD77LB6IXFJIGA,25,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBFRYOZH5B3SW44MGSC2IEVZWPA,5,Public
284,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEELGI62DHH33GAFBBGQDSV7QV5Q,66,Public
209,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5WQ7YHVFPWB2E7CXMKPZCCTKRQ,40,Public
