helpful_votes,page_url,total_review,visibility_status
300,,76,Public
334,,47,Public
83,,15,Public
746,,1,Public
"1,212",,282,Public
46,,19,Public
45,,2,Public
125,,47,Public
48,,53,Public
161,,40,Public
697,,191,Public
19,,20,Public
49,,57,Public
19,,14,Public
515,,308,Public
14,,14,Public
40,,29,Public
58,,34,Public
"1,569",,276,Public
449,,81,Public
178,,60,Public
277,,125,Public
9,,4,Public
147,,101,Public
804,,277,Public
816,,76,Public
544,,201,Public
248,,103,Public
162,,33,Public
673,,225,Public
93,,51,Public
71,,39,Public
17,,15,Public
840,,263,Public
180,,48,Public
30,,38,Public
87,,88,Public
127,,81,Public
16,,44,Public
197,,86,Public
797,,162,Public
179,,22,Public
44,,8,Public
108,,64,Public
12,,33,Public
37,,67,Public
"7,278",,708,Public
510,,85,Public
37,,30,Public
"1,688",,811,Public
690,,446,Public
71,,27,Public
344,,47,Public
41,,43,Public
759,,105,Public
406,,93,Public
1,,4,Public
32,,29,Public
11,,9,Public
302,,145,Public
107,,35,Public
204,,34,Public
731,,565,Public
"3,785",,973,Public
56,,38,Public
40,,44,Public
46,,20,Public
90,,42,Public
238,,73,Public
501,,64,Public
231,,88,Public
162,,109,Public
30,,49,Public
220,,80,Public
107,,14,Public
3,,10,Public
6,,30,Public
791,,77,Public
115,,69,Public
2,,8,Public
95,,37,Public
189,,162,Public
28,,18,Public
171,,264,Public
9,,30,Public
45,,18,Public
93,,21,Public
4,,17,Public
5,,6,Public
78,,66,Public
734,,142,Public
262,,140,Public
289,,149,Public
356,,45,Public
68,,30,Public
331,,67,Public
77,,61,Public
9,,11,Public
97,,43,Public
79,,88,Public
341,,69,Public
64,,38,Public
92,,78,Public
69,,47,Public
204,,287,Public
138,,144,Public
110,,62,Public
467,,407,Public
519,,159,Public
43,,20,Public
894,,75,Public
167,,123,Public
212,,64,Public
129,,45,Public
8,,8,Public
4,,29,Public
23,,34,Public
121,,96,Public
949,,316,Public
834,,282,Public
163,,84,Public
15,,56,Public
20,,7,Public
"1,280",,108,Public
113,,67,Public
102,,195,Public
"1,228",,161,Public
392,,46,Public
31,,21,Public
205,,67,Public
35,,26,Public
34,,28,Public
19,,13,Public
46,,37,Public
210,,119,Public
7,,19,Public
231,,59,Public
22,,54,Public
49,,42,Public
5,,2,Public
223,,60,Public
1,,4,Public
34,,8,Public
29,,50,Public
4,,15,Public
959,,289,Public
11,,13,Public
186,,103,Public
30,,62,Public
343,,349,Public
83,,12,Public
82,,57,Public
16,,43,Public
52,,35,Public
126,,88,Public
"2,871",,42,Public
34,,60,Public
61,,41,Public
14,,12,Public
34,,30,Public
7,,33,Public
283,,22,Public
244,,88,Public
18,,27,Public
26,,44,Public
23,,39,Public
170,,44,Public
340,,128,Public
25,,35,Public
50,,42,Public
159,,82,Public
1,,1,Public
130,,62,Public
20,,35,Public
115,,42,Public
170,,96,Public
41,,37,Public
50,,25,Public
59,,56,Public
58,,61,Public
21,,21,Public
80,,76,Public
4,,17,Public
40,,50,Public
150,,46,Public
15,,32,Public
162,,89,Public
25,,34,Public
15,,104,Public
16,,27,Public
63,,48,Public
151,,32,Public
251,,63,Public
106,,116,Public
124,,64,Public
52,,25,Public
227,,120,Public
10,,34,Public
17,,33,Public
56,,55,Public
262,,42,Public
35,,43,Public
0,,5,Public
"1,049",,208,Public
152,,72,Public
71,,153,Public
3,,5,Public
9,,38,Public
70,,39,Public
195,,70,Public
9,,11,Public
2,,5,Public
27,,12,Public
3,,7,Public
46,,22,Public
291,,97,Public
2,,4,Public
205,,340,Public
28,,28,Public
2,,9,Public
973,,340,Public
21,,10,Public
66,,22,Public
39,,54,Public
"1,558",,556,Public
18,,8,Public
"1,205",,12,Public
26,,47,Public
4,,11,Public
48,,37,Public
191,,38,Public
87,,98,Public
83,,91,Public
5,,15,Public
133,,36,Public
90,,57,Public
34,,54,Public
97,,103,Public
223,,171,Public
31,,35,Public
27,,35,Public
666,,225,Public
36,,46,Public
61,,98,Public
201,,82,Public
772,,167,Public
188,,82,Public
12,,36,Public
44,,20,Public
16,,14,Public
11,,14,Public
408,,26,Public
46,,11,Public
63,,43,Public
70,,33,Public
47,,26,Public
11,,29,Public
26,,38,Public
46,,49,Public
122,,75,Public
20,,16,Public
57,,35,Public
34,,35,Public
3,,2,Public
339,,102,Public
5,,21,Public
11,,13,Public
30,,41,Public
"9,144",,"2,082",Public
403,,37,Public
52,,16,Public
216,,49,Public
8,,20,Public
484,,167,Public
252,,196,Public
14,,18,Public
82,,65,Public
142,,54,Public
122,,39,Public
77,,123,Public
0,,18,Public
168,,81,Public
533,,276,Public
1,,1,Public
104,,44,Public
315,,95,Public
4,,8,Public
4,,35,Public
31,,55,Public
63,,59,Public
3,,15,Public
27,,19,Public
25,,37,Public
58,,90,Public
24,,11,Public
135,,109,Public
14,,8,Public
94,,25,Public
208,,116,Public
534,,45,Public
58,,94,Public
12,,20,Public
25,,22,Public
0,,4,Public
3,,18,Public
204,,164,Public
98,,32,Public
2,,10,Public
42,,59,Public
3,,19,Public
109,,90,Public
94,,120,Public
41,,67,Public
27,,10,Public
3,,11,Public
"1,137",,323,Public
44,,19,Public
155,,66,Public
140,,20,Public
,,,
31,,49,Public
85,,26,Public
,,,
84,,43,Public
,,,
,,,
,,,
,,,
,,,
,,,
589,,111,Public
,,,
,,,
510,,180,Public
,,,
"1,086",,159,Public
,,,
,,,
,,,
318,,238,Public
,,,
75,,122,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
43,,38,Public
,,,
,,,
,,,
,,,
45,,46,Public
28,,59,Public
0,,9,Public
239,,60,Public
,,,
,,,
1,,1,Public
,,,
79,,13,Public
,,,
,,,
31,,17,Public
,,,
,,,
,,,
,,,
7,,38,Public
,,,
,,,
77,,35,Public
0,,2,Public
,,,
,,,
,,,
160,,57,Public
5,,11,Public
,,,
,,,
,,,
,,,
,,,
509,,17,Public
,,,
,,,
,,,
86,,114,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
274,,142,Public
,,,
,,,
,,,
,,,
,,,
,,,
751,,85,Public
,,,
,,,
,,,
22,,6,Public
5,,4,Public
,,,
,,,
28,,20,Public
,,,
61,,57,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
51,,71,Public
,,,
,,,
29,,71,Public
,,,
141,,20,Public
,,,
,,,
,,,
,,,
,,,
925,,113,Public
1,,9,Public
,,,
,,,
27,,31,Public
,,,
,,,
64,,55,Public
,,,
21,,37,Public
4,,14,Public
,,,
,,,
,,,
9,,39,Public
,,,
5,,30,Public
,,,
,,,
,,,
29,,23,Public
,,,
,,,
18,,34,Public
87,,99,Public
64,,16,Public
10,,34,Public
,,,
4,,22,Public
,,,
,,,
,,,
130,,120,Public
194,,208,Public
7,,8,Public
,,,
1,,15,Public
82,,41,Public
,,,
14,,19,Public
,,,
,,,
21,,28,Public
,,,
42,,38,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
