helpful_votes,page_url,total_review,visibility_status
,,,
,,,
464,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2Z7T5UZUO4NNU4NW7VTUYJO5VA,48,Public
"3,629",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLGKURVZFOIVEC36XGCOEXG3APA,753,Public
490,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMLYYFYL7FOGVS4Z2MTSM7Q5RSA,45,Public
721,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6UISSKNKT664NPIOBLMZOIY7MA,46,Public
371,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSAF6SXN6KXYZXKUAGFLAZZRFWA,172,Public
379,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDORGMQ6KJUDJ5P3PHLWIMOZ7DA,174,Public
395,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFA6BB3X5RKDR7SBAQNQOGE5RZAQ,71,Public
125,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYMS5VZAXA3T4RWMVK2R7YYFTYA,27,Public
764,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWYKJZV543W4HMLMCAIMFJ2E6CA,511,Public
464,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2Z7T5UZUO4NNU4NW7VTUYJO5VA,48,Public
"3,629",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLGKURVZFOIVEC36XGCOEXG3APA,753,Public
490,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMLYYFYL7FOGVS4Z2MTSM7Q5RSA,45,Public
721,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6UISSKNKT664NPIOBLMZOIY7MA,46,Public
371,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSAF6SXN6KXYZXKUAGFLAZZRFWA,172,Public
379,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDORGMQ6KJUDJ5P3PHLWIMOZ7DA,174,Public
395,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFA6BB3X5RKDR7SBAQNQOGE5RZAQ,71,Public
125,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYMS5VZAXA3T4RWMVK2R7YYFTYA,27,Public
764,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWYKJZV543W4HMLMCAIMFJ2E6CA,511,Public
58,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHG2TFFZQQMJFI3RSQJF5VKC6EDQ,39,Public
517,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZXUWRYHNMMH4FANVZ5VZNVSFSA,144,Public
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEW3PPO4UA3ALBZT5F7WA7QOU45Q,65,Public
109,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFCEHS5ZHPINBQBSFYZ7GHBGVHQ,35,Public
