helpful_votes,page_url,total_review,visibility_status
"1,205",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWDYYBTRL6L6RWNUZSX64AQ2WCQ,188,Public
493,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLYXUSUG5YWI2J444V2UZMPEGXA,1,Public
211,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOXRNPENVKZTXSCLSUUA5TOFXRA,228,Public
"7,039",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDPBHMQZSV5ABHU5ENOKNOSKZTA,"1,444",Public
167,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMLLEGJO7BNN575LQA5VRIC6YAA,4,Public
"1,179",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIPZFQUKE2OBEKXISFZQJIRWO2Q,183,Public
671,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXNB2IBRK5HNOJRBUOVAM73227A,33,Public
525,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFADEJIH5AGLD2LJ5EDYBLI6ZXFA,110,Public
"1,237",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEF4JENZJEWYZ5U77DJTW53TNSA,56,Public
241,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDUHEYPDLY2POR4CLTAXMS3272A,9,Public
"1,205",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWDYYBTRL6L6RWNUZSX64AQ2WCQ,188,Public
493,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLYXUSUG5YWI2J444V2UZMPEGXA,1,Public
211,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOXRNPENVKZTXSCLSUUA5TOFXRA,228,Public
"7,039",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDPBHMQZSV5ABHU5ENOKNOSKZTA,"1,444",Public
167,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMLLEGJO7BNN575LQA5VRIC6YAA,4,Public
"1,179",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIPZFQUKE2OBEKXISFZQJIRWO2Q,183,Public
671,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXNB2IBRK5HNOJRBUOVAM73227A,33,Public
525,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFADEJIH5AGLD2LJ5EDYBLI6ZXFA,110,Public
"1,237",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEF4JENZJEWYZ5U77DJTW53TNSA,56,Public
241,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDUHEYPDLY2POR4CLTAXMS3272A,9,Public
285,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQ6OCL4SKQUACAHXRKMIUGBKVLQ,19,Public
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGC6JJWPTL7T5UUZOR7VSRJZ44FA,40,Public
"1,048",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQQXVSWYV6KLJ5GMHG33FNY65AQ,66,Public
170,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHU7WKNV7UW5WDNATONLSXALWTQ,118,Public
978,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSQBN2IXM35MAPJZMB7PP2BNXUA,657,Public
94,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEB3WA67YXUGWAWYVGKEUFJRH2SQ,63,Public
118,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3EJJSPOOBPXW6RE35IQZF32WAQ,19,Public
"1,363",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGC7VFH3OGHJGGKV6OHLGRJSMEKA,105,Public
690,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUHGYNTIYF26YQGIKJCDTRJIUUA,239,Public
416,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUGUEBW3DDUXUIHVF7PYASDTBNA,213,Public
"1,496",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHCWICGPJERZKOJ2INRYFSR62NAA,"1,124",Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPJHX374A6ALH2JZI4X44NEUHQQ,35,Public
48,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBZ577FOF2QM3WATU3GX3TRR5KA,30,Public
140,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4MGN7AJENRAL2AXJL3PO5RCK2Q,37,Public
"1,097",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5SNWXT6XKKEB4MDXCEBB56MRHQ,158,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHL6RYMC2UDUWLC6ZKVCN3ZW7FHA,23,Public
62,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXUIE7IEGCDKFR7YNB5AA7D7GVA,33,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYFAVWO5JWOHKU3QX6FLCX5MSGQ,21,Public
127,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBBNSK4BPM5T6VGFEXXWE63PZEQ,42,Public
199,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFGGHDSHWVBYOHJIUWDGUEFMJ7A,135,Public
"2,306",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2KYOXKVYDH4LJPAIYDBG2KRKTQ,403,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3SY5PPHY5K4LTHHPPOAQWBV5LQ,2,Public
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH2P4DSL26DR3CNJBZDOPKPICEXA,40,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHHJZLV7DHM3AJHH2EHZRPW7MXQ,22,Public
280,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBZFGBKN2Q4VMTHNS3WNRBENUMQ,42,Public
149,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMFSZOKS2NMSIZSEOLHXOGRA36Q,63,Public
292,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEI55OY2GRK7JEHTOISPYZVARW4Q,116,Public
147,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUYAIXKZ5HHTCMAONHB7QJPA5BA,127,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPCCVGJ56DTDOSITE4RBRY2LDLA,7,Public
120,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHC47OSHN2JO6P24REUVGFHV36DA,128,Public
"1,094",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCK4Q42L6FJKMR4MD35NQRALXPQ,204,Public
"1,470",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEY54BQKH7C66PXKNPQCANTSQ2Q,38,Public
"5,367",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEORKV37TBIZ6T7OX2JRU2LE7WEQ,"3,122",Public
35,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVXPSESJOKNR4QJ6FNZGCUL2QAQ,5,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPMDO3TRHJNKACMOJAL5CTEKEIA,48,Public
178,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVDQXIXAO6HC45YD7NAOSDRVI5Q,179,Public
"1,001",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQECWVGU56PSYJS6T3YAJTLDP3Q,513,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLMRT5HTGNCUA7QCRNAYXT6AOOA,39,Public
34,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBJG52NJSDHZ6UAK4JF2NQZPQ2A,32,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXWMKSIBIGRXRTORGZH7GDLJG3A,23,Public
220,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRNZON6HKDIPFYT43WRWEKYGPGQ,121,Public
554,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGF55SROCPDBQYFNZDGEW3Z6DJVA,181,Public
240,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJ4DRS3XSP7HG7GYMPLYHMZMH6A,45,Public
312,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVF72CFKCJ2QCNZGBDHVU236GXA,99,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEINJMQVKYNQ2VVSZNTI7GLZUBVQ,53,Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEFMAHMJHDVVE7QP4DFMRGOTYKQ,225,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAN7UCZNJEDDP5JZ5GRLHPRU5BQ,78,Public
181,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEO6SVTTIBLR6ID6TGBEXZCT6QAQ,117,Public
489,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKTPTBCEXIJYLXVYSMH6VEEP6BQ,64,Public
38,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7KRO7Y7X4B3MW7SKJSFQ4FWPQA,28,Public
937,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENK4VNGQA3U6G7ZVMHJXIH3WBGQ,147,Public
259,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVK3RHYIMJVLXRGFCCIZ4IOACIQ,296,Public
53,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGO7LQ4W6XYALBCDW7ETXLR7SQBQ,127,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHV52R32MB65QJI5UMXDL36O7F3Q,40,Public
227,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGH52KD3MVVOUSGYLDNSQZCLNCRA,342,Public
40,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOORMANG42MVFCIMNH54MO2SPBQ,26,Public
631,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGL2ZXXT76ILQKSOLRIFALF5WO5A,80,Public
65,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH66MSQ7DF2HDCT4V27WNWKRUNMQ,16,Public
182,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIVPGU2CEUQFP4HAO4XNEY3RQNA,79,Public
221,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGBLOPBU7OSDC6NZMXIIWBJS7EA,202,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFIZBSMNFLHXZ64NR7JEV6W3SIQ,35,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMRMB34TNQF27OAKJSFZOBGZXDQ,43,Public
424,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJIPMUJQNV4FPACH5WLUL5D3GTA,258,Public
59,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJ5DZSGL72CEAJP4JUDXHNAOWWA,66,Public
53,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERJEWXDBSBNTA4HDAOVS5B4AOQA,52,Public
119,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGA5XLUTZJ7RMTPDADZWUC734F2Q,64,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7XX7IIUHHK4AZITQRSPQFESVPQ,55,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQ4ZZNML775SJVVRPFCFBZ4UKVA,22,Public
290,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGB6BSMQRD7CHEODM2PGGXBKTMUA,412,Public
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHW2J6HN6AQKBEB3WIGRRQHESKZQ,67,Public
