helpful_votes,page_url,total_review,visibility_status
"30,682",,325,Public
"2,790",,25,Public
"2,063",,22,Public
"1,880",,86,Public
"31,036",,298,Public
"1,162",,1,Public
775,,29,Public
789,,38,Public
293,,40,Public
"2,105",,348,Public
222,,2,Public
271,,19,Public
197,,7,Public
185,,18,Public
255,,204,Public
194,,21,Public
940,,201,Public
257,,146,Public
162,,27,Public
148,,46,Public
345,,93,Public
"4,664",,86,Public
96,,60,Public
307,,46,Public
43,,10,Public
108,,32,Public
383,,229,Public
152,,72,Public
39,,15,Public
647,,181,Public
79,,34,Public
82,,45,Public
37,,1,Public
26,,8,Public
74,,73,Public
567,,177,Public
79,,69,Public
189,,124,Public
613,,133,Public
309,,100,Public
25,,53,Public
405,,18,Public
166,,108,Public
21,,18,Public
27,,3,Public
14,,5,Public
529,,113,Public
"18,176",,848,Public
79,,73,Public
199,,113,Public
154,,60,Public
255,,66,Public
228,,106,Public
54,,85,Public
29,,41,Public
13,,30,Public
135,,141,Public
415,,35,Public
10,,3,Public
47,,32,Public
"2,106",,247,Public
9,,12,Public
492,,136,Public
98,,34,Public
71,,61,Public
136,,34,Public
"4,488",,610,Public
422,,175,Public
514,,53,Public
82,,88,Public
147,,31,Public
121,,60,Public
17,,33,Public
215,,78,Public
45,,2,Public
848,,227,Public
8,,1,Public
136,,45,Public
4,,2,Public
41,,49,Public
198,,67,Public
115,,46,Public
688,,205,Public
122,,25,Public
19,,59,Public
147,,73,Public
473,,177,Public
325,,54,Public
926,,118,Public
18,,124,Public
24,,40,Public
877,,53,Public
483,,121,Public
329,,67,Public
8,,5,Public
766,,331,Public
159,,257,Public
31,,56,Public
317,,99,Public
85,,70,Public
51,,50,Public
304,,28,Public
332,,62,Public
"2,132",,491,Public
134,,39,Public
206,,44,Public
355,,149,Public
"20,549",,"5,341",Public
8,,74,Public
416,,117,Public
21,,12,Public
14,,42,Public
4,,19,Public
37,,54,Public
134,,128,Public
37,,86,Public
330,,97,Public
9,,26,Public
66,,84,Public
8,,2,Public
49,,69,Public
72,,76,Public
31,,16,Public
15,,24,Public
"1,539",,"1,389",Public
35,,69,Public
148,,49,Public
55,,82,Public
215,,103,Public
255,,114,Public
176,,30,Public
72,,82,Public
564,,93,Public
380,,52,Public
"1,840",,262,Public
226,,22,Public
30,,2,Public
56,,17,Public
331,,220,Public
189,,100,Public
12,,10,Public
15,,23,Public
"1,127",,17,Public
98,,87,Public
9,,11,Public
161,,70,Public
38,,45,Public
6,,4,Public
"2,250",,157,Public
4,,4,Public
141,,75,Public
652,,122,Public
38,,60,Public
105,,36,Public
320,,210,Public
"1,781",,195,Public
30,,36,Public
7,,8,Public
742,,223,Public
"2,292",,616,Public
72,,27,Public
"1,358",,195,Public
81,,72,Public
37,,29,Public
43,,80,Public
785,,277,Public
"1,136",,222,Public
83,,66,Public
207,,60,Public
101,,74,Public
179,,133,Public
5,,10,Public
217,,282,Public
313,,39,Public
"6,194",,"1,923",Public
"13,537",,974,Public
68,,52,Public
532,,151,Public
518,,246,Public
"32,306",,"2,044",Public
115,,63,Public
418,,123,Public
649,,88,Public
117,,54,Public
409,,168,Public
335,,163,Public
38,,35,Public
436,,421,Public
127,,123,Public
418,,205,Public
112,,67,Public
114,,166,Public
830,,251,Public
139,,42,Public
483,,159,Public
"1,508",,581,Public
6,,45,Public
"1,662",,114,Public
530,,313,Public
778,,288,Public
109,,38,Public
14,,11,Public
61,,61,Public
69,,31,Public
189,,122,Public
360,,57,Public
659,,178,Public
28,,67,Public
77,,54,Public
3,,7,Public
237,,94,Public
24,,55,Public
373,,209,Public
92,,111,Public
107,,102,Public
380,,95,Public
165,,38,Public
548,,177,Public
32,,65,Public
956,,261,Public
665,,141,Public
4,,4,Public
35,,13,Public
39,,14,Public
77,,25,Public
11,,3,Public
778,,278,Public
140,,118,Public
279,,133,Public
10,,12,Public
139,,140,Public
93,,38,Public
56,,47,Public
"1,327",,325,Public
"2,645",,"1,090",Public
"1,661",,"1,279",Public
98,,38,Public
120,,108,Public
31,,14,Public
289,,322,Public
432,,50,Public
887,,"1,115",Public
44,,43,Public
285,,109,Public
1,,22,Public
62,,44,Public
37,,58,Public
147,,58,Public
82,,60,Public
46,,34,Public
855,,444,Public
124,,71,Public
145,,113,Public
37,,56,Public
69,,45,Public
"1,276",,165,Public
267,,36,Public
251,,70,Public
5,,18,Public
493,,350,Public
123,,53,Public
3,,3,Public
73,,71,Public
226,,89,Public
"1,113",,201,Public
12,,15,Public
31,,25,Public
52,,34,Public
17,,40,Public
56,,83,Public
57,,70,Public
115,,48,Public
70,,18,Public
"11,233",,660,Public
127,,66,Public
74,,80,Public
"1,185",,100,Public
72,,28,Public
112,,61,Public
800,,293,Public
46,,35,Public
142,,92,Public
42,,54,Public
96,,62,Public
"1,766",,137,Public
60,,46,Public
351,,89,Public
43,,34,Public
61,,42,Public
301,,104,Public
79,,34,Public
86,,50,Public
7,,31,Public
585,,91,Public
25,,27,Public
108,,39,Public
198,,60,Public
79,,92,Public
46,,51,Public
166,,122,Public
67,,27,Public
487,,84,Public
130,,96,Public
24,,11,Public
861,,286,Public
689,,67,Public
"2,110",,777,Public
23,,24,Public
"1,833",,"1,157",Public
1,,9,Public
819,,249,Public
"2,360",,138,Public
23,,63,Public
229,,135,Public
237,,21,Public
"4,000",,"1,085",Public
"1,098",,499,Public
114,,79,Public
9,,16,Public
"1,939",,541,Public
"2,036",,"1,059",Public
275,,48,Public
243,,29,Public
"61,754",,"2,360",Public
37,,49,Public
81,,92,Public
100,,47,Public
145,,102,Public
234,,165,Public
"5,798",,743,Public
102,,65,Public
315,,106,Public
"1,241",,244,Public
340,,134,Public
48,,31,Public
76,,65,Public
518,,116,Public
54,,41,Public
52,,7,Public
83,,78,Public
3,,16,Public
65,,50,Public
13,,33,Public
"1,878",,176,Public
54,,31,Public
222,,49,Public
7,,10,Public
27,,16,Public
432,,132,Public
16,,28,Public
522,,254,Public
519,,641,Public
89,,79,Public
111,,19,Public
32,,96,Public
"1,338",,422,Public
86,,66,Public
43,,34,Public
55,,38,Public
175,,92,Public
61,,55,Public
388,,124,Public
54,,16,Public
445,,126,Public
544,,23,Public
16,,24,Public
"3,289",,"2,507",Public
295,,51,Public
61,,36,Public
"1,328",,67,Public
992,,399,Public
3,,19,Public
79,,71,Public
21,,12,Public
407,,42,Public
"1,702",,761,Public
693,,134,Public
37,,37,Public
826,,278,Public
152,,34,Public
99,,64,Public
16,,10,Public
14,,9,Public
9,,19,Public
3,,17,Public
707,,239,Public
67,,27,Public
207,,113,Public
136,,78,Public
25,,23,Public
87,,56,Public
388,,187,Public
281,,57,Public
3,,24,Public
150,,49,Public
6,,9,Public
97,,57,Public
63,,62,Public
405,,67,Public
181,,53,Public
168,,35,Public
131,,28,Public
991,,63,Public
2,,17,Public
41,,38,Public
184,,34,Public
19,,53,Public
114,,73,Public
112,,78,Public
1,,12,Public
446,,71,Public
341,,114,Public
239,,287,Public
34,,31,Public
8,,17,Public
204,,68,Public
255,,112,Public
,,,
31,,75,Public
30,,46,Public
,,,
900,,246,Public
,,,
84,,70,Public
,,,
,,,
