helpful_votes,page_url,total_review,visibility_status
"4,960",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZU7C2U7CQUH5SHFAFZ5LGE7MEA,1,Public
"2,683",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMG2BM5ETWRQTCVJQPDWYK2WLAQ,37,Public
"1,635",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOMQGJB2G5EAKNJUN6VJW4CDLKA,65,Public
"1,075",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5XCCLXAXJYBSTKOBUU2RXIMJGQ,2,Public
"4,484",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEV66FG7T7TY2MI6C7FWALZV2BKA,630,Public
"1,085",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQQENP4YMLJDUS52O6ZW5QINUYQ,75,Public
"1,340",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFN7523L62X5GZWUGB6ZUEYS3GJA,115,Public
"2,067",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJGXBXHU4GM4J7SUVSKRVGBT3PQ,23,Public
398,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHH7SHD7PDI5H4EZWXBZUPQSFGRQ,37,Public
315,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGI7RK2ZLTYD73XVFWFYTQYZ3DXA,31,Public
"4,960",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZU7C2U7CQUH5SHFAFZ5LGE7MEA,1,Public
"2,683",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMG2BM5ETWRQTCVJQPDWYK2WLAQ,37,Public
"1,635",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOMQGJB2G5EAKNJUN6VJW4CDLKA,65,Public
"1,075",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5XCCLXAXJYBSTKOBUU2RXIMJGQ,2,Public
"4,484",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEV66FG7T7TY2MI6C7FWALZV2BKA,630,Public
