helpful_votes,page_url,total_review,visibility_status
,,,
151,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJGMYASJQEHY5GOZ4V4KDJ35AKA,3,Public
131,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJNX2KHQHEE267KUMQGMTVDHQDQ,2,Public
,,,
,,,
146,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYGPKEA6GREVDLU5GYKSJV4PJ7A,38,Public
93,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYWLZPDQR24TTUGVGWREQPPGVRQ,34,Public
538,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHT5YHHQ3XH4RFWVREDM6WVFX4Q,144,Public
87,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGO7HTP4OVG36MMXUHLN6D3HHQ6Q,113,Public
53,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6FDTY3JFRNSBDLCTJF4RVQHGSA,38,Public
,,,
151,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJGMYASJQEHY5GOZ4V4KDJ35AKA,3,Public
131,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJNX2KHQHEE267KUMQGMTVDHQDQ,2,Public
,,,
,,,
146,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYGPKEA6GREVDLU5GYKSJV4PJ7A,38,Public
93,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYWLZPDQR24TTUGVGWREQPPGVRQ,34,Public
538,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHT5YHHQ3XH4RFWVREDM6WVFX4Q,144,Public
87,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGO7HTP4OVG36MMXUHLN6D3HHQ6Q,113,Public
53,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6FDTY3JFRNSBDLCTJF4RVQHGSA,38,Public
374,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMF2XMD6WVPMZMEDEPYJKQOC57A,111,Public
34,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTFGLMRZAANEYIG67Q4DY6RPMUA,5,Public
"10,540",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTEMMCIMU62ONZHLLXEXSME4Z6Q,"1,239",Public
122,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJVIRD5YZKLAUAH745THBUUDYCA,2,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEERJP2UDGUOYHZFCMPJTWAWT3A,22,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5EBN2U2TZKVD3MG6N5W4Z5T32Q,4,Public
412,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFR77GZK5RPRDYGHQ4643NLKAR5A,145,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFXCSECLU72FBZZ6SW52PUGI6K5A,14,Public
66,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3HJWVX45K6Q4HRAMMRCRRWGAPQ,23,Public
158,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSH3Y77LVR3QFKGZEC5QFKLP74A,109,Public
"1,406",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYCO3J3D6UAG7HHMH6AVNBGAM4Q,456,Public
"2,257",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3BTCTFODYHLV3TQ2ZXZOBWI5BQ,445,Public
594,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAV2ENOSME7WGLTGVNWRHDMEFVQ,165,Public
183,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPHSDSJIQ5LMQTHG24CSHPX456A,125,Public
