helpful_votes,page_url,total_review,visibility_status
"1,690",,5,Public
"1,154",,5,Public
803,,98,Public
578,,12,Public
"1,690",,5,Public
275,,15,Public
131,,2,Public
172,,140,Public
125,,55,Public
332,,88,Public
"6,751",,480,Public
336,,14,Public
132,,2,Public
121,,2,Public
5,,17,Public
"1,154",,5,Public
803,,98,Public
578,,12,Public
332,,88,Public
47,,6,Public
166,,1,Public
164,,26,Public
162,,7,Public
123,,100,Public
98,,52,Public
56,,61,Public
99,,146,Public
12,,1,Public
30,,71,Public
45,,62,Public
18,,15,Public
32,,11,Public
7,,2,Public
810,,175,Public
112,,172,Public
"1,629",,348,Public
"6,751",,480,Public
336,,14,Public
132,,2,Public
121,,2,Public
106,,80,Public
67,,65,Public
9,,25,Public
12,,33,Public
240,,23,Public
1,,4,Public
3,,22,Public
111,,8,Public
19,,46,Public
62,,78,Public
28,,41,Public
150,,47,Public
128,,5,Public
35,,45,Public
46,,62,Public
46,,28,Public
37,,25,Public
24,,2,Public
213,,13,Public
89,,17,Public
506,,104,Public
64,,29,Public
42,,46,Public
24,,16,Public
173,,63,Public
122,,145,Public
31,,21,Public
5,,14,Public
38,,55,Public
33,,65,Public
21,,61,Public
7,,13,Public
13,,7,Public
4,,4,Public
31,,40,Public
42,,11,Public
9,,22,Public
12,,2,Public
8,,12,Public
3,,1,Public
7,,17,Public
4,,7,Public
63,,55,Public
122,,46,Public
"1,146",,69,Public
2,,20,Public
7,,23,Public
20,,97,Public
21,,41,Public
4,,34,Public
9,,37,Public
609,,87,Public
14,,9,Public
132,,58,Public
1,,7,Public
26,,25,Public
3,,16,Public
240,,23,Public
789,,177,Public
78,,88,Public
18,,28,Public
68,,19,Public
18,,40,Public
5,,14,Public
3,,10,Public
8,,19,Public
241,,85,Public
302,,74,Public
204,,69,Public
47,,32,Public
26,,160,Public
3,,12,Public
10,,18,Public
36,,38,Public
17,,61,Public
2,,7,Public
324,,58,Public
6,,17,Public
6,,8,Public
52,,5,Public
24,,27,Public
67,,40,Public
5,,23,Public
142,,49,Public
30,,4,Public
3,,2,Public
24,,32,Public
111,,51,Public
110,,24,Public
21,,71,Public
1,,16,Public
185,,36,Public
42,,46,Public
120,,123,Public
0,,7,Public
17,,24,Public
155,,66,Public
2,,15,Public
1,,6,Public
6,,22,Public
1,,6,Public
23,,35,Public
3,,15,Public
2,,10,Public
11,,3,Public
2,,4,Public
4,,16,Public
1,,19,Public
11,,29,Public
348,,21,Public
33,,16,Public
15,,18,Public
68,,87,Public
28,,46,Public
94,,53,Public
1,,2,Public
6,,50,Public
54,,28,Public
1,,12,Public
1,,4,Public
131,,124,Public
10,,22,Public
5,,3,Public
2,,1,Public
1,,13,Public
3,,6,Public
267,,53,Public
0,,2,Public
