helpful_votes,page_url,total_review,visibility_status
,,,
,,,
,,,
348,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFRD2HC5AHHOSDHOV7NLLJKLHEGA,177,Public
196,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPYNMXLJJKWWJ57PM3R2CSF4NQQ,106,Public
230,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFW6HAMSRFR2PSG4ZVZTY5Z43VGA,115,Public
,,,
,,,
,,,
"7,310",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7TF3YWEUIXHBLMQ2QCF4EHKZ4A,"2,304",Public
398,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNTVRZQMT3RWWDNLRFXU3TW42RQ,454,Public
,,,
"1,057",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYN2XKV44BDEL4EQR7FKM72UPEA,"1,801",Public
,,,
229,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFR3RLT22STCMRHWCU55IUTHLVYQ,151,Public
,,,
"2,181",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5OZYVAPLO374DQNA67WQM3YXYQ,283,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTZ7MXVQCZBD3NCHV4EOIXW4YNA,49,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHY5MPMNJYOH76HJRWH5WQCUTCZA,61,Public
,,,
,,,
207,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH2EWC726AUIOJPDD6LTWEIX43XQ,98,Public
,,,
,,,
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGL2HIZRU5X4R7RUPQTHUL3O4U3Q,55,Public
48,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTHMZYBRQ655WURKC3MT5O6J2ZQ,132,Public
556,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERRNNSTNLD2DWPGNLUXDGGSX5ZA,538,Public
169,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETJSF2NTIA7LMCMMVX6XWWDKITA,114,Public
133,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYDE54FBGDNXAQCPJNFHOAOG5NQ,92,Public
,,,
,,,
"1,371",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQWSREBML5RH7GZCFX6L57DDMHQ,104,Public
,,,
206,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNIVWRMPPEFQE5IMVJP3GFQV4OQ,237,Public
,,,
"1,897",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSDWIRQGFP5UIOAJ2HRUBUBQUHQ,412,Public
,,,
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAEYGBGH6TEIFGRXPTRLA7YAW2A,133,Public
,,,
,,,
,,,
,,,
