helpful_votes,page_url,total_review,visibility_status
100,,26,Public
187,,33,Public
28,,12,Public
45,,14,Public
57,,19,Public
71,,167,Public
593,,184,Public
62,,33,Public
138,,33,Public
773,,68,Public
75,,20,Public
17,,16,Public
81,,104,Public
143,,67,Public
212,,32,Public
480,,182,Public
19,,24,Public
152,,76,Public
195,,57,Public
103,,67,Public
61,,23,Public
85,,4,Public
352,,166,Public
425,,395,Public
97,,34,Public
70,,60,Public
34,,20,Public
168,,84,Public
49,,43,Public
39,,22,Public
14,,9,Public
4,,5,Public
147,,41,Public
45,,56,Public
"3,543",,131,Public
94,,114,Public
56,,114,Public
15,,31,Public
174,,76,Public
31,,23,Public
"1,845",,353,Public
145,,50,Public
18,,11,Public
276,,162,Public
869,,187,Public
270,,100,Public
49,,59,Public
626,,190,Public
41,,19,Public
7,,27,Public
16,,45,Public
"1,718",,205,Public
392,,231,Public
616,,62,Public
"1,271",,150,Public
430,,196,Public
206,,57,Public
496,,520,Public
4,,23,Public
139,,115,Public
85,,35,Public
36,,45,Public
269,,176,Public
"1,317",,196,Public
133,,136,Public
149,,87,Public
150,,42,Public
208,,43,Public
5,,9,Public
570,,56,Public
53,,36,Public
279,,59,Public
79,,109,Public
13,,18,Public
50,,69,Public
94,,20,Public
37,,61,Public
11,,27,Public
108,,74,Public
63,,136,Public
28,,125,Public
152,,52,Public
262,,71,Public
27,,48,Public
101,,50,Public
204,,77,Public
10,,11,Public
3,,1,Public
111,,91,Public
117,,75,Public
11,,21,Public
278,,205,Public
341,,183,Public
187,,215,Public
99,,197,Public
204,,102,Public
9,,130,Public
86,,74,Public
445,,227,Public
20,,24,Public
120,,15,Public
214,,90,Public
23,,44,Public
28,,27,Public
11,,30,Public
32,,31,Public
21,,36,Public
24,,49,Public
160,,80,Public
94,,76,Public
1,,8,Public
4,,30,Public
149,,36,Public
11,,41,Public
183,,98,Public
149,,124,Public
46,,104,Public
10,,26,Public
130,,139,Public
74,,31,Public
73,,63,Public
39,,24,Public
41,,62,Public
19,,138,Public
8,,15,Public
24,,56,Public
85,,41,Public
14,,28,Public
3,,7,Public
9,,52,Public
528,,348,Public
74,,68,Public
14,,17,Public
23,,45,Public
17,,54,Public
240,,108,Public
10,,19,Public
2,,4,Public
497,,102,Public
554,,134,Public
327,,119,Public
44,,49,Public
17,,58,Public
74,,69,Public
2,,23,Public
38,,65,Public
19,,6,Public
7,,21,Public
95,,24,Public
98,,57,Public
51,,67,Public
12,,8,Public
83,,45,Public
23,,22,Public
201,,74,Public
29,,73,Public
25,,12,Public
2,,2,Public
116,,147,Public
186,,85,Public
198,,228,Public
854,,396,Public
9,,14,Public
3,,6,Public
46,,39,Public
"2,846",,"1,227",Public
5,,6,Public
86,,36,Public
133,,96,Public
50,,45,Public
68,,94,Public
73,,20,Public
102,,96,Public
41,,60,Public
19,,34,Public
28,,32,Public
"1,676",,516,Public
18,,31,Public
37,,39,Public
57,,57,Public
11,,54,Public
2,,2,Public
76,,56,Public
289,,149,Public
0,,10,Public
172,,75,Public
6,,11,Public
43,,16,Public
12,,19,Public
30,,95,Public
9,,21,Public
37,,46,Public
8,,26,Public
184,,132,Public
13,,21,Public
424,,168,Public
49,,43,Public
181,,67,Public
49,,52,Public
73,,240,Public
10,,12,Public
17,,36,Public
0,,11,Public
240,,63,Public
50,,45,Public
61,,33,Public
13,,56,Public
159,,53,Public
36,,9,Public
282,,273,Public
14,,35,Public
18,,26,Public
305,,147,Public
190,,94,Public
72,,59,Public
29,,38,Public
1,,23,Public
22,,27,Public
2,,2,Public
24,,47,Public
15,,66,Public
1,,2,Public
25,,77,Public
62,,84,Public
287,,171,Public
12,,32,Public
11,,7,Public
26,,20,Public
33,,38,Public
178,,70,Public
11,,33,Public
166,,164,Public
92,,143,Public
"1,590",,236,Public
19,,29,Public
12,,39,Public
11,,58,Public
23,,35,Public
76,,26,Public
40,,27,Public
109,,170,Public
25,,29,Public
23,,13,Public
"2,715",,421,Public
73,,47,Public
314,,184,Public
11,,39,Public
268,,79,Public
1,,14,Public
17,,27,Public
9,,37,Public
28,,78,Public
16,,40,Public
18,,68,Public
33,,99,Public
414,,128,Public
1,,5,Public
13,,25,Public
3,,35,Public
54,,37,Public
85,,84,Public
2,,16,Public
366,,115,Public
3,,7,Public
19,,14,Public
66,,32,Public
316,,167,Public
273,,183,Public
46,,36,Public
137,,37,Public
21,,45,Public
13,,14,Public
21,,35,Public
65,,65,Public
9,,44,Public
3,,26,Public
41,,26,Public
174,,87,Public
75,,35,Public
54,,41,Public
250,,102,Public
29,,50,Public
22,,40,Public
53,,41,Public
23,,51,Public
139,,72,Public
10,,32,Public
22,,26,Public
39,,50,Public
22,,40,Public
76,,44,Public
386,,172,Public
"1,656",,482,Public
5,,22,Public
19,,15,Public
32,,24,Public
12,,18,Public
97,,88,Public
2,,14,Public
1,,3,Public
9,,14,Public
19,,38,Public
55,,120,Public
776,,188,Public
5,,27,Public
254,,180,Public
164,,213,Public
23,,28,Public
55,,12,Public
180,,59,Public
1,,3,Public
13,,29,Public
174,,166,Public
93,,95,Public
123,,26,Public
10,,19,Public
378,,152,Public
705,,333,Public
2,,8,Public
47,,72,Public
1,,11,Public
40,,21,Public
12,,22,Public
253,,275,Public
"1,145",,300,Public
535,,448,Public
12,,13,Public
84,,78,Public
28,,28,Public
67,,60,Public
53,,23,Public
35,,24,Public
71,,163,Public
59,,53,Public
56,,87,Public
1,,3,Public
25,,5,Public
128,,101,Public
2,,15,Public
303,,80,Public
193,,161,Public
47,,115,Public
427,,198,Public
89,,31,Public
130,,66,Public
70,,124,Public
42,,26,Public
49,,58,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
84,,108,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
10,,149,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
50,,62,Public
31,,58,Public
232,,89,Public
151,,164,Public
42,,26,Public
12,,11,Public
127,,77,Public
203,,100,Public
86,,104,Public
2,,5,Public
145,,125,Public
4,,17,Public
19,,49,Public
17,,25,Public
53,,109,Public
32,,81,Public
81,,80,Public
71,,44,Public
75,,19,Public
79,,33,Public
197,,205,Public
2,,2,Public
0,,3,Public
38,,68,Public
5,,12,Public
486,,524,Public
7,,19,Public
45,,59,Public
30,,48,Public
11,,40,Public
82,,241,Public
9,,32,Public
7,,23,Public
318,,386,Public
21,,23,Public
266,,91,Public
78,,60,Public
6,,40,Public
64,,73,Public
62,,85,Public
3,,24,Public
17,,19,Public
2,,33,Public
13,,27,Public
38,,127,Public
3,,27,Public
37,,34,Public
37,,20,Public
226,,51,Public
1,,26,Public
14,,26,Public
21,,29,Public
68,,45,Public
76,,114,Public
114,,68,Public
47,,63,Public
1,,10,Public
1,,49,Public
11,,16,Public
78,,67,Public
8,,20,Public
87,,121,Public
72,,4,Public
2,,8,Public
73,,25,Public
46,,80,Public
5,,21,Public
3,,21,Public
18,,85,Public
73,,52,Public
107,,147,Public
185,,128,Public
32,,32,Public
2,,5,Public
55,,91,Public
276,,162,Public
30,,43,Public
199,,93,Public
1,,1,Public
12,,30,Public
713,,140,Public
,,,
8,,24,Public
,,,
,,,
,,,
7,,43,Public
,,,
125,,19,Public
,,,
,,,
,,,
1,,15,Public
49,,70,Public
,,,
,,,
,,,
,,,
,,,
3,,15,Public
225,,321,Public
,,,
,,,
33,,48,Public
,,,
,,,
10,,13,Public
,,,
8,,15,Public
484,,220,Public
0,,12,Public
564,,463,Public
,,,
2,,14,Public
