helpful_votes,page_url,total_review,visibility_status
291,,21,Public
272,,45,Public
422,,42,Public
199,,14,Public
184,,27,Public
193,,10,Public
156,,100,Public
96,,1,Public
109,,48,Public
48,,2,Public
61,,38,Public
40,,10,Public
83,,8,Public
26,,28,Public
36,,27,Public
45,,46,Public
155,,120,Public
29,,10,Public
"3,639",,331,Public
193,,176,Public
124,,38,Public
208,,68,Public
45,,39,Public
188,,20,Public
134,,63,Public
23,,14,Public
408,,26,Public
14,,45,Public
56,,203,Public
320,,268,Public
24,,44,Public
65,,41,Public
6,,5,Public
9,,4,Public
118,,35,Public
14,,7,Public
151,,103,Public
146,,146,Public
515,,58,Public
31,,45,Public
47,,23,Public
164,,77,Public
10,,2,Public
37,,19,Public
45,,33,Public
35,,19,Public
"1,767",,727,Public
31,,26,Public
15,,16,Public
36,,39,Public
91,,116,Public
194,,124,Public
432,,177,Public
114,,49,Public
8,,26,Public
368,,111,Public
"1,326",,283,Public
79,,76,Public
311,,144,Public
357,,100,Public
12,,21,Public
733,,758,Public
6,,18,Public
1,,12,Public
128,,102,Public
80,,47,Public
37,,43,Public
266,,81,Public
161,,81,Public
212,,82,Public
10,,27,Public
52,,22,Public
17,,27,Public
91,,66,Public
902,,156,Public
56,,96,Public
128,,191,Public
276,,34,Public
82,,71,Public
73,,34,Public
22,,45,Public
73,,68,Public
295,,203,Public
51,,57,Public
"1,255",,316,Public
19,,42,Public
44,,61,Public
13,,14,Public
22,,85,Public
79,,42,Public
100,,34,Public
4,,16,Public
597,,247,Public
12,,27,Public
17,,38,Public
75,,199,Public
486,,136,Public
89,,118,Public
70,,19,Public
15,,22,Public
134,,77,Public
67,,62,Public
52,,43,Public
144,,22,Public
2,,3,Public
64,,139,Public
79,,75,Public
25,,60,Public
42,,40,Public
243,,94,Public
2,,14,Public
713,,201,Public
10,,44,Public
32,,54,Public
526,,25,Public
118,,63,Public
1,,8,Public
18,,75,Public
2,,21,Public
96,,80,Public
14,,60,Public
10,,31,Public
37,,61,Public
8,,21,Public
7,,13,Public
64,,46,Public
4,,33,Public
621,,51,Public
47,,27,Public
33,,34,Public
18,,30,Public
17,,26,Public
29,,40,Public
34,,56,Public
29,,36,Public
151,,116,Public
11,,15,Public
90,,47,Public
13,,8,Public
183,,25,Public
27,,60,Public
570,,360,Public
20,,48,Public
432,,492,Public
40,,83,Public
51,,7,Public
546,,101,Public
56,,56,Public
135,,215,Public
72,,62,Public
10,,12,Public
12,,12,Public
88,,46,Public
29,,56,Public
4,,1,Public
250,,127,Public
135,,55,Public
88,,216,Public
47,,35,Public
8,,28,Public
1,,18,Public
7,,29,Public
22,,46,Public
107,,147,Public
14,,11,Public
22,,7,Public
66,,35,Public
258,,154,Public
23,,13,Public
"1,843",,186,Public
17,,40,Public
57,,41,Public
19,,23,Public
257,,97,Public
8,,21,Public
96,,32,Public
273,,27,Public
17,,29,Public
228,,31,Public
237,,123,Public
157,,93,Public
37,,33,Public
72,,105,Public
0,,14,Public
106,,126,Public
43,,19,Public
646,,519,Public
208,,175,Public
28,,24,Public
38,,40,Public
"2,160",,"1,434",Public
803,,303,Public
14,,6,Public
15,,37,Public
622,,247,Public
60,,21,Public
45,,80,Public
11,,25,Public
256,,68,Public
233,,86,Public
5,,2,Public
131,,91,Public
25,,54,Public
35,,27,Public
157,,118,Public
500,,267,Public
120,,23,Public
295,,49,Public
31,,21,Public
135,,81,Public
130,,23,Public
98,,59,Public
109,,24,Public
17,,43,Public
291,,384,Public
26,,57,Public
34,,30,Public
12,,21,Public
2,,9,Public
36,,39,Public
15,,24,Public
13,,87,Public
24,,119,Public
28,,26,Public
2,,11,Public
84,,118,Public
51,,37,Public
6,,9,Public
2,,25,Public
57,,41,Public
166,,181,Public
13,,18,Public
201,,418,Public
5,,16,Public
94,,97,Public
1,,3,Public
94,,28,Public
104,,70,Public
1,,6,Public
15,,8,Public
180,,68,Public
202,,74,Public
3,,8,Public
11,,28,Public
161,,40,Public
7,,5,Public
22,,26,Public
24,,62,Public
121,,115,Public
25,,35,Public
69,,77,Public
5,,17,Public
42,,33,Public
69,,78,Public
38,,98,Public
1,,1,Public
"1,476",,381,Public
11,,16,Public
57,,74,Public
239,,109,Public
48,,43,Public
441,,22,Public
7,,16,Public
27,,57,Public
445,,148,Public
94,,79,Public
27,,75,Public
8,,9,Public
13,,17,Public
9,,26,Public
84,,97,Public
65,,88,Public
6,,37,Public
5,,18,Public
14,,12,Public
5,,15,Public
72,,50,Public
3,,25,Public
64,,53,Public
320,,167,Public
45,,29,Public
296,,189,Public
16,,32,Public
16,,56,Public
5,,38,Public
125,,149,Public
43,,41,Public
69,,24,Public
3,,22,Public
8,,44,Public
44,,49,Public
19,,24,Public
3,,17,Public
32,,129,Public
41,,21,Public
38,,38,Public
45,,29,Public
44,,71,Public
17,,27,Public
0,,4,Public
14,,44,Public
11,,77,Public
45,,84,Public
5,,38,Public
"1,212",,331,Public
2,,1,Public
109,,67,Public
9,,26,Public
31,,33,Public
114,,76,Public
41,,56,Public
47,,10,Public
4,,11,Public
10,,24,Public
6,,14,Public
1,,5,Public
16,,18,Public
20,,53,Public
71,,17,Public
2,,14,Public
75,,72,Public
66,,54,Public
180,,95,Public
137,,111,Public
2,,7,Public
4,,14,Public
18,,32,Public
121,,69,Public
26,,38,Public
466,,382,Public
73,,84,Public
18,,13,Public
19,,41,Public
80,,173,Public
105,,35,Public
25,,27,Public
174,,172,Public
29,,23,Public
14,,16,Public
168,,123,Public
23,,45,Public
40,,39,Public
23,,118,Public
24,,27,Public
,,,
136,,47,Public
30,,46,Public
149,,13,Public
254,,105,Public
,,,
13,,19,Public
"2,087",,210,Public
,,,
,,,
58,,26,Public
14,,11,Public
,,,
,,,
,,,
,,,
,,,
28,,45,Public
42,,68,Public
,,,
,,,
19,,31,Public
97,,43,Public
,,,
198,,56,Public
,,,
,,,
4,,40,Public
,,,
,,,
,,,
118,,53,Public
1,,1,Public
56,,193,Public
,,,
132,,92,Public
6,,20,Public
26,,86,Public
148,,161,Public
69,,40,Public
3,,4,Public
17,,35,Public
66,,220,Public
2,,21,Public
5,,28,Public
7,,18,Public
17,,42,Public
30,,20,Public
21,,58,Public
30,,30,Public
152,,105,Public
9,,12,Public
47,,23,Public
37,,61,Public
101,,25,Public
14,,33,Public
2,,4,Public
8,,8,Public
28,,29,Public
38,,30,Public
22,,43,Public
855,,357,Public
24,,38,Public
46,,34,Public
5,,38,Public
313,,368,Public
2,,6,Public
8,,19,Public
511,,306,Public
57,,63,Public
179,,65,Public
48,,90,Public
111,,67,Public
12,,8,Public
