helpful_votes,page_url,total_review,visibility_status
"7,353",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAZPUF3BNSPIDR5MUDZYBZMKQYA,109,Public
,,,
,,,
"7,353",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAZPUF3BNSPIDR5MUDZYBZMKQYA,109,Public
,,,
,,,
,,,
"2,607",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQYEML7DQLB6QX3QDXNUXV5X6NQ,1,Public
,,,
"1,066",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPD52BRXCGGXAYD4AOMZPP7GPWQ,14,Public
,,,
,,,
,,,
,,,
,,,
,,,
"1,066",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPD52BRXCGGXAYD4AOMZPP7GPWQ,14,Public
"1,237",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSFB3CUGEIM44TEP2TRFL4622FQ,372,Public
,,,
,,,
,,,
,,,
,,,
,,,
"4,845",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHENOL7OYLFKXQYTWH4PDFS6ZK4A,16,Public
,,,
,,,
,,,
,,,
,,,
338,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYZEQRRW3UIQFHYDZHPIMUKN3GA,30,Public
461,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKHVESZVZWLG62OVHFYO72QRTHA,9,Public
"6,941",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXRVPNPEOBGNP3EBW5V2XLAPASA,26,Public
,,,
159,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEG5ESUE4W5LXNQC4AHTWAVMTLA,28,Public
,,,
,,,
366,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMA6H6HHIXTLWZEUPSQHZJ5OMRA,40,Public
,,,
"3,386",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWLYI26G2PXQXLREXDSM2IQXLLQ,141,Public
779,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFASXE3IVLE6SLEIUL6MZLWZPSHA,199,Public
134,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPFTV7FLQWQDNTT3Q6B7IM7PLVQ,42,Public
"1,469",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPNHTI2VOFJ525K4OIAU4RFPPTA,177,Public
,,,
124,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGF4OGKK2OUI5HKSVS7R3FRPS2BQ,1,Public
,,,
,,,
,,,
,,,
"1,000",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4IXUIZ6GDG7S4QR42RP47RHHFQ,3,Public
,,,
243,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2FZAMG25BRKHCI6DD5G4T3MKDQ,39,Public
458,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2C42FA2IZSQZEY5HKT4VQ4LHBQ,2,Public
124,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIGD5QTPKXRDGLFJMJTTSORUJRA,33,Public
352,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFC2COTC4XBLXJ7BJJWWZZYXEDBA,82,Public
250,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJEBZUBNADJCYIUH4QFJ4HT2QJA,19,Public
"10,720",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHE6A2KMCMQSOHCMNE7JQHSAHTRQ,915,Public
,,,
,,,
124,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6TQ6HMDHYLUQXJCOLW6IWINVFA,15,Public
93,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3LN432BVZOFTO7JR6DE2CMIVTQ,53,Public
599,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVXIPSIX6NTGUS4Q36J2FSMFBFQ,59,Public
,,,
,,,
"2,821",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESJB3CAC4FITHDITCY6WUDF6SVQ,211,Public
"2,274",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTHLSXHK6FITSZTRCDN7CWIQOGQ,31,Public
,,,
,,,
,,,
227,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFULYUUVCRN6AZH4VTKPZ4YAFCDA,2,Public
,,,
102,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDB7LGM5UCBALQC5BRNURQ5FJHA,42,Public
100,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRGOVCS2AICPI5S6L5NM56CF5FQ,2,Public
64,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7BQGUZJPYULABWNHUVHF6K42XQ,7,Public
,,,
,,,
157,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFSOSMX67LVQA4MDU4ENCSJV65Q,15,Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEEVXGIFHAOSDMJUBZLMTBZDQIQ,3,Public
165,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGHIMYJRMQJYO52D7URA4GDSW7A,6,Public
610,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGBJSSLXDIQEW5IBFIKXYSRUJLQ,521,Public
293,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVVQUSV6NRKAR54ESDZ5BXOXGSA,5,Public
,,,
,,,
73,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBVH7P6HI3A6CB4ST2FC2C53NDA,9,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
34,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUUMOGZYHTY2CNP7Z56DCK6GCQQ,5,Public
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"1,304",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5PPVQ7PQZQCYQKUAVEFQVGVRHA,294,Public
,,,
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHDA7YJQQQYP3O7MLWZOV5KSCVQ,5,Public
168,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDQUU2U7L4B57CYR3ZCEVWRGCXQ,69,Public
