helpful_votes,page_url,total_review,visibility_status
"1,078",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2VYYXSMYF2N5N5NJG4QAXLUZRQ,23,Public
824,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKIBZJRTCGYH2UNWECBSL627E2A,6,Public
,,,
,,,
619,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFO2C4PXEQTTQ6WCPMVXNWDIP5BA,61,Public
268,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFX4D3EQSPDZRQ3Z6OSL6VLT2FMQ,2,Public
188,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERHONLUIVTUJVZ5PLSHWXKSRD6Q,6,Public
,,,
511,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6X2GKSVY22FNZICWPAMZ7IHXDA,10,Public
542,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSRFTTUUWUDBBZTTGRMM6N2YOSQ,3,Public
,,,
413,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3JCHBOOF2HDOSVR4ZDVMKWW4KQ,147,Public
100,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOBDRFZRJ4IASPZOLQNUOTFV65Q,1,Public
132,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYNUEW6IBDB4M5BYHPVSXH2223A,28,Public
130,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4BGI2MSPIT42SJSLPZPFPBKK2A,76,Public
,,,
522,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6FGMQPGFW2PTEA4TPDJHUJ4ACA,19,Public
,,,
,,,
520,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AES3CPDGFFF7QUQK6TGD3GQEMBMQ,33,Public
,,,
77,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4RFX6VX44R6DPQV5UL6BWK4YKA,3,Public
134,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG77LQQQURE2SJG6LVY7YUPJJ46A,62,Public
,,,
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6QNOSWFD2E7JVN56HHIVEJYANQ,3,Public
,,,
,,,
,,,
,,,
,,,
,,,
36,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSF5N5YXFWHYW6WAKTWT4EKLYHQ,23,Public
176,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLXTEFVGGOEM2EUVNDABOLY4B6Q,37,Public
242,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAS7VSLIQDB76PKIF64HHXQDFCQ,139,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5G7OLE66DLBLINKM7Q36YQS67Q,41,Public
,,,
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMKACMM7T277BCUCJIB4CGT2PPQ,17,Public
,,,
