helpful_votes,page_url,total_review,visibility_status
932,,108,Public
"1,205",,15,Public
"5,840",,"1,258",Public
205,,6,Public
142,,9,Public
166,,59,Public
164,,123,Public
71,,35,Public
47,,62,Public
47,,55,Public
111,,56,Public
154,,119,Public
112,,175,Public
24,,4,Public
94,,32,Public
26,,16,Public
20,,37,Public
37,,41,Public
42,,38,Public
42,,44,Public
70,,62,Public
32,,20,Public
174,,55,Public
229,,132,Public
14,,7,Public
123,,89,Public
34,,52,Public
52,,51,Public
542,,158,Public
376,,192,Public
49,,104,Public
33,,45,Public
6,,9,Public
24,,83,Public
103,,53,Public
13,,18,Public
194,,28,Public
56,,55,Public
102,,118,Public
10,,7,Public
100,,79,Public
111,,55,Public
681,,131,Public
24,,35,Public
15,,22,Public
6,,8,Public
29,,36,Public
301,,152,Public
10,,44,Public
55,,44,Public
171,,102,Public
126,,76,Public
170,,124,Public
119,,114,Public
1,,14,Public
65,,13,Public
15,,27,Public
191,,26,Public
4,,72,Public
127,,58,Public
17,,50,Public
46,,73,Public
14,,26,Public
404,,79,Public
188,,111,Public
56,,84,Public
59,,100,Public
84,,43,Public
157,,39,Public
5,,21,Public
702,,69,Public
11,,38,Public
61,,56,Public
611,,597,Public
2,,18,Public
45,,59,Public
19,,54,Public
278,,66,Public
1,,37,Public
29,,10,Public
361,,295,Public
87,,70,Public
64,,31,Public
3,,2,Public
16,,26,Public
297,,272,Public
11,,29,Public
64,,97,Public
18,,20,Public
22,,49,Public
4,,14,Public
705,,397,Public
1,,1,Public
40,,18,Public
5,,36,Public
250,,69,Public
49,,30,Public
930,,476,Public
24,,175,Public
"1,189",,441,Public
133,,105,Public
9,,43,Public
23,,80,Public
9,,34,Public
72,,82,Public
92,,224,Public
13,,16,Public
86,,68,Public
3,,8,Public
94,,103,Public
53,,125,Public
71,,40,Public
296,,26,Public
11,,19,Public
0,,6,Public
33,,173,Public
122,,28,Public
97,,136,Public
14,,32,Public
207,,106,Public
265,,150,Public
164,,96,Public
9,,44,Public
168,,105,Public
21,,34,Public
2,,8,Public
65,,56,Public
27,,40,Public
20,,60,Public
0,,1,Public
46,,128,Public
0,,12,Public
4,,19,Public
7,,102,Public
25,,37,Public
20,,53,Public
69,,157,Public
45,,63,Public
33,,50,Public
1,,4,Public
23,,64,Public
267,,32,Public
28,,51,Public
0,,6,Public
93,,28,Public
30,,130,Public
8,,8,Public
194,,97,Public
4,,14,Public
577,,459,Public
8,,94,Public
29,,37,Public
129,,58,Public
273,,177,Public
159,,215,Public
155,,162,Public
12,,48,Public
12,,14,Public
11,,31,Public
41,,84,Public
175,,125,Public
35,,105,Public
3,,34,Public
65,,40,Public
55,,43,Public
85,,167,Public
26,,172,Public
63,,42,Public
1,,1,Public
199,,196,Public
7,,87,Public
65,,80,Public
12,,36,Public
2,,13,Public
4,,89,Public
76,,41,Public
3,,10,Public
44,,28,Public
24,,30,Public
10,,42,Public
14,,129,Public
67,,95,Public
356,,164,Public
44,,105,Public
5,,21,Public
7,,62,Public
3,,34,Public
79,,144,Public
57,,120,Public
116,,23,Public
19,,47,Public
5,,20,Public
5,,9,Public
138,,121,Public
9,,31,Public
90,,95,Public
34,,58,Public
4,,16,Public
65,,47,Public
5,,11,Public
3,,14,Public
16,,46,Public
190,,61,Public
6,,36,Public
235,,91,Public
23,,68,Public
203,,488,Public
4,,45,Public
76,,108,Public
8,,38,Public
27,,18,Public
12,,29,Public
28,,42,Public
16,,30,Public
24,,24,Public
13,,73,Public
1,,25,Public
52,,10,Public
30,,50,Public
49,,54,Public
46,,94,Public
0,,23,Public
32,,57,Public
14,,20,Public
45,,57,Public
296,,143,Public
18,,46,Public
24,,23,Public
23,,41,Public
24,,93,Public
4,,23,Public
71,,47,Public
1,,32,Public
22,,38,Public
55,,54,Public
45,,98,Public
70,,124,Public
7,,27,Public
194,,325,Public
10,,14,Public
18,,50,Public
6,,8,Public
3,,40,Public
36,,14,Public
261,,246,Public
64,,374,Public
23,,69,Public
3,,31,Public
60,,130,Public
22,,28,Public
7,,17,Public
28,,30,Public
105,,89,Public
103,,74,Public
79,,117,Public
3,,21,Public
0,,13,Public
23,,62,Public
63,,28,Public
35,,49,Public
8,,76,Public
48,,30,Public
56,,126,Public
29,,58,Public
13,,19,Public
2,,18,Public
154,,132,Public
11,,47,Public
12,,54,Public
1,,10,Public
89,,16,Public
14,,96,Public
139,,106,Public
1,,4,Public
40,,56,Public
15,,26,Public
84,,112,Public
65,,62,Public
8,,19,Public
7,,49,Public
4,,23,Public
0,,5,Public
6,,11,Public
85,,29,Public
28,,36,Public
1,,11,Public
68,,148,Public
189,,77,Public
1,,1,Public
29,,99,Public
5,,32,Public
"6,892",,"3,436",Public
144,,121,Public
11,,20,Public
5,,37,Public
10,,22,Public
130,,31,Public
589,,369,Public
113,,79,Public
72,,95,Public
155,,183,Public
41,,32,Public
71,,117,Public
221,,209,Public
27,,39,Public
3,,13,Public
12,,16,Public
0,,18,Public
68,,270,Public
39,,78,Public
49,,113,Public
1,,7,Public
72,,149,Public
61,,51,Public
8,,30,Public
44,,82,Public
10,,57,Public
12,,50,Public
37,,39,Public
5,,32,Public
38,,178,Public
12,,114,Public
783,,391,Public
8,,21,Public
23,,32,Public
5,,43,Public
2,,34,Public
25,,88,Public
26,,74,Public
29,,33,Public
17,,22,Public
94,,27,Public
21,,26,Public
130,,118,Public
51,,60,Public
8,,36,Public
7,,20,Public
1,,12,Public
50,,63,Public
30,,49,Public
78,,156,Public
19,,44,Public
5,,59,Public
26,,17,Public
25,,78,Public
5,,52,Public
1,,16,Public
5,,35,Public
69,,119,Public
0,,32,Public
3,,66,Public
38,,60,Public
12,,23,Public
37,,56,Public
21,,73,Public
13,,71,Public
10,,20,Public
133,,133,Public
136,,158,Public
64,,45,Public
