helpful_votes,page_url,total_review,visibility_status
"6,535",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLWBAAYLSFM5CIUQ6BUSTHL6N6A,845,Public
"6,535",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLWBAAYLSFM5CIUQ6BUSTHL6N6A,845,Public
619,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENX3HROPIP7MHNNZ3LN54XGTKWQ,13,Public
575,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQUFL2MLKKRVBSZU2SJ636UNCWA,64,Public
"1,436",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFEQA3KTVUYGB2YBVMK6DDPOYAA,298,Public
362,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQJXCA2JQSP6KEDEXNURM67ZD7Q,22,Public
379,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGCNHQEKUBORCN2LQ5XA26NAOPQ,47,Public
274,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4CRG635EC6JHJCRM7BLPUCEAFA,22,Public
"1,778",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAMGQK5B53QMVZPVWU4MRTNMDRA,211,Public
417,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERAMEUJDO6P77WRA2YMUBQZ7U7A,11,Public
504,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHV4H52FKTIBPTSMVKC6FEVTENNA,183,Public
301,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUUSQXSVCHN3UVEGV6D3E7HCNLQ,77,Public
619,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENX3HROPIP7MHNNZ3LN54XGTKWQ,13,Public
575,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQUFL2MLKKRVBSZU2SJ636UNCWA,64,Public
"1,436",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFEQA3KTVUYGB2YBVMK6DDPOYAA,298,Public
362,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQJXCA2JQSP6KEDEXNURM67ZD7Q,22,Public
379,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGCNHQEKUBORCN2LQ5XA26NAOPQ,47,Public
274,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4CRG635EC6JHJCRM7BLPUCEAFA,22,Public
417,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERAMEUJDO6P77WRA2YMUBQZ7U7A,11,Public
504,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHV4H52FKTIBPTSMVKC6FEVTENNA,183,Public
301,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUUSQXSVCHN3UVEGV6D3E7HCNLQ,77,Public
"2,709",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVICAPFFUAG22APKGF5ORLXLENA,463,Public
69,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFASFA2OXFHLMJKZUAZ2YFNDAJBA,9,Public
218,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHX2L3YJMOQD33AOCADLXSJRD4TA,77,Public
155,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDD36WBVFDRE2F3HH6N5OU4YNVA,47,Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHH4BQQR7GY5NDXFOKBIFFPOXW6Q,18,Public
183,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2D57BLGLVPJX6DV6JMQRSLRHAQ,51,Public
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKNX4EEDLSCHUQTP6N52BUMTAVQ,3,Public
95,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDH43MINMNC6YM4RDGB6DCUGJTQ,21,Public
79,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNH6UGAZPS2GJ77GT2EH5YD3ZAA,25,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXQTHOF3HPSQWUO3DQDAQIKT5ZQ,80,Public
164,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEURRPNAZH74FSGGQJ64XLZN2OFQ,41,Public
"9,182",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2BLE54TEMGZ546U763ZHZRXC4A,"2,510",Public
40,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECYDFS7DC7CBYWI3LQKWPKW64RA,6,Public
973,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE5ZGUDKL5LPMLGZL7LTARVQDEAA,131,Public
106,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNYSXXD3OLMIEVMLGF2F3EDIBBA,74,Public
50,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYJFEEFSGJ4AHZTO3HUCZ5VWKYA,22,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUCNEQW7ALGTPXBDB77LD3L6YAA,1,Public
148,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEGDPYHOBXHFIUSU5LZOJEFETPA,98,Public
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDJ552WPXITKDXJCICMD5STM2LA,42,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAF6RMGP2PE5GIJJ7VXUWXW7G4A,8,Public
40,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYPOBHTFVVLG4DZBHZK2RL6KQMQ,10,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGB2MLQL3GRNBJMO6QYY4JP4HLAA,9,Public
790,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2E2YJTBFLIZRQXCMUWKXIVH2EQ,149,Public
147,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKDJ4PY4DTUGSBGJX4DPUG5X2KQ,73,Public
852,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDQENIOJCVTPBPI5VVUNRIIT6AQ,222,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDTFEL672YS6IEHISGYAIDVWTIA,5,Public
426,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5CF2PSNSD3P4L7HOXSTZ77FG7Q,336,Public
125,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2HY66M63BAITHOQBEGUHTAM77Q,37,Public
57,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOXY6VBQD2OA6QQG7SG2LKXJIZA,30,Public
778,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZXNETV655OT5NR6AD4MMIQLKXQ,293,Public
143,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYU5SQFIYXDRV7QK7CTN2CUE6XA,89,Public
145,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMAPO5QTSMP2LEMFWNXFADJKX3Q,33,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6GVV3ZV3AJZSMAG4ZUCGUFA5EQ,4,Public
173,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLBNSMQLM2L2QXEQFAEYEKHVCKQ,107,Public
288,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFQV3FKZE2VL2D2P4YWAEEX7HPQ,236,Public
542,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6ICU2SYFP2UPTJARY4I5M54WNA,310,Public
67,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4TLOZFY4ABALQJXKMQ25OSRFTA,65,Public
726,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFXMKLFGOT45TFAZJ5GDX2OUORWQ,85,Public
522,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMQYZ57EYUGOZSQ5W5JJLC5BZYA,116,Public
212,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUNHHAPHTA3PJ23HBVHNH46QCNA,88,Public
