page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7C7STVPLJ7NWPHWJOQGVPYUKJQ?view=visitor,43508
https://www.amazon.com/profilewidget/bio/amzn1.account.AHGJNS47BP3XOWDEAENUYIIAPNTQ?view=visitor,67779
https://www.amazon.com/profilewidget/bio/amzn1.account.AFDIK6DWNJ2FC7PKJRYIEOBAEXIA?view=visitor,612596
https://www.amazon.com/profilewidget/bio/amzn1.account.AGGMKAJ2KWHOXQJO7ZXAGWK3ADUQ?view=visitor,785179
https://www.amazon.com/profilewidget/bio/amzn1.account.AEPTCGTNQYAO7ZLPFPJONQYVUSHA?view=visitor,3706203
https://www.amazon.com/profilewidget/bio/amzn1.account.AEHER6YJEUUFHXPGVW3RDXMEA6MQ?view=visitor,4436497
https://www.amazon.com/profilewidget/bio/amzn1.account.AET7DXKBMG2UKEBT7YCLZEVKEMKA?view=visitor,35477
https://www.amazon.com/profilewidget/bio/amzn1.account.AHFQTTUVSRENT4HOSZIFFI5D2RIQ?view=visitor,229425
https://www.amazon.com/profilewidget/bio/amzn1.account.AF3M6VIAIBDQRZ3B5XPPY3PWDKMA?view=visitor,595037
https://www.amazon.com/profilewidget/bio/amzn1.account.AHXLERNV7477P4Y35B3DFVQSO6IQ?view=visitor,919045
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7C7STVPLJ7NWPHWJOQGVPYUKJQ?view=visitor,43508
https://www.amazon.com/profilewidget/bio/amzn1.account.AHGJNS47BP3XOWDEAENUYIIAPNTQ?view=visitor,67779
https://www.amazon.com/profilewidget/bio/amzn1.account.AFDIK6DWNJ2FC7PKJRYIEOBAEXIA?view=visitor,612596
https://www.amazon.com/profilewidget/bio/amzn1.account.AGGMKAJ2KWHOXQJO7ZXAGWK3ADUQ?view=visitor,785179
https://www.amazon.com/profilewidget/bio/amzn1.account.AEPTCGTNQYAO7ZLPFPJONQYVUSHA?view=visitor,3706203
https://www.amazon.com/profilewidget/bio/amzn1.account.AEHER6YJEUUFHXPGVW3RDXMEA6MQ?view=visitor,4436497
https://www.amazon.com/profilewidget/bio/amzn1.account.AET7DXKBMG2UKEBT7YCLZEVKEMKA?view=visitor,35477
https://www.amazon.com/profilewidget/bio/amzn1.account.AHFQTTUVSRENT4HOSZIFFI5D2RIQ?view=visitor,229425
https://www.amazon.com/profilewidget/bio/amzn1.account.AF3M6VIAIBDQRZ3B5XPPY3PWDKMA?view=visitor,595037
https://www.amazon.com/profilewidget/bio/amzn1.account.AHXLERNV7477P4Y35B3DFVQSO6IQ?view=visitor,919045
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUEVLGDFJ73OJDQLUVKAMYDBNKQ?view=visitor,701172
https://www.amazon.com/profilewidget/bio/amzn1.account.AGTOZVDZWQPCPKEMTD65GJE7IPLA?view=visitor,1556660
https://www.amazon.com/profilewidget/bio/amzn1.account.AFG64GROLG7DBCQHGHOJVOYD2CXA?view=visitor,640924
https://www.amazon.com/profilewidget/bio/amzn1.account.AEJGGSII6G7PCUMWLJLWOQCBBT3A?view=visitor,112104
https://www.amazon.com/profilewidget/bio/amzn1.account.AEYMWG5UG4NLOGX73YH72X7L3XXQ?view=visitor,13212932
https://www.amazon.com/profilewidget/bio/amzn1.account.AHRK7TEATIFGIIML2GQFFM5Y7LLA?view=visitor,531974
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7TA3GKFTKAVFT6YWYOCOJC7CXA?view=visitor,807150
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJICRQTBJ4EQAU3VBCII7EHRI5Q?view=visitor,81793
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIQC2K66S65TXPYHWREFMAXJC2Q?view=visitor,1710252
https://www.amazon.com/profilewidget/bio/amzn1.account.AH5MDSHLIHOOC2YWZY4LUXNN6KMA?view=visitor,344332
https://www.amazon.com/profilewidget/bio/amzn1.account.AFNYKKDCKXI2PT5GLADLOCGQQGXQ?view=visitor,8690394
https://www.amazon.com/profilewidget/bio/amzn1.account.AH2FHYXUKOSO4IS26XBITVMJVFIQ?view=visitor,18675190
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJD2IGSMMKEMBSOYBAMCMBKBGIQ?view=visitor,207174
https://www.amazon.com/profilewidget/bio/amzn1.account.AG22OL7I6L7N3KFIAKPKYBPCI6AQ?view=visitor,1797297
https://www.amazon.com/profilewidget/bio/amzn1.account.AGKZAWLSC26FOUNOO6H5JBTAOEBQ?view=visitor,4969600
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLEBUTVOWCJRZE7JVBT56YLMEGQ?view=visitor,489419
https://www.amazon.com/profilewidget/bio/amzn1.account.AEACBN7FOBQLIKTLCWVKIZIVX5XA?view=visitor,20881
https://www.amazon.com/profilewidget/bio/amzn1.account.AHCTO6QLQCD6EH2XCDPH3VA7TOHA?view=visitor,78438924
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3AIEAZ6S5IXX6GVPOH3UCQ7A7Q?view=visitor,1888249
