page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMSST7KSMNZJDYE3LH5AI7LXUFQ?view=visitor,19256
https://www.amazon.com/profilewidget/bio/amzn1.account.AGXSP3GQR6G6WMRMOMRK4P453DJA?view=visitor,8331
https://www.amazon.com/profilewidget/bio/amzn1.account.AERCTDJN2PA2BNTYI6FPSRLKYTUA?view=visitor,6245
https://www.amazon.com/profilewidget/bio/amzn1.account.AH4IZIJBNHLVSRBAR55ESOJKDZIA?view=visitor,247260
https://www.amazon.com/profilewidget/bio/amzn1.account.AEOFNYDMZ55OQDAEC7SYMS526HAQ?view=visitor,211768
https://www.amazon.com/profilewidget/bio/amzn1.account.AEIMTJN2BV6DQSUN5LDGMGY3AB4Q?view=visitor,22941
https://www.amazon.com/profilewidget/bio/amzn1.account.AETJXFVT5WABILNFWIC7TZ4VXUDQ?view=visitor,535670
https://www.amazon.com/profilewidget/bio/amzn1.account.AFAFYNLXJIYFOXRER37UXND76ETQ?view=visitor,1483920
https://www.amazon.com/profilewidget/bio/amzn1.account.AERBQLMJRTLCLYBT5ZZWINYS4GVQ?view=visitor,1216992
https://www.amazon.com/profilewidget/bio/amzn1.account.AH5ZQMFMLHHRWJM3P4DC2LU3ICTA?view=visitor,1209774
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMSST7KSMNZJDYE3LH5AI7LXUFQ?view=visitor,19256
https://www.amazon.com/profilewidget/bio/amzn1.account.AGXSP3GQR6G6WMRMOMRK4P453DJA?view=visitor,8331
https://www.amazon.com/profilewidget/bio/amzn1.account.AERCTDJN2PA2BNTYI6FPSRLKYTUA?view=visitor,6245
https://www.amazon.com/profilewidget/bio/amzn1.account.AH4IZIJBNHLVSRBAR55ESOJKDZIA?view=visitor,247260
https://www.amazon.com/profilewidget/bio/amzn1.account.AEOFNYDMZ55OQDAEC7SYMS526HAQ?view=visitor,211768
https://www.amazon.com/profilewidget/bio/amzn1.account.AEIMTJN2BV6DQSUN5LDGMGY3AB4Q?view=visitor,22941
https://www.amazon.com/profilewidget/bio/amzn1.account.AETJXFVT5WABILNFWIC7TZ4VXUDQ?view=visitor,535670
https://www.amazon.com/profilewidget/bio/amzn1.account.AFAFYNLXJIYFOXRER37UXND76ETQ?view=visitor,1483920
https://www.amazon.com/profilewidget/bio/amzn1.account.AERBQLMJRTLCLYBT5ZZWINYS4GVQ?view=visitor,1216992
https://www.amazon.com/profilewidget/bio/amzn1.account.AH5ZQMFMLHHRWJM3P4DC2LU3ICTA?view=visitor,1209774
https://www.amazon.com/profilewidget/bio/amzn1.account.AHRFK5SU7I2OIAXNBIARIJRTQVTQ?view=visitor,42854
https://www.amazon.com/profilewidget/bio/amzn1.account.AHSMEYGPTVTVMDJLL5R52J2LTRBA?view=visitor,78862950
https://www.amazon.com/profilewidget/bio/amzn1.account.AEFLZO2W3IMHRSPRRJJTZN6R7RUA?view=visitor,79027840
https://www.amazon.com/profilewidget/bio/amzn1.account.AEFU26L42KUVCG44EFJIGSOEW6PQ?view=visitor,26338
https://www.amazon.com/profilewidget/bio/amzn1.account.AEQPWZAFRO7DZLRQ5LQHGSB3ENUQ?view=visitor,375539
https://www.amazon.com/profilewidget/bio/amzn1.account.AHAQAHKT5EGTL2OACPIPI44XFEDA?view=visitor,6096898
https://www.amazon.com/profilewidget/bio/amzn1.account.AHYKLRFE5CQGEBX64QN42ZFMYWTA?view=visitor,198496
https://www.amazon.com/profilewidget/bio/amzn1.account.AGTVFPRGWSWHKYJN3MRTIGTSR3PA?view=visitor,225995
https://www.amazon.com/profilewidget/bio/amzn1.account.AHYIRFBPVBWNKWZDM7QJW6W6WK4A?view=visitor,200182
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWE7YUW5R7XFY6UT3V3CRJYFHVA?view=visitor,7959251
https://www.amazon.com/profilewidget/bio/amzn1.account.AH2V3KXVCUMH65B4NBEGXOAIRWIQ?view=visitor,171960
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJP6UVRH7EJGQPBO3VDRZB2Y53Q?view=visitor,39505
https://www.amazon.com/profilewidget/bio/amzn1.account.AGSMYYTUE3DEFOURWJ6NWQWMJKCQ?view=visitor,387707
https://www.amazon.com/profilewidget/bio/amzn1.account.AERTT3JUC37PWEPERXSKWFT3D7TA?view=visitor,1117925
https://www.amazon.com/profilewidget/bio/amzn1.account.AGCUF53BXB2A4KXVVUJH676RBOUA?view=visitor,1613379
https://www.amazon.com/profilewidget/bio/amzn1.account.AEOOEJTR2UDAAQSRL7IOFJKXIEBA?view=visitor,357264
https://www.amazon.com/profilewidget/bio/amzn1.account.AGWB5TLQUD4WKHH77SZUQGOG7VAQ?view=visitor,91177
https://www.amazon.com/profilewidget/bio/amzn1.account.AHPKHCSV52GTRQ7T5KTHIBUL724Q?view=visitor,68825
https://www.amazon.com/profilewidget/bio/amzn1.account.AFOYVQ7CWAH3B4BASROCVROIXK3A?view=visitor,78956670
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7QTGPRBYG3RSJXN2DK7ANIU4WQ?view=visitor,79001086
https://www.amazon.com/profilewidget/bio/amzn1.account.AFVK37VFOBS5U2BKBMWKKJDRH2DA?view=visitor,1429513
https://www.amazon.com/profilewidget/bio/amzn1.account.AEHJBRTU5IPBGFP2GL4STKEIREOA?view=visitor,1201009
https://www.amazon.com/profilewidget/bio/amzn1.account.AFX33WZESH62PDFQ4VKT5UDKFLXQ?view=visitor,490637
https://www.amazon.com/profilewidget/bio/amzn1.account.AGRRGCQYRDG42UUHTRWWA6TOCR7A?view=visitor,1501655
https://www.amazon.com/profilewidget/bio/amzn1.account.AFR2W5TWCSYEVNGZP6QN3ROSSJCA?view=visitor,6449360
https://www.amazon.com/profilewidget/bio/amzn1.account.AGUBDB4TBYYDG6KHXMGONZQCUVWQ?view=visitor,1628073
https://www.amazon.com/profilewidget/bio/amzn1.account.AEKL6PEMMZAO5PWEUHMD72K63QFQ?view=visitor,3330386
https://www.amazon.com/profilewidget/bio/amzn1.account.AFP2YU6VFXPRZREAQP64SYH7VLDQ?view=visitor,7772907
https://www.amazon.com/profilewidget/bio/amzn1.account.AE2SWF4G5GMTHAZZOJ7GCPLUXGGA?view=visitor,178904
