page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AE5EIEBSUOAYF65DNSO2DY2U7VOQ?view=visitor,399412
https://www.amazon.com/profilewidget/bio/amzn1.account.AGNNNTSYL6SR7QKPXB3VMVPMNYSQ?view=visitor,148799
https://www.amazon.com/profilewidget/bio/amzn1.account.AGYK4U7BLQB5VK3O4YI62KRMEEYA?view=visitor,35090
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCTUGAIBHMYX467UCKOWSIFS7NQ?view=visitor,540318
https://www.amazon.com/profilewidget/bio/amzn1.account.AHTXWINEVZOQW6WJPDPFQQLPJ2QQ?view=visitor,585175
https://www.amazon.com/profilewidget/bio/amzn1.account.AFH7TZNG3A3RUMNZSLZUIK424MKA?view=visitor,706826
https://www.amazon.com/profilewidget/bio/amzn1.account.AH2II3VXMBWVDTRZIHFGN35XJ3BA?view=visitor,12591427
https://www.amazon.com/profilewidget/bio/amzn1.account.AH3IM7SKNS5VUE55DTVY43NXLSWA?view=visitor,79011935
https://www.amazon.com/profilewidget/bio/amzn1.account.AEYRXX4WROO5Y3SVA3B2IRNV2MOQ?view=visitor,8796093
https://www.amazon.com/profilewidget/bio/amzn1.account.AGSLXHA62FPZQOSFCLIYSFTT5GSA?view=visitor,1832256
https://www.amazon.com/profilewidget/bio/amzn1.account.AE5EIEBSUOAYF65DNSO2DY2U7VOQ?view=visitor,399412
https://www.amazon.com/profilewidget/bio/amzn1.account.AGNNNTSYL6SR7QKPXB3VMVPMNYSQ?view=visitor,148799
https://www.amazon.com/profilewidget/bio/amzn1.account.AGYK4U7BLQB5VK3O4YI62KRMEEYA?view=visitor,35090
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCTUGAIBHMYX467UCKOWSIFS7NQ?view=visitor,540318
https://www.amazon.com/profilewidget/bio/amzn1.account.AHTXWINEVZOQW6WJPDPFQQLPJ2QQ?view=visitor,585175
https://www.amazon.com/profilewidget/bio/amzn1.account.AFH7TZNG3A3RUMNZSLZUIK424MKA?view=visitor,706826
https://www.amazon.com/profilewidget/bio/amzn1.account.AH2II3VXMBWVDTRZIHFGN35XJ3BA?view=visitor,12591427
https://www.amazon.com/profilewidget/bio/amzn1.account.AH3IM7SKNS5VUE55DTVY43NXLSWA?view=visitor,79011935
https://www.amazon.com/profilewidget/bio/amzn1.account.AEYRXX4WROO5Y3SVA3B2IRNV2MOQ?view=visitor,8796093
https://www.amazon.com/profilewidget/bio/amzn1.account.AGSLXHA62FPZQOSFCLIYSFTT5GSA?view=visitor,1832256
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZEXPGZHT5W7RVAEVA2LLNM7FYA?view=visitor,7707888
https://www.amazon.com/profilewidget/bio/amzn1.account.AEIOEOE4PPYIKBBMYUOT4OT5JSIA?view=visitor,2614000
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMN3DWJV4O7KJOHMQUY7TSWESZQ?view=visitor,78761712
https://www.amazon.com/profilewidget/bio/amzn1.account.AEANGTGQHWLMKS57K5X5OBYF32XA?view=visitor,29379
https://www.amazon.com/profilewidget/bio/amzn1.account.AFVZYSHDTRIOD3EZ2UZJD66XMMOA?view=visitor,1545747
https://www.amazon.com/profilewidget/bio/amzn1.account.AFRJA54VYNHELYG22TXU4S3GXABQ?view=visitor,224193
https://www.amazon.com/profilewidget/bio/amzn1.account.AGVQMGS7QSSPKZZEFDTIQ6246W6A?view=visitor,274857
https://www.amazon.com/profilewidget/bio/amzn1.account.AGBFMQDKUZH7N5WCEZNKAPHNYXFA?view=visitor,84274
https://www.amazon.com/profilewidget/bio/amzn1.account.AH5MNAH3QT3DAXE2ZF6KUACA3QYA?view=visitor,4439607
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZFFDLN6SUKD6VXLGWLDX3USAAA?view=visitor,61024
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJHPUUBPITJAP5OX6JHEZKHG2XQ?view=visitor,26626
https://www.amazon.com/profilewidget/bio/amzn1.account.AG2B5NMTVHUDXIGA434KRJMBQYVQ?view=visitor,280449
https://www.amazon.com/profilewidget/bio/amzn1.account.AEAOXUH2UPJK5QCXQ7F5G5VGRSAQ?view=visitor,1169576
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2OYJY6BASJNRCC5GYQZWUI2X3A?view=visitor,14674629
https://www.amazon.com/profilewidget/bio/amzn1.account.AFHTAIOV2FNSHKCYZOZMEELMNNFA?view=visitor,7436189
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFYB3LSX6AZTYOEZN34F5XXIPOQ?view=visitor,79075368
https://www.amazon.com/profilewidget/bio/amzn1.account.AFLB3HNIJLMIFJRJPYUCPS7ZLKSA?view=visitor,719362
https://www.amazon.com/profilewidget/bio/amzn1.account.AG4PLGVOIUAVCEICDXX2RQH2ENTA?view=visitor,8144839
https://www.amazon.com/profilewidget/bio/amzn1.account.AH2B2O7ECYVAXCKACFY5MFSIGOJA?view=visitor,21625
https://www.amazon.com/profilewidget/bio/amzn1.account.AGTPUHIFHHOZUAE2IOBKSXH33KPA?view=visitor,3971901
https://www.amazon.com/profilewidget/bio/amzn1.account.AHY7YBC3GBFCCT35HH4JKNSXC2ZQ?view=visitor,56350
https://www.amazon.com/profilewidget/bio/amzn1.account.AFPCQNPXVGANFUXTYR4F3FRJSKOA?view=visitor,3262445
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2UZGA2WU25EMRHUJZUTHZMR7SQ?view=visitor,579208
https://www.amazon.com/profilewidget/bio/amzn1.account.AFNJIVONGCWFJUWJXNWXVNQWB2GA?view=visitor,443134
https://www.amazon.com/profilewidget/bio/amzn1.account.AE4MW5YTMYKOBXTMDLNMNTBN7TYQ?view=visitor,79137082
https://www.amazon.com/profilewidget/bio/amzn1.account.AGS6HKYNXMJR7UT6XFJGZJUGSGTQ?view=visitor,639
https://www.amazon.com/profilewidget/bio/amzn1.account.AEP43MW6Y775GOYY6KZW5P6USVZQ?view=visitor,2077110
https://www.amazon.com/profilewidget/bio/amzn1.account.AFL7Y4U3SNHN3X6NEUNNQP6IQQ2Q?view=visitor,358247
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMLGYA7RIDPIJBXGQ7EIGPXD6UQ?view=visitor,79271521
https://www.amazon.com/profilewidget/bio/amzn1.account.AHCPPCQ7G2ZPFJSAOTEW6WRDGVBQ?view=visitor,20349
https://www.amazon.com/profilewidget/bio/amzn1.account.AF7ONSQIRLLC3XAQJPSE4W3U2XCQ?view=visitor,156809
https://www.amazon.com/profilewidget/bio/amzn1.account.AFTYYCS3KSBXRTLEWYNZD6QKMNNQ?view=visitor,132231
https://www.amazon.com/profilewidget/bio/amzn1.account.AFN3TUFDEFMD2LFRSSCVVSSXNMOQ?view=visitor,2778393
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCK6LMNTH4TZBZOUITEOZFHKYQA?view=visitor,14549753
https://www.amazon.com/profilewidget/bio/amzn1.account.AH4O64DJDA4GAMEX4RYUXX43KLTQ?view=visitor,884925
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBSTHBYHNQONRDY52DKDWSTXJTQ?view=visitor,2207961
https://www.amazon.com/profilewidget/bio/amzn1.account.AGB3DPWKUO63UWU7RT6WEU3D4F4A?view=visitor,9000417
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWW2UFI7WRM5P5R24ECFICTYNIA?view=visitor,460119
https://www.amazon.com/profilewidget/bio/amzn1.account.AG26BBVIZYHAOTOKBBXIZFTVELLA?view=visitor,1379902
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2RMNN5ECCXQFKZ6PPOY7IU3PGQ?view=visitor,265894
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFUOLJMCFCJNLLDJVOTU46GW33Q?view=visitor,663751
https://www.amazon.com/profilewidget/bio/amzn1.account.AFEJTGYKIER43TR2KNQFSXP6DCNQ?view=visitor,8529379
https://www.amazon.com/profilewidget/bio/amzn1.account.AFLYLMOWNSH6HIV4DLRQH3GXN33Q?view=visitor,547738
https://www.amazon.com/profilewidget/bio/amzn1.account.AHO6735E5JKFBKNWOHOQBJWOCMLQ?view=visitor,1289870
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7BBYS3F4T2HJN4G54QQTE66E2A?view=visitor,127018
https://www.amazon.com/profilewidget/bio/amzn1.account.AGSF7UWU5NWI2RNPENWLJSEPNCIA?view=visitor,53704413
https://www.amazon.com/profilewidget/bio/amzn1.account.AEO6U6GI3NNLNC36YZQHRO4CZJLQ?view=visitor,1176673
https://www.amazon.com/profilewidget/bio/amzn1.account.AECRBKBIUIXBGKYGIGULFGYRSM6A?view=visitor,4730332
https://www.amazon.com/profilewidget/bio/amzn1.account.AHCBCGJUYWKLVCHVXNU4TUSZHFNQ?view=visitor,96568
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIU4676C34UPJJZNKGAWNHKLIHQ?view=visitor,994608
https://www.amazon.com/profilewidget/bio/amzn1.account.AGZJY5F6PEAY5ANL35PH3DBCPVZQ?view=visitor,26133
https://www.amazon.com/profilewidget/bio/amzn1.account.AEUMAOZBOQYIICQWZMJQDCTAHJWA?view=visitor,2587548
https://www.amazon.com/profilewidget/bio/amzn1.account.AFS7AXAYTZJDMHFNEIXYWO73QY7A?view=visitor,214591
https://www.amazon.com/profilewidget/bio/amzn1.account.AE6BNKPF3BGL5OVEIJKK5TSMK55A?view=visitor,2628620
https://www.amazon.com/profilewidget/bio/amzn1.account.AFDTI6BZQYMZ6S4GMMKNLOPXAHEA?view=visitor,1679919
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLJ2KCS733MZDNDOB7JXQTLLF7A?view=visitor,458038
https://www.amazon.com/profilewidget/bio/amzn1.account.AGNFTUNVJ5A3HYUYLI7PDBUW45OA?view=visitor,331432
https://www.amazon.com/profilewidget/bio/amzn1.account.AHAVHAEHCS47LGQO3JNQCINRXECQ?view=visitor,10132523
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJMTXCHBEEIET3LCI7ARQKKL36Q?view=visitor,8273537
https://www.amazon.com/profilewidget/bio/amzn1.account.AEV275EVY3XSCWOD3FNT5R6F77OQ?view=visitor,27336
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7ZE4TGUS3AYRQFJJ2VVTDA4JUQ?view=visitor,1233878
https://www.amazon.com/profilewidget/bio/amzn1.account.AH7Q5E7ZLYL72J4OCQCQMTUSPH3A?view=visitor,2436944
https://www.amazon.com/profilewidget/bio/amzn1.account.AHF3GQPEVWQHGQOC5TYQCFC6NUHA?view=visitor,906928
https://www.amazon.com/profilewidget/bio/amzn1.account.AE6WIT672IODYKBVKJ24LH5WGNWA?view=visitor,3165364
https://www.amazon.com/profilewidget/bio/amzn1.account.AGVCYMB6KKIFYRHDZNCE3M52BDAA?view=visitor,1056895
https://www.amazon.com/profilewidget/bio/amzn1.account.AFKJFC62JKX3RVP6BLKUDDILQAHQ?view=visitor,4854710
https://www.amazon.com/profilewidget/bio/amzn1.account.AFRBS7Y7GIBDSE3YYBX2ZKPVXYLA?view=visitor,78404551
https://www.amazon.com/profilewidget/bio/amzn1.account.AGGUGQ4L3CYIHGUPJHWDQCP27MFQ?view=visitor,332403
https://www.amazon.com/profilewidget/bio/amzn1.account.AG5SXA6CMW2ILHRKGC66NQVXQVFA?view=visitor,4353798
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHVHDEEJSDVRPSSLLOU6PXACZKA?view=visitor,1245453
https://www.amazon.com/profilewidget/bio/amzn1.account.AHCO4P2MU5ZGDSLOOWSRS4CCP35Q?view=visitor,85639
https://www.amazon.com/profilewidget/bio/amzn1.account.AHSMTUBQBI2PGHDDRZ6TGW3KEIJA?view=visitor,78809035
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWJN6YXQWXW3D23BD7YDAVYUYMA?view=visitor,371773
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZGQBX5IF5OIKTASZCKGDYEMK6A?view=visitor,2643619
https://www.amazon.com/profilewidget/bio/amzn1.account.AFEBQSCDONO2VPFDTRY3ZWNJHO4A?view=visitor,708680
https://www.amazon.com/profilewidget/bio/amzn1.account.AF72VFNIG4NDO46SIWYQ4FTOKPQA?view=visitor,1984601
https://www.amazon.com/profilewidget/bio/amzn1.account.AFDGSFVX7BVNP6YN5HURKSVJEHRA?view=visitor,2068005
https://www.amazon.com/profilewidget/bio/amzn1.account.AE4DVIJMLDWR22VAEFBUKTYMHH4A?view=visitor,1429998
https://www.amazon.com/profilewidget/bio/amzn1.account.AGWDZGXAUM2BFQ3DSQ3XJIDEWZUQ?view=visitor,3339393
https://www.amazon.com/profilewidget/bio/amzn1.account.AEFAOG7PBATJ5LDLVHO2GZ45V6FQ?view=visitor,2670941
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3HZ6XLKEGDRBUUE7DDFSEYMITA?view=visitor,1129932
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZZMHJLHSM7C47KKPOFNHOJVDQA?view=visitor,16664296
https://www.amazon.com/profilewidget/bio/amzn1.account.AGRCLQ4DKTH4GMT5FBL3HSTMKLAQ?view=visitor,2019531
https://www.amazon.com/profilewidget/bio/amzn1.account.AFPHXFFB6BMZKM6O6IP7DCXKY5HA?view=visitor,3603107
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZ7B3XQ6NLKMIQ5WRNEX46KHEMQ?view=visitor,2542714
https://www.amazon.com/profilewidget/bio/amzn1.account.AFG5LGRT2AEHOD3JLUL6CPPLAAVA?view=visitor,1110353
https://www.amazon.com/profilewidget/bio/amzn1.account.AGY5ZJJ3SCOGNQ42AHCHWIRVTW6A?view=visitor,900706
https://www.amazon.com/profilewidget/bio/amzn1.account.AG2PNHJQDROXRAAS4HGRLMHRLRBA?view=visitor,92738
https://www.amazon.com/profilewidget/bio/amzn1.account.AHYTEXD2VEHPJQSPM37SLGUR6E7Q?view=visitor,1826307
https://www.amazon.com/profilewidget/bio/amzn1.account.AE7M7MTG6ODNQXMSB765BTPRZ3MQ?view=visitor,5538845
https://www.amazon.com/profilewidget/bio/amzn1.account.AG2WRDRTI2A327HO34AQXFK6P4MQ?view=visitor,77164
https://www.amazon.com/profilewidget/bio/amzn1.account.AER7I32SOCTAA6XAI5SEON6DKOSQ?view=visitor,1055945
https://www.amazon.com/profilewidget/bio/amzn1.account.AHFTKGQT3LHDKS2JG2OARYZ45AUA?view=visitor,449502
https://www.amazon.com/profilewidget/bio/amzn1.account.AHBE5GRULXOXQDRJDTB5NVRJE45Q?view=visitor,140082
https://www.amazon.com/profilewidget/bio/amzn1.account.AF552EDZ7COAYQ7SITC4U7DDAFLA?view=visitor,23538490
https://www.amazon.com/profilewidget/bio/amzn1.account.AFPATRG2VKU67LZJAAFTFUYHFQRQ?view=visitor,62593673
https://www.amazon.com/profilewidget/bio/amzn1.account.AEBLJMMDCIDNAQ7Y65WKXRTWEUNQ?view=visitor,6592528
