page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AEKJQ5QKFEHNQ3S5W5VPBTSDVSHQ?view=visitor,332723
https://www.amazon.com/profilewidget/bio/amzn1.account.AESFPOHTKCTZHSUTAN6OPKXKIEUQ?view=visitor,394984
https://www.amazon.com/profilewidget/bio/amzn1.account.AFVRRPIDCLAIKMX4PN3XBD77CILQ?view=visitor,136952
https://www.amazon.com/profilewidget/bio/amzn1.account.AGUCJ2P4H2NQWS5N77QI4COKOROA?view=visitor,62593673
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHKFQ7RK464BRRDZYX4OWCVPTWQ?view=visitor,2721366
https://www.amazon.com/profilewidget/bio/amzn1.account.AEUUDVC4WNRCJUDYDBMJ7OEZUZXQ?view=visitor,419032
https://www.amazon.com/profilewidget/bio/amzn1.account.AENBOPBJOMC6NEZICP4JZ2H7YVVA?view=visitor,83194
https://www.amazon.com/profilewidget/bio/amzn1.account.AFHCZ3RTG7USOOHYBCQENEO6YR2Q?view=visitor,5828399
https://www.amazon.com/profilewidget/bio/amzn1.account.AHMSAA7N2SDETNIVINERKR2HYL6A?view=visitor,8033780
https://www.amazon.com/profilewidget/bio/amzn1.account.AFYEO7TI7DXYYEIXZQ2TTURX7Z4Q?view=visitor,3971508
https://www.amazon.com/profilewidget/bio/amzn1.account.AEKJQ5QKFEHNQ3S5W5VPBTSDVSHQ?view=visitor,332723
https://www.amazon.com/profilewidget/bio/amzn1.account.AESFPOHTKCTZHSUTAN6OPKXKIEUQ?view=visitor,394984
https://www.amazon.com/profilewidget/bio/amzn1.account.AFVRRPIDCLAIKMX4PN3XBD77CILQ?view=visitor,136952
https://www.amazon.com/profilewidget/bio/amzn1.account.AGUCJ2P4H2NQWS5N77QI4COKOROA?view=visitor,62593673
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHKFQ7RK464BRRDZYX4OWCVPTWQ?view=visitor,2721366
https://www.amazon.com/profilewidget/bio/amzn1.account.AEUUDVC4WNRCJUDYDBMJ7OEZUZXQ?view=visitor,419032
