page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AFQ7TVKKSLR6C5MSZDWAYMR2OPCA?view=visitor,21
https://www.amazon.com/profilewidget/bio/amzn1.account.AFYMGMF5LMLXDQD3EMZ5QM7GXHYQ?view=visitor,923187
https://www.amazon.com/profilewidget/bio/amzn1.account.AERHXYYXCMLRSIMCXS2Y4AJUFZPA?view=visitor,22180
https://www.amazon.com/profilewidget/bio/amzn1.account.AFQ7TVKKSLR6C5MSZDWAYMR2OPCA?view=visitor,21
https://www.amazon.com/profilewidget/bio/amzn1.account.AGFJH5YOY5WGEC6B6MCTF2EASVFA?view=visitor,279364
https://www.amazon.com/profilewidget/bio/amzn1.account.AHE2QW3HQFEVOETHNYWQ7R7Z5V2A?view=visitor,389
https://www.amazon.com/profilewidget/bio/amzn1.account.AGGPFVRYTDO7435SE2TVY6CH4KDA?view=visitor,605367
https://www.amazon.com/profilewidget/bio/amzn1.account.AFPKI2PDJKY2X7PGJZTTAM4O3VIQ?view=visitor,447423
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJFY2EGU2AXO5LCHE5SDWKAENVA?view=visitor,4764244
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJKTXQH3Z76FZ6OLNXPJ2TZ5IPA?view=visitor,1203892
https://www.amazon.com/profilewidget/bio/amzn1.account.AFYT5IVVB67247V7F2ZTAFVQGB4A?view=visitor,1655142
https://www.amazon.com/profilewidget/bio/amzn1.account.AFYMGMF5LMLXDQD3EMZ5QM7GXHYQ?view=visitor,923187
https://www.amazon.com/profilewidget/bio/amzn1.account.AERHXYYXCMLRSIMCXS2Y4AJUFZPA?view=visitor,22180
https://www.amazon.com/profilewidget/bio/amzn1.account.AGFJH5YOY5WGEC6B6MCTF2EASVFA?view=visitor,279364
https://www.amazon.com/profilewidget/bio/amzn1.account.AHE2QW3HQFEVOETHNYWQ7R7Z5V2A?view=visitor,389
https://www.amazon.com/profilewidget/bio/amzn1.account.AGGPFVRYTDO7435SE2TVY6CH4KDA?view=visitor,605367
https://www.amazon.com/profilewidget/bio/amzn1.account.AFPKI2PDJKY2X7PGJZTTAM4O3VIQ?view=visitor,447423
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJFY2EGU2AXO5LCHE5SDWKAENVA?view=visitor,4764244
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJKTXQH3Z76FZ6OLNXPJ2TZ5IPA?view=visitor,1203892
https://www.amazon.com/profilewidget/bio/amzn1.account.AFYT5IVVB67247V7F2ZTAFVQGB4A?view=visitor,1655142
https://www.amazon.com/profilewidget/bio/amzn1.account.AGTLFDIQ5TNXW647XFBC4MVEKQVQ?view=visitor,2608502
https://www.amazon.com/profilewidget/bio/amzn1.account.AF7LKZOSJBNZVSCAFOSZJ6NKLT3Q?view=visitor,73955
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZRDBBVRRHFM2LTK3WW4RJNHOQA?view=visitor,62577
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZNUVVWQ3VHPUOFUCLA5OWHD6ZA?view=visitor,31575
https://www.amazon.com/profilewidget/bio/amzn1.account.AHQWQDOSPEPV54XYDGRKBBELOSCQ?view=visitor,5269
https://www.amazon.com/profilewidget/bio/amzn1.account.AG3ABVROGHUDL3DGCQJXPRCHFTLQ?view=visitor,3492687
https://www.amazon.com/profilewidget/bio/amzn1.account.AGUDTU4E6UIP7K2ELGDF7I33EUFQ?view=visitor,4736578
https://www.amazon.com/profilewidget/bio/amzn1.account.AHMWZTRNBH55XA7NFTIGZTDJAQYA?view=visitor,11228302
https://www.amazon.com/profilewidget/bio/amzn1.account.AFXY72KQ7UVFZUCK3QQADWNU222Q?view=visitor,63060
https://www.amazon.com/profilewidget/bio/amzn1.account.AG5SYIVIPKZ4AL56H2G4M7CENJKA?view=visitor,136921
https://www.amazon.com/profilewidget/bio/amzn1.account.AEA6QTD2XKQRIGFXOGNATXYV24CQ?view=visitor,16578694
https://www.amazon.com/profilewidget/bio/amzn1.account.AFEWD5OIVTCGOQ44PWNT2JAFZIUQ?view=visitor,48380
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMWYM7NFEJ6DFT3BC3LDQDHCNMA?view=visitor,78923249
https://www.amazon.com/profilewidget/bio/amzn1.account.AEA7K6JATYEPAN2BG5HGIMDVGRZQ?view=visitor,1006951
https://www.amazon.com/profilewidget/bio/amzn1.account.AELW7TMEO7INILU2GBIVI2CLGR3A?view=visitor,541252
https://www.amazon.com/profilewidget/bio/amzn1.account.AGDKJZOUGUBFFX5VDGNGMCRD2QOA?view=visitor,1622706
https://www.amazon.com/profilewidget/bio/amzn1.account.AF4KIABZYLHFQG6YHJOC5O65OHRA?view=visitor,2338034
https://www.amazon.com/profilewidget/bio/amzn1.account.AHSQSG6YSTWQQHQIVXV6XGTCLYPQ?view=visitor,4421922
https://www.amazon.com/profilewidget/bio/amzn1.account.AETEACMMYKAH5OUCRFIR7EKEHXCQ?view=visitor,897996
https://www.amazon.com/profilewidget/bio/amzn1.account.AHQ2YZUEM7W6K3ZJHETP2FZTMLOQ?view=visitor,853177
https://www.amazon.com/profilewidget/bio/amzn1.account.AFKORO4AICED5VOYK3LTWSFE4PSA?view=visitor,124151
https://www.amazon.com/profilewidget/bio/amzn1.account.AECBGK6DGR7ICWVAFKGB6533OSJA?view=visitor,198731
https://www.amazon.com/profilewidget/bio/amzn1.account.AETEH446HQQQKBIDS7QCNK4YKNPA?view=visitor,328488
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2DZ2M7DOO32ZGMSJG7Y5AUYBGA?view=visitor,5283771
https://www.amazon.com/profilewidget/bio/amzn1.account.AGU5ANW4ROBRAHRCHAWBT2X6ZWTQ?view=visitor,9281559
https://www.amazon.com/profilewidget/bio/amzn1.account.AEFQNHEWHOL5Q2WWKVY6AZ2FHL7A?view=visitor,194519
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMCVSY67Y3BXVZHQUDXI5ZVKQYA?view=visitor,65364
https://www.amazon.com/profilewidget/bio/amzn1.account.AENADVVSPU6O3OAVRGCK5SUOGG7Q?view=visitor,1560163
https://www.amazon.com/profilewidget/bio/amzn1.account.AEFZP4ZOVK7T3GDH2KEVM7BPVUEA?view=visitor,101
https://www.amazon.com/profilewidget/bio/amzn1.account.AGSMME2WBUUFW3SX5ESUZTQZ2INQ?view=visitor,4837668
https://www.amazon.com/profilewidget/bio/amzn1.account.AEXTA3EEHFGBWQKFDMP6POBGRASA?view=visitor,78387363
https://www.amazon.com/profilewidget/bio/amzn1.account.AFC2QSTPAT4HYNFCPKJ737CRU6XQ?view=visitor,3045689
https://www.amazon.com/profilewidget/bio/amzn1.account.AFTCZ4AXFMEWRN775LKS4I5NKAIQ?view=visitor,3661144
https://www.amazon.com/profilewidget/bio/amzn1.account.AH47Z3EA3HUV32VZXLIKSZ2G7LRA?view=visitor,10911130
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3XQKYCNHTRTJO6L3ZJNA74SLBQ?view=visitor,45278
https://www.amazon.com/profilewidget/bio/amzn1.account.AH3U4EY7T3NU4GZSNOOMC4HJCALQ?view=visitor,456400
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZG3NUT7EW5ASOGNNO6ONZVHPKQ?view=visitor,39711
https://www.amazon.com/profilewidget/bio/amzn1.account.AEUG5OESHICZQQXD6JY3HXRWZVQQ?view=visitor,2883391
https://www.amazon.com/profilewidget/bio/amzn1.account.AHYTSABXPVYNSN3TL5PA5DRMYJ2A?view=visitor,17627
https://www.amazon.com/profilewidget/bio/amzn1.account.AHH2DCETFT24XPA7GTRK4RPJR2RA?view=visitor,439254
https://www.amazon.com/profilewidget/bio/amzn1.account.AEYUQ2BZPY5FCEGTBS3IXGY7BRVQ?view=visitor,167567
https://www.amazon.com/profilewidget/bio/amzn1.account.AHE2HTKE2H6I5QLXX7XXLE32H7QQ?view=visitor,97458
https://www.amazon.com/profilewidget/bio/amzn1.account.AEGT4HNR22UDJQ3353GI3QKUNZ4A?view=visitor,9081633
https://www.amazon.com/profilewidget/bio/amzn1.account.AEBLDBUDK4DUNTJAI3K4XJQB45PA?view=visitor,602235
https://www.amazon.com/profilewidget/bio/amzn1.account.AGL7UYHOH5DQL3AE2BBCRINM3XWA?view=visitor,3120931
https://www.amazon.com/profilewidget/bio/amzn1.account.AFUFERCMXNLZHVSVO3MEVOWBG47A?view=visitor,5411442
https://www.amazon.com/profilewidget/bio/amzn1.account.AF3M3XGFK44EDAMS6BZASRZU3STQ?view=visitor,33527
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMUSTHWC3FUZI4STWTDNZT7Q32Q?view=visitor,2305237
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCBTRQH5RKX7D2W7LQFK4JQOJDA?view=visitor,437567
https://www.amazon.com/profilewidget/bio/amzn1.account.AGBL4JVQKCCCXGN4XGHLXRRZHQRA?view=visitor,8104651
https://www.amazon.com/profilewidget/bio/amzn1.account.AF7UBRYFKPVM4BKORJP2JNOHD64Q?view=visitor,4885190
https://www.amazon.com/profilewidget/bio/amzn1.account.AHQGG5STMUIZZCCJMSB7LR22EWOQ?view=visitor,96656
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWBOQT5L47CY5OPCRZSAWEQQ4SQ?view=visitor,1885
https://www.amazon.com/profilewidget/bio/amzn1.account.AHSFABUODOE2VSMXPOPOTVGKUFGA?view=visitor,540752
https://www.amazon.com/profilewidget/bio/amzn1.account.AG3GUTH4NVOGDOUPWTCL5WEYCQNQ?view=visitor,5551
https://www.amazon.com/profilewidget/bio/amzn1.account.AGA7SK2NIBW6CYV7NXUANWW6EJLQ?view=visitor,494299
,
https://www.amazon.com/profilewidget/bio/amzn1.account.AE4MCNUSWNKJLXBJCVYGMSQ22Q3A?view=visitor,1035077
https://www.amazon.com/profilewidget/bio/amzn1.account.AHCKL7LTUGNLDJH4DK7FEHFAXOEA?view=visitor,109688
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZT3FH7FJI2Z2ZJSHPGJSD6ZLJA?view=visitor,1013706
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMUHWZO2KFPK4NDD7VSZT7ACDUA?view=visitor,223744
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2I7ZMQLBCREM6SLDG5USMKH5HA?view=visitor,4803990
