page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AHNTECC5MTDELYIWJKPNFGR45CSQ?view=visitor,92049
https://www.amazon.com/profilewidget/bio/amzn1.account.AGDKIIPIYEYTR7XHZLNBXYAQVLAA?view=visitor,2451
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUWTTCMPM4C4TETRMCQ4FV7ZBAA?view=visitor,27716
https://www.amazon.com/profilewidget/bio/amzn1.account.AFN6V26ABNCSIWH37LXFBSOSKBTA?view=visitor,1266
https://www.amazon.com/profilewidget/bio/amzn1.account.AELPK5YNXGIFRKAP7NS4RQRX5P3Q?view=visitor,8279
https://www.amazon.com/profilewidget/bio/amzn1.account.AGD6OZSQZGKNT4IKL7ZLQX76ODGQ?view=visitor,14220
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3OIAL4RC52LHRLDRVI5R5HDIKA?view=visitor,120103
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMYBWDN67IB5IBTMHLHN76V4QHQ?view=visitor,2045
https://www.amazon.com/profilewidget/bio/amzn1.account.AF66XCWWQMZHEPUT32ZJXHV3YNJA?view=visitor,1218694
https://www.amazon.com/profilewidget/bio/amzn1.account.AFXXOUF4LUMALLZDPR3KQRESTOBQ?view=visitor,1115463
https://www.amazon.com/profilewidget/bio/amzn1.account.AHNTECC5MTDELYIWJKPNFGR45CSQ?view=visitor,92049
https://www.amazon.com/profilewidget/bio/amzn1.account.AGDKIIPIYEYTR7XHZLNBXYAQVLAA?view=visitor,2451
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUWTTCMPM4C4TETRMCQ4FV7ZBAA?view=visitor,27716
https://www.amazon.com/profilewidget/bio/amzn1.account.AFN6V26ABNCSIWH37LXFBSOSKBTA?view=visitor,1266
https://www.amazon.com/profilewidget/bio/amzn1.account.AELPK5YNXGIFRKAP7NS4RQRX5P3Q?view=visitor,8279
https://www.amazon.com/profilewidget/bio/amzn1.account.AGD6OZSQZGKNT4IKL7ZLQX76ODGQ?view=visitor,14220
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3OIAL4RC52LHRLDRVI5R5HDIKA?view=visitor,120103
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMYBWDN67IB5IBTMHLHN76V4QHQ?view=visitor,2045
https://www.amazon.com/profilewidget/bio/amzn1.account.AF66XCWWQMZHEPUT32ZJXHV3YNJA?view=visitor,1218694
https://www.amazon.com/profilewidget/bio/amzn1.account.AFXXOUF4LUMALLZDPR3KQRESTOBQ?view=visitor,1115463
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJSZ2HFRTCNVLPC6N7ZJEDEPVGA?view=visitor,246401
https://www.amazon.com/profilewidget/bio/amzn1.account.AGUO3P345YYEGU7BL6OOFDD6VDNQ?view=visitor,719635
https://www.amazon.com/profilewidget/bio/amzn1.account.AHGGC3V3EES3KQETT3W6MOYRY7NQ?view=visitor,175263
https://www.amazon.com/profilewidget/bio/amzn1.account.AFUMR6YNFHW5CVGRPLXPGJEW6MEQ?view=visitor,62593673
https://www.amazon.com/profilewidget/bio/amzn1.account.AG762J55EMDHICGS3W75EYDTIZNA?view=visitor,3258227
https://www.amazon.com/profilewidget/bio/amzn1.account.AFC3VEQNFIHIINL7SYGC5JCD74MQ?view=visitor,378
https://www.amazon.com/profilewidget/bio/amzn1.account.AG44VWJVM2P76YCB6HGDE3MEULKA?view=visitor,945991
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOJDZL6CXRSSUTUOYNSEYJWFIZA?view=visitor,19028
https://www.amazon.com/profilewidget/bio/amzn1.account.AGXZB6HHBYKSMQJ2THRPRV5YUL6A?view=visitor,4025441
https://www.amazon.com/profilewidget/bio/amzn1.account.AFLKBOAHGQ3ZPYZ4EHRMTI5L74PQ?view=visitor,1863701
https://www.amazon.com/profilewidget/bio/amzn1.account.AHQHPFNX3XEPKZPR5BPYPXRIRARQ?view=visitor,2093421
https://www.amazon.com/profilewidget/bio/amzn1.account.AGWDVCVDW6HM7CX4KC54744YYK2Q?view=visitor,953779
https://www.amazon.com/profilewidget/bio/amzn1.account.AGAIVPSJWT555BTPKEOAE42WYXUQ?view=visitor,1360276
https://www.amazon.com/profilewidget/bio/amzn1.account.AGDWO2UN3BNH43QUGKCHR62VLXZQ?view=visitor,37097
https://www.amazon.com/profilewidget/bio/amzn1.account.AE65LVZHTQQT4D6UTQS2Z4RCSRSQ?view=visitor,2331551
https://www.amazon.com/profilewidget/bio/amzn1.account.AHKKPU25E3TS6WQFJLGC5VXN56RQ?view=visitor,3089930
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBJE4TFWJWALLY2WYH464K4AHAQ?view=visitor,2748085
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIHJHZKUFE6DPHGC76AFHEKN2VA?view=visitor,78892241
https://www.amazon.com/profilewidget/bio/amzn1.account.AG4CXRI3GMPHOL5VYKQXHY6IW5YA?view=visitor,306262
https://www.amazon.com/profilewidget/bio/amzn1.account.AHXQV7TSK5KQ5WIOILLZYC3PJJQA?view=visitor,2972948
https://www.amazon.com/profilewidget/bio/amzn1.account.AGCTISNGPZNULSEMSNAZUQVG2GGA?view=visitor,714895
https://www.amazon.com/profilewidget/bio/amzn1.account.AHEHSXWRDRYHQBUDUNZVRS6H4GHA?view=visitor,2726692
https://www.amazon.com/profilewidget/bio/amzn1.account.AGLTWDKWKJ3P6L6M7WLUVKXWMPMA?view=visitor,68008
https://www.amazon.com/profilewidget/bio/amzn1.account.AEDGXFIPDTSIR4GKY4B75ERUFYKA?view=visitor,5634977
https://www.amazon.com/profilewidget/bio/amzn1.account.AFSRV3CHIJRWI66DZXDJGOVZLXCA?view=visitor,2243586
https://www.amazon.com/profilewidget/bio/amzn1.account.AF6SARXJPDYUEYPKVH7MWJMUG5LQ?view=visitor,9380354
https://www.amazon.com/profilewidget/bio/amzn1.account.AHDBDK25PR5HTVMBYULTX2VT6OFA?view=visitor,2653297
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOVSX5BCE7JQQMRRC3FT7W4DYSA?view=visitor,46545
https://www.amazon.com/profilewidget/bio/amzn1.account.AHVJETUIVOX67X5KWFJE6WSD2VNQ?view=visitor,7393
https://www.amazon.com/profilewidget/bio/amzn1.account.AH5QXYIU2SKQKBQK63RJUV37LCNQ?view=visitor,700515
https://www.amazon.com/profilewidget/bio/amzn1.account.AEX6VSRZHHCR3ELKI6YQR4Z3RRYA?view=visitor,62593673
https://www.amazon.com/profilewidget/bio/amzn1.account.AH22K65P45HGH4YBYOTVRCZWWP7Q?view=visitor,2652502
https://www.amazon.com/profilewidget/bio/amzn1.account.AGSDMQWW7KTMLLQS5A2CJAMSESDA?view=visitor,2203270
https://www.amazon.com/profilewidget/bio/amzn1.account.AGKKHNJDO64TWG3QW4UGIOL2C3SA?view=visitor,3422
https://www.amazon.com/profilewidget/bio/amzn1.account.AG2JJQWEEISVXDVCFJ2JTBC5AEOQ?view=visitor,887992
https://www.amazon.com/profilewidget/bio/amzn1.account.AHRGI65CWRLP676HZN6CCUDGPD7A?view=visitor,97586
https://www.amazon.com/profilewidget/bio/amzn1.account.AHFD27SPQPDPV5FEILF4RJ6EKZ4A?view=visitor,479928
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFVHZV2U3KZ3VYHR6RGI4NJMRIQ?view=visitor,252901
https://www.amazon.com/profilewidget/bio/amzn1.account.AFSHXPEFJDVHSOB2C4FVKKIWKCFA?view=visitor,78886387
https://www.amazon.com/profilewidget/bio/amzn1.account.AGFUAIJYEHBMJS65ZWI5YR5ADT3A?view=visitor,872642
