page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AEUPGVS25SRCGTJDEU7ZZR4PLQTA?view=visitor,15681
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2Z7T5UZUO4NNU4NW7VTUYJO5VA?view=visitor,98325
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLGKURVZFOIVEC36XGCOEXG3APA?view=visitor,1440
https://www.amazon.com/profilewidget/bio/amzn1.account.AHMLYYFYL7FOGVS4Z2MTSM7Q5RSA?view=visitor,95174
https://www.amazon.com/profilewidget/bio/amzn1.account.AE6UISSKNKT664NPIOBLMZOIY7MA?view=visitor,59140
https://www.amazon.com/profilewidget/bio/amzn1.account.AFSAF6SXN6KXYZXKUAGFLAZZRFWA?view=visitor,61877
https://www.amazon.com/profilewidget/bio/amzn1.account.AHDORGMQ6KJUDJ5P3PHLWIMOZ7DA?view=visitor,162560
https://www.amazon.com/profilewidget/bio/amzn1.account.AFA6BB3X5RKDR7SBAQNQOGE5RZAQ?view=visitor,36588
https://www.amazon.com/profilewidget/bio/amzn1.account.AHYMS5VZAXA3T4RWMVK2R7YYFTYA?view=visitor,277033
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWYKJZV543W4HMLMCAIMFJ2E6CA?view=visitor,13006
https://www.amazon.com/profilewidget/bio/amzn1.account.AEUPGVS25SRCGTJDEU7ZZR4PLQTA?view=visitor,15681
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2Z7T5UZUO4NNU4NW7VTUYJO5VA?view=visitor,98325
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLGKURVZFOIVEC36XGCOEXG3APA?view=visitor,1440
https://www.amazon.com/profilewidget/bio/amzn1.account.AHMLYYFYL7FOGVS4Z2MTSM7Q5RSA?view=visitor,95174
https://www.amazon.com/profilewidget/bio/amzn1.account.AE6UISSKNKT664NPIOBLMZOIY7MA?view=visitor,59140
https://www.amazon.com/profilewidget/bio/amzn1.account.AFSAF6SXN6KXYZXKUAGFLAZZRFWA?view=visitor,61877
https://www.amazon.com/profilewidget/bio/amzn1.account.AHDORGMQ6KJUDJ5P3PHLWIMOZ7DA?view=visitor,162560
https://www.amazon.com/profilewidget/bio/amzn1.account.AFA6BB3X5RKDR7SBAQNQOGE5RZAQ?view=visitor,36588
https://www.amazon.com/profilewidget/bio/amzn1.account.AHYMS5VZAXA3T4RWMVK2R7YYFTYA?view=visitor,277033
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWYKJZV543W4HMLMCAIMFJ2E6CA?view=visitor,13006
https://www.amazon.com/profilewidget/bio/amzn1.account.AHG2TFFZQQMJFI3RSQJF5VKC6EDQ?view=visitor,1441825
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZXUWRYHNMMH4FANVZ5VZNVSFSA?view=visitor,83127
https://www.amazon.com/profilewidget/bio/amzn1.account.AEW3PPO4UA3ALBZT5F7WA7QOU45Q?view=visitor,2913391
https://www.amazon.com/profilewidget/bio/amzn1.account.AGFCEHS5ZHPINBQBSFYZ7GHBGVHQ?view=visitor,769994
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZXUWRYHNMMH4FANVZ5VZNVSFSA?view=visitor,83127
https://www.amazon.com/profilewidget/bio/amzn1.account.AESP6ZXVLU3QWGZWFPKQIXRKX5HQ?view=visitor,122185
https://www.amazon.com/profilewidget/bio/amzn1.account.AGWLRCNVVWFLM7F6PXM2J6ZKSTEA?view=visitor,1827475
https://www.amazon.com/profilewidget/bio/amzn1.account.AGENOZ6D25VGYQWO4OTYDSUKSHKQ?view=visitor,2844059
https://www.amazon.com/profilewidget/bio/amzn1.account.AE7FNYI3CVRSKX6WNCMTM3LBRSVA?view=visitor,196648
https://www.amazon.com/profilewidget/bio/amzn1.account.AHX5NTOGIW2KOPEEGZN55E2LD4KA?view=visitor,10998
https://www.amazon.com/profilewidget/bio/amzn1.account.AFVOEDX5VMOR3B7B5OV4FYIISH4A?view=visitor,2177221
https://www.amazon.com/profilewidget/bio/amzn1.account.AGOGMQFIJBG7GYHXV6VYHSULYPDQ?view=visitor,2151155
https://www.amazon.com/profilewidget/bio/amzn1.account.AFPBYZM7T6AIZPC6JSDTC5DLVQDQ?view=visitor,99519
https://www.amazon.com/profilewidget/bio/amzn1.account.AFOOATZMM46AOGUGYYYZRBLRVTRQ?view=visitor,18065
https://www.amazon.com/profilewidget/bio/amzn1.account.AHY66Y3AOCGRRJOKER6HBYVRSQRQ?view=visitor,114461
https://www.amazon.com/profilewidget/bio/amzn1.account.AGGMJWZGH5H45UG3JGME24PISUZA?view=visitor,177109
https://www.amazon.com/profilewidget/bio/amzn1.account.AEDH6E7VUHCOCZWCJRMGFBILKLYQ?view=visitor,147754
https://www.amazon.com/profilewidget/bio/amzn1.account.AFKCPNMDUSYT2I74BZFI5SO2PUAA?view=visitor,24522
https://www.amazon.com/profilewidget/bio/amzn1.account.AFH6SMCJUTKWVJOBLX5AO43UTIRQ?view=visitor,1424588
https://www.amazon.com/profilewidget/bio/amzn1.account.AEFDQWVV32ZXKMAHE7BFL5Q64U7A?view=visitor,1899938
https://www.amazon.com/profilewidget/bio/amzn1.account.AH5DTEXJT7RHHC34B434FRWYQJAQ?view=visitor,522055
https://www.amazon.com/profilewidget/bio/amzn1.account.AFQSDR5PCS3GTRSHBSBPLSR3JTFQ?view=visitor,1523082
https://www.amazon.com/profilewidget/bio/amzn1.account.AE35PGQZNZD25XUZ3DHJC3E6HGSA?view=visitor,232272
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWALWSOZT7X2UM2QK6UXPEYM6FQ?view=visitor,12344455
https://www.amazon.com/profilewidget/bio/amzn1.account.AH6TAQM7QZQVG42Z57DPIVBWTTDQ?view=visitor,990422
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFY5EC4XXRLSOAXWSHGPKNYAR6A?view=visitor,2346656
https://www.amazon.com/profilewidget/bio/amzn1.account.AEEVECYUY5MHEGE7SO7C6B5US27Q?view=visitor,6954
https://www.amazon.com/profilewidget/bio/amzn1.account.AHMM6LXDMTYYRIUUNJ7Y664E2ZIQ?view=visitor,318954
https://www.amazon.com/profilewidget/bio/amzn1.account.AGKYVKQHKFVNSLY7EKPMT5D25LPA?view=visitor,48115
https://www.amazon.com/profilewidget/bio/amzn1.account.AG25BHPXN3IJ53EHA7JCLMPPQUDA?view=visitor,1038
https://www.amazon.com/profilewidget/bio/amzn1.account.AH75DQECOGSQY7IYSA4HQI56Y2BQ?view=visitor,1264516
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHPGI2PPYMD6LVK7EMP35AVYVGA?view=visitor,32006
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFIRG6I4W6Q4DF7ZWXWDYSNZWCA?view=visitor,16789
https://www.amazon.com/profilewidget/bio/amzn1.account.AEEQEF77WQ6TNOX3WJBMG46N6TNA?view=visitor,272549
https://www.amazon.com/profilewidget/bio/amzn1.account.AG25WWELL74KTTI6FWOQIYYEQX4A?view=visitor,50772
https://www.amazon.com/profilewidget/bio/amzn1.account.AF5PZD2V7EH4EVPDZD5J5B25E6HA?view=visitor,3498758
https://www.amazon.com/profilewidget/bio/amzn1.account.AFHV3ENQO2OFTKSQHFTPZ646IHOA?view=visitor,11168
https://www.amazon.com/profilewidget/bio/amzn1.account.AH4TESX4DSZIBUCEE3UFOJL2BE5Q?view=visitor,758237
https://www.amazon.com/profilewidget/bio/amzn1.account.AGU2P3ZQFGNDDDO7P6JS3OCTKGGQ?view=visitor,78889232
https://www.amazon.com/profilewidget/bio/amzn1.account.AFPOJZLWFX2U72G3X3CKFSYDAFPA?view=visitor,8159825
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJ6IFX7QDK6S6PMW2TDV7YXDC5A?view=visitor,837198
https://www.amazon.com/profilewidget/bio/amzn1.account.AEBJZIG3N43OYJGCHFGWVASTHTPA?view=visitor,20543
https://www.amazon.com/profilewidget/bio/amzn1.account.AF3UMMT53MR3XXV3STIJNXFVPV3A?view=visitor,2619908
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCEDFJWPVIN3ULRCDRRXDLN2W3Q?view=visitor,1592044
https://www.amazon.com/profilewidget/bio/amzn1.account.AESEHBT3JQXLRKIR53OCZH3P7WAQ?view=visitor,99936
https://www.amazon.com/profilewidget/bio/amzn1.account.AHEMYUCMFCM3ZHSRXMNNKWQ4QR6A?view=visitor,5308
https://www.amazon.com/profilewidget/bio/amzn1.account.AGKYPFYVGJDNFRRXCPXP6AKQWXQA?view=visitor,274
https://www.amazon.com/profilewidget/bio/amzn1.account.AHZLZBVPU3N5CWJQPSZQSSZFG56Q?view=visitor,266337
https://www.amazon.com/profilewidget/bio/amzn1.account.AG26LASJVPK5PKMDCVG6HC6P3AFA?view=visitor,661631
https://www.amazon.com/profilewidget/bio/amzn1.account.AEOUUEMYCC6QEFMYC5R6PMZSH3GA?view=visitor,3161274
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCUJIRYXGGCGHNKTI35JZM7IZTQ?view=visitor,401931
https://www.amazon.com/profilewidget/bio/amzn1.account.AENVE7T22NWHXBVQMB256C4LJDBQ?view=visitor,4310735
https://www.amazon.com/profilewidget/bio/amzn1.account.AGOOPMO7OOTMHSUDBBVOMQ6ZW3QA?view=visitor,1999764
https://www.amazon.com/profilewidget/bio/amzn1.account.AFD2PNUV2V7PIOYMU2RYOBYMPWHQ?view=visitor,3314116
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZYGAZIJHFXIIRBJNXPG74PTF3A?view=visitor,2326738
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBBJZFQ6TOMHXUFXGKLA4AVKDVQ?view=visitor,4134550
https://www.amazon.com/profilewidget/bio/amzn1.account.AGG7KVOZ4NXLQGM5VGIX2Q3GXF7A?view=visitor,648687
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJPACCY7OHUSCFMN6LN3WZZFBWQ?view=visitor,1084817
https://www.amazon.com/profilewidget/bio/amzn1.account.AGTILMJDHRLIHSNCMTUKWOQ25T3Q?view=visitor,1080174
https://www.amazon.com/profilewidget/bio/amzn1.account.AE2KHLSYHMNCWR3NDVLJAQFJ2NFA?view=visitor,79273218
https://www.amazon.com/profilewidget/bio/amzn1.account.AH4X6FE7BODPOFI7AKFKCDDE6QKA?view=visitor,34231
https://www.amazon.com/profilewidget/bio/amzn1.account.AFN7O4PJSCJ2WCGYKTPEFKOMZSZQ?view=visitor,4752337
https://www.amazon.com/profilewidget/bio/amzn1.account.AFY5WI3T6SZPOZSRIP64V2WIQNXA?view=visitor,6504092
https://www.amazon.com/profilewidget/bio/amzn1.account.AGKO4QJY2724PGCRUKGZMSBQ3QWQ?view=visitor,4258561
https://www.amazon.com/profilewidget/bio/amzn1.account.AF7CIRQ2PB6SCUHKEGHKYSNXV7ZA?view=visitor,10943230
https://www.amazon.com/profilewidget/bio/amzn1.account.AHN7NUR4BPAGYJMX7ZT222HWYTOQ?view=visitor,570027
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLI3DOQ7VKI33WBJWMCDPBHPFJQ?view=visitor,1519253
https://www.amazon.com/profilewidget/bio/amzn1.account.AHTRTCIMOI637BQPM624IKA4VVNA?view=visitor,589806
https://www.amazon.com/profilewidget/bio/amzn1.account.AGHUTL32AJHTL2GQO5SEMN54HP3Q?view=visitor,1914001
https://www.amazon.com/profilewidget/bio/amzn1.account.AHALYGH4DSXXZPY5FYB6AORQIKVQ?view=visitor,3289217
https://www.amazon.com/profilewidget/bio/amzn1.account.AHC2LVWXTKWC4GDHGZ5MMC3GESAA?view=visitor,49959
