page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AFADEJIH5AGLD2LJ5EDYBLI6ZXFA?view=visitor,168094
https://www.amazon.com/profilewidget/bio/amzn1.account.AFWDYYBTRL6L6RWNUZSX64AQ2WCQ?view=visitor,10243
https://www.amazon.com/profilewidget/bio/amzn1.account.AFADEJIH5AGLD2LJ5EDYBLI6ZXFA?view=visitor,168094
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLYXUSUG5YWI2J444V2UZMPEGXA?view=visitor,12887080
https://www.amazon.com/profilewidget/bio/amzn1.account.AFOXRNPENVKZTXSCLSUUA5TOFXRA?view=visitor,162821
https://www.amazon.com/profilewidget/bio/amzn1.account.AGDPBHMQZSV5ABHU5ENOKNOSKZTA?view=visitor,932
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMLLEGJO7BNN575LQA5VRIC6YAA?view=visitor,9454908
https://www.amazon.com/profilewidget/bio/amzn1.account.AHIPZFQUKE2OBEKXISFZQJIRWO2Q?view=visitor,25378
https://www.amazon.com/profilewidget/bio/amzn1.account.AEXNB2IBRK5HNOJRBUOVAM73227A?view=visitor,302422
https://www.amazon.com/profilewidget/bio/amzn1.account.AEEF4JENZJEWYZ5U77DJTW53TNSA?view=visitor,114587
https://www.amazon.com/profilewidget/bio/amzn1.account.AFDUHEYPDLY2POR4CLTAXMS3272A?view=visitor,6624489
https://www.amazon.com/profilewidget/bio/amzn1.account.AFWDYYBTRL6L6RWNUZSX64AQ2WCQ?view=visitor,10243
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLYXUSUG5YWI2J444V2UZMPEGXA?view=visitor,12887080
https://www.amazon.com/profilewidget/bio/amzn1.account.AFOXRNPENVKZTXSCLSUUA5TOFXRA?view=visitor,162821
https://www.amazon.com/profilewidget/bio/amzn1.account.AGDPBHMQZSV5ABHU5ENOKNOSKZTA?view=visitor,932
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMLLEGJO7BNN575LQA5VRIC6YAA?view=visitor,9454908
https://www.amazon.com/profilewidget/bio/amzn1.account.AHIPZFQUKE2OBEKXISFZQJIRWO2Q?view=visitor,25378
https://www.amazon.com/profilewidget/bio/amzn1.account.AEXNB2IBRK5HNOJRBUOVAM73227A?view=visitor,302422
https://www.amazon.com/profilewidget/bio/amzn1.account.AEEF4JENZJEWYZ5U77DJTW53TNSA?view=visitor,114587
https://www.amazon.com/profilewidget/bio/amzn1.account.AFDUHEYPDLY2POR4CLTAXMS3272A?view=visitor,6624489
https://www.amazon.com/profilewidget/bio/amzn1.account.AGQ6OCL4SKQUACAHXRKMIUGBKVLQ?view=visitor,6230972
https://www.amazon.com/profilewidget/bio/amzn1.account.AGC6JJWPTL7T5UUZOR7VSRJZ44FA?view=visitor,1730931
https://www.amazon.com/profilewidget/bio/amzn1.account.AGQQXVSWYV6KLJ5GMHG33FNY65AQ?view=visitor,311646
https://www.amazon.com/profilewidget/bio/amzn1.account.AGHU7WKNV7UW5WDNATONLSXALWTQ?view=visitor,102124
https://www.amazon.com/profilewidget/bio/amzn1.account.AE2KYOXKVYDH4LJPAIYDBG2KRKTQ?view=visitor,57952
https://www.amazon.com/profilewidget/bio/amzn1.account.AGSQBN2IXM35MAPJZMB7PP2BNXUA?view=visitor,2855
https://www.amazon.com/profilewidget/bio/amzn1.account.AEB3WA67YXUGWAWYVGKEUFJRH2SQ?view=visitor,1277229
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3EJJSPOOBPXW6RE35IQZF32WAQ?view=visitor,920844
https://www.amazon.com/profilewidget/bio/amzn1.account.AGC7VFH3OGHJGGKV6OHLGRJSMEKA?view=visitor,37522
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUHGYNTIYF26YQGIKJCDTRJIUUA?view=visitor,79194204
https://www.amazon.com/profilewidget/bio/amzn1.account.AFUGUEBW3DDUXUIHVF7PYASDTBNA?view=visitor,97876
https://www.amazon.com/profilewidget/bio/amzn1.account.AHCWICGPJERZKOJ2INRYFSR62NAA?view=visitor,3920
https://www.amazon.com/profilewidget/bio/amzn1.account.AFPJHX374A6ALH2JZI4X44NEUHQQ?view=visitor,1478999
https://www.amazon.com/profilewidget/bio/amzn1.account.AHBZ577FOF2QM3WATU3GX3TRR5KA?view=visitor,649285
https://www.amazon.com/profilewidget/bio/amzn1.account.AF5SNWXT6XKKEB4MDXCEBB56MRHQ?view=visitor,25083
https://www.amazon.com/profilewidget/bio/amzn1.account.AF4MGN7AJENRAL2AXJL3PO5RCK2Q?view=visitor,209019
https://www.amazon.com/profilewidget/bio/amzn1.account.AHL6RYMC2UDUWLC6ZKVCN3ZW7FHA?view=visitor,3064600
https://www.amazon.com/profilewidget/bio/amzn1.account.AHXUIE7IEGCDKFR7YNB5AA7D7GVA?view=visitor,286461
https://www.amazon.com/profilewidget/bio/amzn1.account.AFYFAVWO5JWOHKU3QX6FLCX5MSGQ?view=visitor,2492204
https://www.amazon.com/profilewidget/bio/amzn1.account.AGBBNSK4BPM5T6VGFEXXWE63PZEQ?view=visitor,220781
https://www.amazon.com/profilewidget/bio/amzn1.account.AGFGGHDSHWVBYOHJIUWDGUEFMJ7A?view=visitor,92011
https://www.amazon.com/profilewidget/bio/amzn1.account.AH3SY5PPHY5K4LTHHPPOAQWBV5LQ?view=visitor,35184677
https://www.amazon.com/profilewidget/bio/amzn1.account.AH2P4DSL26DR3CNJBZDOPKPICEXA?view=visitor,2502044
https://www.amazon.com/profilewidget/bio/amzn1.account.AGHHJZLV7DHM3AJHH2EHZRPW7MXQ?view=visitor,79055630
https://www.amazon.com/profilewidget/bio/amzn1.account.AEBZFGBKN2Q4VMTHNS3WNRBENUMQ?view=visitor,270005
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMFSZOKS2NMSIZSEOLHXOGRA36Q?view=visitor,541841
https://www.amazon.com/profilewidget/bio/amzn1.account.AEI55OY2GRK7JEHTOISPYZVARW4Q?view=visitor,47113
https://www.amazon.com/profilewidget/bio/amzn1.account.AFUYAIXKZ5HHTCMAONHB7QJPA5BA?view=visitor,394717
https://www.amazon.com/profilewidget/bio/amzn1.account.AEPCCVGJ56DTDOSITE4RBRY2LDLA?view=visitor,42363395
https://www.amazon.com/profilewidget/bio/amzn1.account.AHC47OSHN2JO6P24REUVGFHV36DA?view=visitor,223293
https://www.amazon.com/profilewidget/bio/amzn1.account.AGCK4Q42L6FJKMR4MD35NQRALXPQ?view=visitor,64273
https://www.amazon.com/profilewidget/bio/amzn1.account.AHEY54BQKH7C66PXKNPQCANTSQ2Q?view=visitor,271878
https://www.amazon.com/profilewidget/bio/amzn1.account.AEORKV37TBIZ6T7OX2JRU2LE7WEQ?view=visitor,1956
https://www.amazon.com/profilewidget/bio/amzn1.account.AFVXPSESJOKNR4QJ6FNZGCUL2QAQ?view=visitor,11538855
https://www.amazon.com/profilewidget/bio/amzn1.account.AGPMDO3TRHJNKACMOJAL5CTEKEIA?view=visitor,1067520
https://www.amazon.com/profilewidget/bio/amzn1.account.AFVDQXIXAO6HC45YD7NAOSDRVI5Q?view=visitor,176874
https://www.amazon.com/profilewidget/bio/amzn1.account.AHQECWVGU56PSYJS6T3YAJTLDP3Q?view=visitor,18770
https://www.amazon.com/profilewidget/bio/amzn1.account.AGLMRT5HTGNCUA7QCRNAYXT6AOOA?view=visitor,5982325
https://www.amazon.com/profilewidget/bio/amzn1.account.AEBJG52NJSDHZ6UAK4JF2NQZPQ2A?view=visitor,1996971
https://www.amazon.com/profilewidget/bio/amzn1.account.AEXWMKSIBIGRXRTORGZH7GDLJG3A?view=visitor,4157684
https://www.amazon.com/profilewidget/bio/amzn1.account.AGRNZON6HKDIPFYT43WRWEKYGPGQ?view=visitor,299045
https://www.amazon.com/profilewidget/bio/amzn1.account.AGF55SROCPDBQYFNZDGEW3Z6DJVA?view=visitor,79006138
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJ4DRS3XSP7HG7GYMPLYHMZMH6A?view=visitor,531206
https://www.amazon.com/profilewidget/bio/amzn1.account.AFVF72CFKCJ2QCNZGBDHVU236GXA?view=visitor,801385
https://www.amazon.com/profilewidget/bio/amzn1.account.AEINJMQVKYNQ2VVSZNTI7GLZUBVQ?view=visitor,3176907
https://www.amazon.com/profilewidget/bio/amzn1.account.AEEFMAHMJHDVVE7QP4DFMRGOTYKQ?view=visitor,79279627
https://www.amazon.com/profilewidget/bio/amzn1.account.AEAN7UCZNJEDDP5JZ5GRLHPRU5BQ?view=visitor,3239528
https://www.amazon.com/profilewidget/bio/amzn1.account.AEO6SVTTIBLR6ID6TGBEXZCT6QAQ?view=visitor,160547
https://www.amazon.com/profilewidget/bio/amzn1.account.AHKTPTBCEXIJYLXVYSMH6VEEP6BQ?view=visitor,1089297
https://www.amazon.com/profilewidget/bio/amzn1.account.AF7KRO7Y7X4B3MW7SKJSFQ4FWPQA?view=visitor,3707665
https://www.amazon.com/profilewidget/bio/amzn1.account.AENK4VNGQA3U6G7ZVMHJXIH3WBGQ?view=visitor,143438
https://www.amazon.com/profilewidget/bio/amzn1.account.AEVK3RHYIMJVLXRGFCCIZ4IOACIQ?view=visitor,79177005
https://www.amazon.com/profilewidget/bio/amzn1.account.AGO7LQ4W6XYALBCDW7ETXLR7SQBQ?view=visitor,2744423
https://www.amazon.com/profilewidget/bio/amzn1.account.AHV52R32MB65QJI5UMXDL36O7F3Q?view=visitor,1732467
https://www.amazon.com/profilewidget/bio/amzn1.account.AGH52KD3MVVOUSGYLDNSQZCLNCRA?view=visitor,511103
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOORMANG42MVFCIMNH54MO2SPBQ?view=visitor,617524
https://www.amazon.com/profilewidget/bio/amzn1.account.AGL2ZXXT76ILQKSOLRIFALF5WO5A?view=visitor,5766067
https://www.amazon.com/profilewidget/bio/amzn1.account.AH66MSQ7DF2HDCT4V27WNWKRUNMQ?view=visitor,79014458
https://www.amazon.com/profilewidget/bio/amzn1.account.AEIVPGU2CEUQFP4HAO4XNEY3RQNA?view=visitor,102634
https://www.amazon.com/profilewidget/bio/amzn1.account.AGGBLOPBU7OSDC6NZMXIIWBJS7EA?view=visitor,107360
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFIZBSMNFLHXZ64NR7JEV6W3SIQ?view=visitor,4479803
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMRMB34TNQF27OAKJSFZOBGZXDQ?view=visitor,1174724
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJIPMUJQNV4FPACH5WLUL5D3GTA?view=visitor,131495
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJ5DZSGL72CEAJP4JUDXHNAOWWA?view=visitor,2844510
https://www.amazon.com/profilewidget/bio/amzn1.account.AERJEWXDBSBNTA4HDAOVS5B4AOQA?view=visitor,489859
https://www.amazon.com/profilewidget/bio/amzn1.account.AGA5XLUTZJ7RMTPDADZWUC734F2Q?view=visitor,81868
https://www.amazon.com/profilewidget/bio/amzn1.account.AF7XX7IIUHHK4AZITQRSPQFESVPQ?view=visitor,1000374
https://www.amazon.com/profilewidget/bio/amzn1.account.AEQ4ZZNML775SJVVRPFCFBZ4UKVA?view=visitor,2498653
https://www.amazon.com/profilewidget/bio/amzn1.account.AGB6BSMQRD7CHEODM2PGGXBKTMUA?view=visitor,67534
https://www.amazon.com/profilewidget/bio/amzn1.account.AHW2J6HN6AQKBEB3WIGRRQHESKZQ?view=visitor,199996
https://www.amazon.com/profilewidget/bio/amzn1.account.AEAXUMT2YORWSPVK5YACLLDQ7GPA?view=visitor,105155
https://www.amazon.com/profilewidget/bio/amzn1.account.AFIX7BBJTON6P2IHIVJHFJH4JDBA?view=visitor,1309071
https://www.amazon.com/profilewidget/bio/amzn1.account.AFXOQJEH6VWWIP6IWPAPLG356HIA?view=visitor,1285629
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWTZQHSBB6OAK3J6RTBGIVQX4NQ?view=visitor,2770957
https://www.amazon.com/profilewidget/bio/amzn1.account.AEPTK5VRLSJ6KQMFT2USIMBBZGQQ?view=visitor,785958
https://www.amazon.com/profilewidget/bio/amzn1.account.AHKV2K5KHBIFCH3JA6WGTUFORDFQ?view=visitor,968033
https://www.amazon.com/profilewidget/bio/amzn1.account.AFAA6EV3H5MLFJ3ISSTVCUGEPGGA?view=visitor,1257287
https://www.amazon.com/profilewidget/bio/amzn1.account.AH552VMTVFVS22PV3BKQ22VIJEWQ?view=visitor,956986
https://www.amazon.com/profilewidget/bio/amzn1.account.AGN3MAKXEHQNETVPK7G5UMXH67CQ?view=visitor,7753892
https://www.amazon.com/profilewidget/bio/amzn1.account.AFW4TXOQPO6X2VA72EEEPOUTK4FQ?view=visitor,282537
https://www.amazon.com/profilewidget/bio/amzn1.account.AGGFSNFL2D3AAAUCOJWF6HNTBA6Q?view=visitor,572122
https://www.amazon.com/profilewidget/bio/amzn1.account.AEBGF6UPNT2IIXTEQZCRVJQSQ6JA?view=visitor,3068181
https://www.amazon.com/profilewidget/bio/amzn1.account.AHAVFW4GL3ZT2A6PDDDJSJJ5GY5A?view=visitor,165684
https://www.amazon.com/profilewidget/bio/amzn1.account.AGLCTNDLMLGSUESPSXVCVTL5U7ZQ?view=visitor,983667
https://www.amazon.com/profilewidget/bio/amzn1.account.AE2CZKRJK7PKNTMWKVPSB3K6XB3A?view=visitor,2442870
