page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AGZU7C2U7CQUH5SHFAFZ5LGE7MEA/?view=visitor,62593673
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMG2BM5ETWRQTCVJQPDWYK2WLAQ/?view=visitor,20171
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOMQGJB2G5EAKNJUN6VJW4CDLKA/?view=visitor,82011
https://www.amazon.com/profilewidget/bio/amzn1.account.AG5XCCLXAXJYBSTKOBUU2RXIMJGQ/?view=visitor,1998597
https://www.amazon.com/profilewidget/bio/amzn1.account.AEV66FG7T7TY2MI6C7FWALZV2BKA/?view=visitor,432
https://www.amazon.com/profilewidget/bio/amzn1.account.AFQQENP4YMLJDUS52O6ZW5QINUYQ/?view=visitor,21973
https://www.amazon.com/profilewidget/bio/amzn1.account.AFN7523L62X5GZWUGB6ZUEYS3GJA/?view=visitor,23056
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJGXBXHU4GM4J7SUVSKRVGBT3PQ/?view=visitor,68188
https://www.amazon.com/profilewidget/bio/amzn1.account.AHH7SHD7PDI5H4EZWXBZUPQSFGRQ/?view=visitor,71139
https://www.amazon.com/profilewidget/bio/amzn1.account.AGI7RK2ZLTYD73XVFWFYTQYZ3DXA/?view=visitor,272243
https://www.amazon.com/profilewidget/bio/amzn1.account.AGZU7C2U7CQUH5SHFAFZ5LGE7MEA/?view=visitor,62593673
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMG2BM5ETWRQTCVJQPDWYK2WLAQ/?view=visitor,20171
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOMQGJB2G5EAKNJUN6VJW4CDLKA/?view=visitor,82011
https://www.amazon.com/profilewidget/bio/amzn1.account.AG5XCCLXAXJYBSTKOBUU2RXIMJGQ/?view=visitor,1998597
https://www.amazon.com/profilewidget/bio/amzn1.account.AEV66FG7T7TY2MI6C7FWALZV2BKA/?view=visitor,432
https://www.amazon.com/profilewidget/bio/amzn1.account.AFQQENP4YMLJDUS52O6ZW5QINUYQ/?view=visitor,21973
https://www.amazon.com/profilewidget/bio/amzn1.account.AFN7523L62X5GZWUGB6ZUEYS3GJA/?view=visitor,23056
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJGXBXHU4GM4J7SUVSKRVGBT3PQ/?view=visitor,68188
https://www.amazon.com/profilewidget/bio/amzn1.account.AHH7SHD7PDI5H4EZWXBZUPQSFGRQ/?view=visitor,71139
https://www.amazon.com/profilewidget/bio/amzn1.account.AGI7RK2ZLTYD73XVFWFYTQYZ3DXA/?view=visitor,272243
https://www.amazon.com/profilewidget/bio/amzn1.account.AEIFQM4QHKWNSCRITXE5I2PBZBNA/?view=visitor,1398514
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2A7VL67LRQJX62EBCKSC6NNVSQ/?view=visitor,62593673
https://www.amazon.com/profilewidget/bio/amzn1.account.AFOZIVDEXBGQPTJHX6FKMUJN7BGQ/?view=visitor,2688280
https://www.amazon.com/profilewidget/bio/amzn1.account.AENWVHXMJXK2RHE55FPZ4XY4DQWA/?view=visitor,155510
https://www.amazon.com/profilewidget/bio/amzn1.account.AFQ2XRLLR55GZ53FSSUVDSWA6DOA/?view=visitor,1037010
https://www.amazon.com/profilewidget/bio/amzn1.account.AG5EZQZBMTYK7CVNOZQVREF5UQBQ/?view=visitor,636628
https://www.amazon.com/profilewidget/bio/amzn1.account.AHCBVCPBCQBWJRRKR3TQA3R7ALFA/?view=visitor,5538167
https://www.amazon.com/profilewidget/bio/amzn1.account.AFIKLHUEWSX7VTJKUXVGOAA3TWZQ/?view=visitor,62593673
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZIU7ZEQENCRYXO7WC4UYSCJRHQ/?view=visitor,623962
https://www.amazon.com/profilewidget/bio/amzn1.account.AEN7CPO2NEN3BUP4MEOVQXDJ7B6A/?view=visitor,160984
https://www.amazon.com/profilewidget/bio/amzn1.account.AH6G4O6NYWMENYO2HQPBZLQKP3EQ/?view=visitor,4022
https://www.amazon.com/profilewidget/bio/amzn1.account.AEDYEA4HF53TC22MNCCUTIR32UXA/?view=visitor,91016
https://www.amazon.com/profilewidget/bio/amzn1.account.AHXNQIC73JEFLAXHCDXBQCLW6XMA/?view=visitor,325396
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFNHB5IM53FDWA2YPIYNFOKNRIA/?view=visitor,1139524
https://www.amazon.com/profilewidget/bio/amzn1.account.AE76PNS6GNKU4I55AKT4NRPTZ5MQ/?view=visitor,218487
https://www.amazon.com/profilewidget/bio/amzn1.account.AHT52GB34PGAOMP72LIFPIYEWBPA/?view=visitor,1186132
https://www.amazon.com/profilewidget/bio/amzn1.account.AESEEV7HWXKVHSDGAGJTRC5OERYA/?view=visitor,278264
