helpful_votes,page_url,total_review,visibility_status
651,,23,Public
303,,146,Public
255,,78,Public
217,,63,Public
156,,99,Public
33,,12,Public
215,,45,Public
61,,187,Public
81,,49,Public
280,,385,Public
17,,29,Public
88,,46,Public
76,,50,Public
30,,67,Public
158,,71,Public
448,,67,Public
491,,128,Public
24,,63,Public
71,,41,Public
56,,69,Public
14,,3,Public
30,,2,Public
100,,188,Public
6,,25,Public
41,,32,Public
,,,
13,,27,Public
52,,84,Public
49,,32,Public
8,,17,Public
101,,123,Public
1,,11,Public
87,,54,Public
0,,4,Public
62,,96,Public
334,,163,Public
3,,17,Public
9,,41,Public
127,,145,Public
88,,121,Public
122,,79,Public
23,,39,Public
138,,50,Public
136,,57,Public
1,,3,Public
12,,75,Public
117,,39,Public
11,,21,Public
23,,156,Public
30,,42,Public
151,,71,Public
199,,167,Public
84,,363,Public
"1,269",,640,Public
31,,119,Public
69,,194,Public
522,,102,Public
157,,43,Public
116,,114,Public
,,,
68,,56,Public
4,,4,Public
208,,210,Public
115,,55,Public
288,,310,Public
65,,54,Public
399,,178,Public
71,,111,Public
266,,268,Public
29,,49,Public
17,,33,Public
396,,123,Public
107,,45,Public
455,,164,Public
9,,38,Public
29,,49,Public
33,,72,Public
183,,197,Public
988,,45,Public
33,,13,Public
47,,83,Public
20,,23,Public
16,,35,Public
31,,77,Public
47,,22,Public
14,,46,Public
51,,51,Public
82,,157,Public
1,,4,Public
58,,184,Public
8,,34,Public
1,,14,Public
60,,59,Public
45,,30,Public
13,,50,Public
3,,17,Public
6,,37,Public
28,,53,Public
43,,24,Public
62,,197,Public
2,,2,Public
72,,169,Public
1,,28,Public
111,,120,Public
30,,18,Public
41,,68,Public
87,,54,Public
58,,76,Public
3,,23,Public
1,,10,Public
32,,201,Public
11,,77,Public
70,,112,Public
"1,198",,250,Public
0,,11,Public
43,,31,Public
119,,56,Public
10,,24,Public
84,,41,Public
8,,22,Public
17,,57,Public
14,,69,Public
275,,92,Public
0,,2,Public
9,,4,Public
12,,71,Public
287,,402,Public
36,,55,Public
21,,78,Public
7,,17,Public
340,,403,Public
4,,53,Public
120,,74,Public
11,,27,Public
22,,24,Public
16,,23,Public
4,,14,Public
3,,17,Public
106,,65,Public
102,,237,Public
560,,242,Public
5,,26,Public
0,,8,Public
236,,149,Public
4,,3,Public
25,,59,Public
4,,48,Public
15,,25,Public
65,,43,Public
72,,40,Public
7,,32,Public
0,,8,Public
3,,24,Public
1,,21,Public
4,,12,Public
41,,65,Public
161,,73,Public
145,,180,Public
115,,144,Public
45,,160,Public
8,,18,Public
2,,7,Public
94,,193,Public
