author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking
Douglas C. Meeks,/gp/profile/amzn1.account.AHXQBJ33UXM57LZZ6WWI52S2KZIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 29, 2018",0,23,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"SEE UPDATE BELOWNOTE: I have used these filters for over 7 years Filtrete Clean Living Basic Dust AC Furnace Air Filter, MPR 300, 20 x 25 x 1-Inches, 6-Pack with no problems and I keep my fan on my HVAC on 24/7 which reduces hot/cold spots and results in less dust but it means you have to change your filter more frequently but with 3 dogs in addition to the normal dust/dirt/lint they still last 4-6 weeks easy. I have reviewed other brands for Amazon and none work any better, most worse and no real cost saving on any of them.I was not going to write a review of this but after reading some of the other reviews it seemed like there was a big lack of knowledge about these filters. Let me start with the photos that people have posted (not sure if everyone's page looks like mine, should be off to the right side) and you can see one of the filters shown has a latticework design to hold/support the filter, what you may not realize is that you have essentially blocked at least 10% of your filter with that latticework, another filter shows it torn up and even a glance indicates it was inserted upside down (these filters are 1 way devices, hence the arrows on the sides showing airflow PLUS if inserted correctly the wire mesh would prevent this from happening under any circumstance). I also read about this filter being too hard on a unit... uh this is the bottom line of these filters with the least resistance to airflow and if they are hard on your unit, you may have a cheap unit or a fan about to die. I was particularly boggled by the one where the filter turned black, stopped up and collapsed and the reviewer blamed the filter ....... sounds like some serious and possibly dangerous air quality problems that need attention quickly, this is NOT a filter problem, possibly a furnace problem. As far as the thickness of material used 5 years ago vs what is used today, the thickness means nothing, it is the permeability of the material to block passage of dust/dirt and other things harmful to the unit and yes Virginia they have actually made the filter better over 5 years and probably saved themselves some money in the process. Don't lose sight of the big picture, ""Does it filter as it should and have the strength to hold up?"" the answer is yes, I don't care how much profit they made as long as I can buy them at a fair price in comparison to other filters and they actually do the job they promised to do (also a yes) while meeting the MPR 300 specification which is approximately equivalent to a MERV 7 (still a yes).I should note that several people mentioned the filter ""bowing"" when under pressure, mine stays bowed since I run my fan 24/7 and none have ever failed in 7+ years, it can flex which means it is actually less likely to break apart. The ""bowing"" is not a sign of failure and if it actually did come loose it would mean you have either the wrong size filter or a defective bracket in your unit since the cardboard frame remains rigid.UPDATE:  I needed to add that IF you let your filter go without replacement for much longer than its intended life and it gets so dirty it cannot pass air it can actually bow to the point it can break loose, you have to really ignore it for a LONG time and have enough trash/dirt to prevent airflow, this is a rare occurrence but I thought I should mention it.  These type filters are meant to be replaced on a regular basis.I saw no reason to take a picture of my dirty filter but it catches all the dog hair and during shedding seasons I might have to change it in 4 weeks but usually they last for about 6 weeks, I have another home in the country and those last closer to 8 weeks (which concerns me a bit about air quality in the city).I should mention that if you had your fly-by-night installer put in a ""cheaper than dirt"" system the list of possible problems is endless and they are never going to come back and say ""it was the cheap system I installed"" or ""I installed it incorrectly"" and the filter is always an easy target. Sadly life tends to lean towards the maxim of ""You get what you pay for""Bottom Line: Ignore the horror stories, I have had many talks with several HVAC techs and the one thing they do all agree on is this:Unless you have a real need for high levels of filtering (severe allergy etc) use the filter with the least resistance that will block damaging dirt and dust from your unit (that would be this filter) and any higher level of filtering will probably shorten the life of your unit and can make the likelihood of the unit freezing up in the summer more likely due to reduced airflow over the coils. 4 Stars instead of 5 mainly because the shipping packaging seems to be a crap shoot, most times they arrive perfect but I have had several delivered where the filters were near unusable due to being crushed in a inadequate shipping box that lacked protection.","Ignore Any Horror Stories, Actual Info About This Filter and Filters In General UPDATE APR 2019",Size: 10x20x1Style: Without Air Purifier,"1,177 people found this helpful",4
Chris,/gp/profile/amzn1.account.AHAEVSANOG6VSTBAYQLDMPT5MG7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 10, 2019",7,8,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"First of all this are not the same filters as the picture (see the photos). They create too much of a pressure drop and the furnace cycles on and off every 10 minutes. The HVAC company explained that the furnace gets too hot because there's not enough airflow, so it shuts off for a moment and cools a bit, then re-starts. It's not very energy efficient",Different filters in the picture.,Size: 16x25x1Style: Without Air PurifierVerified Purchase,276 people found this helpful,43620
Shawn Reed,/gp/profile/amzn1.account.AF2JN7ACN4H643HJQFSO2Q5B6DCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 15, 2018",0,7,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"We buy a lot of furnace filters and have used expensive as well as inexpensive brands.  Had not tried the 3M Filtrate brand because it was usually out of our price range.  So when I found them at a reasonable price on Amazon I bought a half dozen.  They are the cheapest, flimsiest, gnarled up mess of filters I have ever bought.  No cross bracing to keep the filters from bowing or give you a hand hold to insert them.  And because they are so poorly supported none of the filter material ripples (ridges) are straight or even.  Whether that will impact their filtering capability is yet to be seen.  Certainly not the quality you would expect from a 3M product and not a purchase we will make again.",Too cheap for words.......,Size: 16x20x1Style: Without Air PurifierVerified Purchase,168 people found this helpful,1668187
Deborah L. Welsh,/gp/profile/amzn1.account.AHC3MWOTGA62QRFDWR4BSEHGKXQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 19, 2018",1,10,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,These are great filters because the air can circulate through them.  I live 150 miles south of the Paradise fire and you can see what how much the filter picked up in the last 2 weeks.  And this is with the windows shut.,Excellent furnace filter,Size: 16x25x1Style: Without Air PurifierVerified Purchase,147 people found this helpful,122216
thebrietstuff,/gp/profile/amzn1.account.AHNPNRKTAW5CTIDJUH4EVFUPMR7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 13, 2018",0,3,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I was excited to purchase these filters, as they were cost effective so I could afford to replace them more often. I put the first one in shortly after receiving them a little less than a month ago. It looked fine and fit as expected in my furnace. Fast forward a few weeks, and my house is cold. I have the thermostat set at 69 & the house won't get above 62. I double checked all my windows and doors. I adjusted the thermostat. I was at a loss. As a last ditch effort before an HVAC appointment, I checked the filter (that I had replaced only a few weeks ago) & found it jammed in the furnace, with the wires bowed. When I finally got it out, I saw the filter was damaged and plugging the intake. I replaced it with a different filter and within an hour my house was warm again. Spend a few extra bucks and get a different filter! Not worth the extra stress and potential danger of a defective air filter.","Defective, came dislodged in furnace",Size: 16x25x1Style: Without Air PurifierVerified Purchase,97 people found this helpful,336190
Cortney & Brooks,/gp/profile/amzn1.account.AEA7ZXZPROJ5CI4V2GQMMOJJI5QA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 27, 2018",0,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,I will not be buying these air filters off amazon ever again. I have bought this brand at different stores and had no problems. This batch I last bought via amazon is horrible quality. The filter was on 2.5 weeks and it is so cheap and flimsy that whenever the air/heat comes on the filter is getting sucked up and bowing up into the vent. It’s so loud and was waking me up every time the heat would kick on at night. I asked my husband to change the filter because of it and when I got a different filter out of the box I noticed that the filter doesn’t even have consistent coverage with the fibers and that some parts I could see right through! which means it’s not going to filter anything and dust is just going to continue blow around my house and into our faces. These filters are garbage. Wasted money. And explains the extra dust floating around lately and why everyone in my house has been getting coughs and such these past couple of weeks.,EXTREMELY poor quality.,Size: 20x20x1Style: Without Air PurifierVerified Purchase,77 people found this helpful,72694
Eric L. Fletcher,/gp/profile/amzn1.account.AFSBI5RB44ME3CG7MYWOW4IO7MVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 25, 2018",0,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"More restrictive (and expensive)  filters just kill your HVAC system save your money and repair bills for a proper HEPA air system instead, and just use these.",all the filter you need,Size: 14x20x1Style: Without Air PurifierVerified Purchase,86 people found this helpful,58513
Pepsi nuthead1,/gp/profile/amzn1.account.AF3B6ABDQEZ3MZG6TSMTXEY3QYFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2018",0,3,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,Sometimes the heaviest and thickest furnace filter isn't the best for your furnace -- THESE Filters are of good quality and will do the job if you replace them every 2-3 months.  I even change them alittle early and my furnace is good as gold (23 year old furnace!)  Love this product.,Good Quality and does it job,Size: 16x25x1Style: Without Air PurifierVerified Purchase,75 people found this helpful,344967
RP Meggs,/gp/profile/amzn1.account.AGTIGWBINWXTDYIJF32YOEPW4PGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 24, 2019",0,0,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Filtrete is a quality name in filters, everyone knows that. I bought these for the brand, size and price. What I want to point out is this: These are not the thick, heavy pleated type filters. They are thin and allow a lot of air to pass through. Which at first I thought might not be a good thing but after watching a ton of HVAC youtube videos I found out it's actually a very good thing. The high airflow makes my heat pump operate more efficiently and avoids problems like the coils icing on the heat exchanger. I use my Alexa device to remind me to replace it every month (also super important). That way I'm avoiding the two most common issues with air handlers: dirty filters and filters that restrict airflow. Just wanted to pass what I learned along. These aren't expensive but they are the proper type and won't cause issues while still getting the job done right. Hope this info helps!",Low Restriction Filters Avoid Air Handling Issues,Size: 14x20x1Style: Without Air PurifierVerified Purchase,21 people found this helpful,10178
S. Wood,/gp/profile/amzn1.account.AGEHJXJCIQOKXLBIFMS3G2W4AWKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 28, 2019",1,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"This purchased was a big mistake, we paid over $600 in repairs to our AC unit due to using this filter. The first filter we tried made a loud whining noise. I asked my husband to change it out because something wasn't right. Second filter was super loud when the AC was running and ultimately was being sucked up into the vent which caused our AC unit to freeze over the middle of an Arizona summer. Our licensed HVAC professional recommended that we NOT use these filters anymore and I recommend the same for you, save yourself some $ and grief and get the cheapie filters from W*lmart and replace monthly. I won't make this mistake again!","No air flow, caused the AC to freeze over and expensive repairs - DO NOT BUY",Size: 20x20x1Style: Without Air PurifierVerified Purchase,24 people found this helpful,2528721
