author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Amazon Customer,/gp/profile/amzn1.account.AGYIDL5HLUXPK6ZRVEJBOR47AGZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 7, 2016",1,11,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Very pleased. 144 ordered, 100% working rate, no DOA's.  I have a wedding decor rental business and these are good quality for the bulk nature.  The flame is not cheap looking and the flicker effect is random and convincing.  They have decent light output.  Given the style, I would recommend they be in a votive holder else they look small.  This was my intention for them, in glass votive holders and they fit perfect.  Measurements are true to the listing at 1.5"".  Better quality than other bulk LED's of similar style I have checked out",Very pleased. 144 ordered,,585 people found this helpful,647,41,4749698,Public
april,/gp/profile/amzn1.account.AHFH7OPSLB5Y7O7YVC2M2C7OMZ7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 14, 2016",1,5,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,I have been searching every where for the right color light that comes from a battery operated tealight votive. I thaught I found it ( pictured right side) until I found these. They look like real candle light. The perfect balance of warm white with a tiny yellow glow like the real thing. My picture shows this candle on the LEFT and the other warm white candle on the right. And you can not beat the price!,THE PERFECT COLOR!,Verified Purchase,629 people found this helpful,201,11,584273,Public
K.T.,/gp/profile/amzn1.account.AHRCVJOYN3SPJOC3FKSO7FI74OOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 20, 2017",1,1,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Finally found faux candles that AREN'T orange. I understand flames are orange, but I don't know why every fake candle company makes the entire thing orange. Those never look realistic to me. These are perfect and white with an awesome flicker. I need these for my wedding since my venue doesn't allow real candles outside and I am so excited I bought these. I put them next to a competitors so you can see.",Finally!,Verified Purchase,196 people found this helpful,127,23,1531364,Public
Jacqueline,/gp/profile/amzn1.account.AHM2MLTB4DLBYMRSI6DE6II5LRVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 14, 2016",2,3,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,I placed these LED lights in the Royal 6 pack lattice votives I also purchased through Amazon. Gave my dinning room table the gold glow I was looking for. You won't be disappointed!,Best LED tea lights!,Verified Purchase,113 people found this helpful,296,66,896955,Public
Paul A. Borja,/gp/profile/amzn1.account.AEBLN6VU3DEEDR36RVVZQRRNHUDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 8, 2016",0,2,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I have been looking for electric LED tea lights for my alter and these are just wonderful. They actually look like the real thing if you put them in a frosted glass tea holder. They flicker like real candles and stay cool all night long. I turn them on at night so they can ""burn"" when the house is asleep. They've been going for eight to ten hour cycles for the past week and seem to be going strong. I bought a box of 12 along with a pack of replacement batteries. So far I've not needed to replace anything. They certainly are a great deal. And by the way, they were shipped perfectly with no defects, breaks or issues whatsoever.",What an excellent product.,Verified Purchase,175 people found this helpful,465,77,1172081,Public
Cali Moki,/gp/profile/amzn1.account.AEGQRTEJE4VTO7LXPDMQBCOR5JEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 13, 2016",5,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,3.0 out of 5 stars,Great tealights that are tall like votive but work in tea light holders. Color is white on white flame.,Nice Tealights that are tall like votives,Verified Purchase,87 people found this helpful,127,50,328651,Public
Kris,/gp/profile/amzn1.account.AF5HHQKLBUE5TP6XZBJLAQJN7S7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 5, 2016",0,3,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"When they work, they are pretty. But buyer beware. There is a good chance several of them won't work at all.",Unreliable,Verified Purchase,76 people found this helpful,122,57,508659,Public
Heather,/gp/profile/amzn1.account.AGHAEDSU3M6JEAQLQXL7A23EP6BQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 14, 2019",2,1,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Your browser does not support HTML5 video.           The “flicker” effect and amount of glow is nice.  However the candle itself is incredibly unrealistic.  You can see the plastic seams and battery inside the candle from all angles.  I really needed candles and hoped I could at least spin them to have a “good side” facing outward but that was impossible to find.  The color while on is also more white than it photographs, which I was fine with.  But the incredibly fake/plastic looking candle is not ok.  I don’t understand how this candle has so many positive reviews!?",Candle itself looks very fake!,Verified Purchase,23 people found this helpful,460,176,78852033,Public
Mirela,/gp/profile/amzn1.account.AES27YN6LII2S6QIEU6TC7I2V5DQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 24, 2017",1,1,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Nice candles, really bright (see image) but soft at the same time. Happy with the purchase - ordered two more sets already.Update: the UPS guy saw one of them through the window and asked me if the candle was real and said that it looks amazing! I'll take a pic from outside and post it asap.",Perfect for the purpose!,Verified Purchase,78 people found this helpful,542,205,93003,Public
Brad Barnburner,/gp/profile/amzn1.account.AFMEPE4MDSDQFXNSPJDPX3KCLJ7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 30, 2018",0,2,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Whatever people say here, in my experience, These work, but are Cold White LED light, NOT Warm White as described, and look unnatural. Save your money. Unless this is a ""bad batch"", warm white ain't happening here. ! But a great value if you don't care about the stark white color. The flicker and all, but color is stark.","Cold LED Bright White Color, not Warm White",Verified Purchase,26 people found this helpful,476,120,46916,Public
