author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
JY,/gp/profile/amzn1.account.AGAVCCR4FNGWDPFJS3XFAOXM32UQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 12, 2018",0,1,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/product-reviews/B01BYMTYBS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,3.0 out of 5 stars,"TubShroom does work, but it does not work better than other products on the market.  Like all hair catching devices some hair does get through into the pipes.  The video advertising shows ALL the hair being caught, but that is not 100% accurate.  My wife has long hair and with this product I still have to use a drain cleaner from time to time, and use a hair pull-out tool to remove hair that went straight by the TubShroom.  I stopped using it, because over time mold started to grow on it.  I could bleach it to remove the mold, but I opted to go back to one of these for $5.00 which works just as good.(https://www.amazon.com/Danco-Bathroom-Strainer-Microban-10306/dp/B004L04X5S/ref=sr_1_4?ie=UTF8&qid=1515778106&sr=8-4&keywords=tub+drain+hair+catcher).  If the TubShroom was $5.00 the price would be right, but for $13.00 buy two of the other ones.","WORKS OKAY, BUT NOT 100% AS ADVERTISED",Color: WhiteVerified Purchase,79 people found this helpful,300,76,247015,Public
sasamo,/gp/profile/amzn1.account.AGINOZXPJCXT3FNGU7SURUJHAJQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 3, 2016",0,0,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/product-reviews/B01BYMTYBS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"No seriously - this is amazing. I have long hair and recently had a baby. It's a wonder I still have any hair based on the clumps I see falling out on a regular basis. This means the poor tub drain is getting clogged every time we turn around, and we're spending ridiculous amounts of time with that spiky stick thing you shove down there and then pull out over and over. I figured if this even worked to catch half of my hair then it would be worth its salt. Holy moly. When they say it catches every hair they aren't kidding. We clean it off about twice A WEEK! And when they say it's easy to clean, they are right again. A swipe with toilet paper and the hair blob comes right off to be flushed down the toilet. I've already told so many people about this product because I love it so much. Fantastic!!!",BEST INVENTION EVER!,Color: GreenVerified Purchase,161 people found this helpful,334,47,320104,Public
Steve,/gp/profile/amzn1.account.AHDXDP3F5M727N5IRMB2S4FMWMBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 9, 2018",0,1,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/product-reviews/B01BYMTYBS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,Did not work at all for my bathtub. Inserted as instructed. Water backed up and the Tubshroom floats out of the drain almost instantly. I suppose I could try to rig it so it fastens to the drain somehow but that seems like a headache,Didn’t stay put,Color: WhiteVerified Purchase,73 people found this helpful,83,15,946746,Public
Zerubba U Levi,/gp/profile/amzn1.account.AHDZ6KZWRDMQT2EHVD5B46PRAT5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 20, 2017",4,11,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/product-reviews/B01BYMTYBS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"The TubShroom is a life changer. To market this simply as a revolutionary bathtub strainer is to degrade the perfection of TubShroom.  People often describe their life split into ages, from childhood to college, from marriage to the birth of their children, career growth to retirement. I see my life divided into two distinct periods centered on one singular event: the gloomy, pestilent dark ages before TubShroom, and all the glorious, magnificence days thereafter. No amount of glowing, favorable adjectives will ever do justice to the magnificence of the TubShroom. These are but feeble, limiting words, which by their very nature, cannot capture the richness, splendor and transcendent power that is the TubShroom. In the search for truth, the world’s greatest mathematicians, physicists, and philosophers have all skirted around the wisdom of the TubShroom. In its form perhaps lies the Theory of Everything, a unification of the quantum world with gravitation.  The Freemasons, the Illuminati, all secret societies cherish and hold the principles of the TubShroom to the highest honor. The foundational design of the TubShroom  seemingly violates the Second Law of Thermodynamics, and causes time to stand still. The TubShroom is embodied enlightenment disguised as a humble implement to avoid bathtub clogs.",TubShroom is GOD,Color: Blue,746 people found this helpful,746,1,3118143,Public
Kael,/gp/profile/amzn1.account.AEY7RI2EFIH5223IRYATEFSBRKTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 13, 2019",0,0,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/product-reviews/B01BYMTYBS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"My tub/shower drain stopper broke and was going to cost $200-600 to replace as the entire drain and pipe connections had to be removed and replaced.  That was not in my budget and I searched for an alternative to the black hole that had become my drain.This inexpensive little TubShroom drain protector and hair catcher dropped right down into the 'black hole', stayed in place, looked nice (white against my white tub/shower) and works great!  The water drains out (no pooling and creating a small lake in my tub as I shower, with the hair caught around Tubshroom.  After showering, I remove  the Tubshroom (it just lifts right out), pull off the hair and toss is in the wastebasket, and drop the Tubshroom back into the drain hole.I haven't had any hair clogs since using the Tubshroom and the little guy can be easily cleaned and freshened up.  It Works!  For those of you who are wondering, NO the Tubshroom is not a cork - you cannot take a bath with it in place.  It will NOT keep the tub from draining.","Hey, It Works!",Color: WhiteVerified Purchase,110 people found this helpful,1212,282,5955,Public
Jeff,/gp/profile/amzn1.account.AHXSGBTVXIJDOUPISK6KIPIGJCKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 23, 2019",1,0,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/product-reviews/B01BYMTYBS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"Needed a drain screener since my gf has long hair and she started showering at my place more. This popped up as 'REVOLUTIONARY' and seemed to have good reviews and claimed it was easy to clean. This thing is TERRIBLE. it is by no means easy to clean, in fact it is very difficult to clean and EXTREMELY gross. Her hair wraps around it, gets  some skin and soap scum in there and turns into a bonded sticky mess. Also some hair goes into the holes and means I have to sit there for 5 minutes with toilet paper trying to pull all this crap off it. So not worth it, just get a tried and true basket. And these complaints were after 2 weeks of use. not like it was months. (2 weeks of her showering here sometimes). ITS ABSOLUTE GARBAGE, it is a lie about fixing a problem that never exited. Straight in the trash for me.",Not easy to clean and clogs easy,Color: BlueVerified Purchase,31 people found this helpful,46,19,78820357,Public
Evan,/gp/profile/amzn1.account.AHBCQZFHTQXJDU754CP34NFGWZMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 16, 2018",1,0,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/product-reviews/B01BYMTYBS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"I just tried a basic plastic snake on my drain today and discovered all kinds of hair and gunk that has gotten past the Tub Shroom, I am very disappointed. The idea of the hair being out of sight isn't necessarily a good one, maybe it is for some people, but for my girlfriend and I, it just enabled us to forget to empty it. Then once cold water builds up around your feet at the start of your next shower, you realize it's full. Then you have to empty it while the shower is already running, potentially washing more hair down the drain while you pull it out to empty it. I don't know if that was the cause of all the gunk I found, or the Shroom just doesn't work, but either way - I'm going back to my old screw-on shower hair catcher. I also noticed the force of the tub faucet would often knock the Tub Shroom up and to an angle, probably allowing hair to be washed past it as well. I wanted to like this product but it just didn't work out well for us. Good luck with your decision.",Not all it's cracked up to be...,Color: GrayVerified Purchase,44 people found this helpful,45,2,60834564,Public
S.K.M,/gp/profile/amzn1.account.AFH7VQINKVTDEZIE736C6NM66TQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 1, 2017",0,0,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/product-reviews/B01BYMTYBS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"I shed so much hair and it has always been an issue when it comes to showering! I used to try to catch the hairs before it went to the drain in which I would later have to clean once clogged, and now I encourage and move them towards the drain and my TubShroom! It truly is amazing and the silicone material allows it to not rust like the old metal tub sink screens. It makes cleaning so much easier and I am amazed every time. It even caught my dogs hair and he has short thin hairs!!! Highly highly recommend this to every home. If you found this review helpful, please let me know!! Thank you and hopefully you too can enjoy a Tubshroom. I'm planning on buying one for every sink in the house since they also have it for sinks as well as tubs!!!",TubShoom makes my life easier,Color: GrayVerified Purchase,58 people found this helpful,125,47,433618,Public
Hannah,/gp/profile/amzn1.account.AE7FX66FICHRE4B6YAMVPLPV5MTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 27, 2018",0,0,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/product-reviews/B01BYMTYBS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,Doesnt really work as advertised. My drain is the standard size but it fit in a way that slowed down the water. So anytime I use it I end up standing in water while I shower- the whole reason I bought this was to AVOiD having a slow drain. Would not recommend,Doesnt work as advertised,Color: BlueVerified Purchase,28 people found this helpful,48,53,374524,Public
M. Giraldo,/gp/profile/amzn1.account.AEETSNQGILZ5EU4TB37VWBVZTFUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 31, 2019",1,0,https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/product-reviews/B01BYMTYBS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,Water accumulated in the tub during a shower because the product doesn’t let the tub drain. See picture. It slows draining so much that it takes 10 min to drain the tub after a 5 min shower....  That is not a good product,"Slows draining to a crawl, not worth it",Color: BlueVerified Purchase,24 people found this helpful,161,40,201326,Public
