author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Diana,/gp/profile/amzn1.account.AE4XVWBZQQW6XC7TWY7TLC6QPHKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 15, 2018",5,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"So I’m kind of new to the amazon device family. We just got our echo a few months ago. I’ve been a prime member for over 10 years so I’m familiar with how amazon has changed life as we knew it (for me anyway). I saw the amazon smart plug when I was searching for any brand smart plug that had Alexa control with it. It’s been in my cart saved for later for at least a month! I finally decided to just pre order it so that I could review it and hopefully help other people that are like me and have fallen way behind in the tech field. For reference I’m an almost 34 year old mom of 2. This means that my 8 year old stole my iPad, iMac, and I haven’t had a computer of my own in about 4 years! So I do everything from my iPhone. I’ve had some weird issues with our echo and my Alexa app that it will just randomly pause a song so I’m not sure what that is about.ANYWAY! I received my new amazon smart plug the day it was released (so glad it’s not like a new iPhone or PlayStation where people camp out ahead of time or do people still do this??). It was easier than I expected but harder than was described in the listing because my Alexa didn’t just recognize it.Setup:Since my Alexa didn’t recognize it on its own, I had to unplug the smart plug and quickly scan the code on the back of the plug, then plug it back in fast so that when it scanned for it it would see it plugged in. After that it was very simple. I was able to plug in my baby monitor and then tell Alexa to “turn off plug one” and it turned off! It is so cool!Future:I think homes will end up being built with these right into the electrical system. Maybe they already are.Comparing:With so many different brands offering smart plugs with Alexa integration I can’t see myself buying any more than 1 for $25.  Too many are 2 for $20. While it’s nice to have the amazon support backing this up, I just can’t afford to fill my home with them at such a high cost comparative to other brands that do the same exact thing.Overall:If you can afford to fill your plugs with these then do! This smart plug is easy and awesome! But if you’re on a tight budget like I am, I would try a different brand first and see if those will work just as well.Every time I purchase something online, I always check the reviews. I count on others to help me choose the best option. My reviews are always my honest opinion and I try to include photos if possible.If my review has helped you in any way, please click the ""helpful"" button below so that I know! If you have any questions feel free to ask! Thank you!",Great smart plug to go with echo!,Configuration: Smart PlugVerified Purchase,"10,316 people found this helpful",30682,325,393,Public
Rachel Wright,/gp/profile/amzn1.account.AFSP54TZEGXLNFYGDOKJB7EWVMCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 15, 2018",0,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Got this smart plug so I can remotely turn appliances/lights on and off in an Alzheimer's patient's home. I can remotely make sure things are off by simply turning them on/off in the Amazon Alexa app - super simple to use and really helps me out. Now I don't have to drive over there to make sure the lights are off, or the AC or TV are off, etc. Thank you!",Perfect for Alzheimer's Patients / Seniors,Configuration: Smart PlugVerified Purchase,"2,786 people found this helpful",2790,25,12425,Public
minmaui2002,/gp/profile/amzn1.account.AG537RIMZIHQAGF5XF4AU6CMAISA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 15, 2018",0,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"For the past few years we've only used WeMo smart plugs by Belkin.  They've worked ok and rules are easy to set up BUT, like any other smart plug, WeMo requires users to manage smart plugs using the WeMo app.  The WeMo smart plugs were relatively easy to set up with Alexa, however, the moment there was a power outage, reboot of router, etc. they have been a royal pain to get back online.I received my new Amazon Smart Plug today and the setup was very easy and took minimal time.  This was so much easier dealing with one single app (Alexa) that I will now be replacing all of my WeMo devices.  I would have given it 5 stars but using the scheduling option (days and times) in Alexa required too many steps.  Users should ideally be able to add start times, stop times and days when creating a schedule versus creating separate schedules for start and stop times.  Perhaps a lower price would be good.  Not just because I want a less expensive product but more importantly, many people have already invested a lot of money with their current smart plugs.  For example, over the past years I've added (7) WeMo plugs at an average cost of $30 each and $210 for all (7).  Personally, I think it would be a wise decision for Amazon to drop their price so that they can win over customers like me at a faster rate.",Best Plug for Echo,Configuration: Smart PlugVerified Purchase,"2,025 people found this helpful",2063,22,119554,Public
Eastern,/gp/profile/amzn1.account.AGG5Y4Z2XOELGY6OF3LRZ5NGZPEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 15, 2018",0,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"Anyone else have a problem? Surprised that the instructions (hard copy and online) were not complete. Did not tell you that the plug needed to be turned on in a specific way to allow for setting the plug up---"" press and hold the on/off switch until the LED light flashes blue and red.""  After that, the set up process was simple.",Yes I did have a set up problem.,Configuration: Smart PlugVerified Purchase,"1,787 people found this helpful",1880,86,18319,Public
Frederick,/gp/profile/amzn1.account.AFONENWGNXXIUGGYZKWZ3GPZI36Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 15, 2018",5,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I have owned several different brands of smart plugs, and this one was BY FAR the easiest to to set up.  I plugged it into an outlet and within a few seconds the Alexa app on my phone recognized it as a new device, prompted me to give it a name, and I was all set!  Awesomeness all around.This may seem obvious, but it you are already an Alexa user, this may be the best smart plug to get simply because it integrates so easily with Alexa.  It's really nice not to have to install another app on my phone for a different brand of smart plug and then link that app to Alexa -- eliminating that extra layer of complexity means one less thing that can go wrong.Like other smart plugs, there is a single button on the side which allows you to turn the plug on and off manually.I have just a few complaints:- First, the plug itself is very large, especially compared with other smart plugs on the market; it projects over 2"" out from the wall and is over 3"" wide.  Surely Amazon can make these smaller?  Please?- Second, the plug is on the pricey side as smart plugs go.  $25 is steep for a single plug.  Then again, it's nice to keep everything ""within Alexa,"" and hopefully Amazon will offer some deals on them as time goes on.","VERY easy to set up, but slightly bulky",Configuration: Smart PlugVerified Purchase,"1,335 people found this helpful",31036,298,596,Public
Valerie McCormack,/gp/profile/amzn1.account.AF3YV2XSFLYJPA6P4QE3NP22AG5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 16, 2018",0,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I am no tech expert but the reviews said easy to set up.  I have an iPhone and use an eero wifi network throughout the house and have my echo dot on that network.  I have spent HOURS trying to get this set up and Amazon customer service put me on hold for an hour after being unable to resolve the issue.  I FINALLY read that it only works on a 2G network (I have 5G) and so I managed to somehow reset everything and get ONE to work.  In trying to set up the second, it kept reverting back to my 5G and it took me another 1/2 hour to figure out how to forget the network settings in Alexa.  I had to completely forget all the networks and reset everything several times.  I FINALLY managed to get them working.",does not work on 5g network,Configuration: Smart PlugVerified Purchase,"1,162 people found this helpful",1162,1,62593673,Public
Dan Meier,/gp/profile/amzn1.account.AGGRYENKBPHMH7O2RKCR5Z5COLPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 30, 2018",0,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,2.0 out of 5 stars,"""Smart"" home automation gadgets are a mixed bag, in general, with varying levels of compatibility, functionality and reliability across many different manufacturers. I was hoping that with their own ""made for Alexa"" smart plug, Amazon would hit a home run in the home automation space.  However, I've been disappointed with the Amazon Smart Plug.While setup is supposed to be ""plug-and-play"" with the Alexa app handling all the heavy lifting, I found both of the Smart Plugs I purchased had problems connecting and I had to (repeatedly) go through a manual pairing and configuration process.Connectivity has been marginal, as both plugs occasionally lose connectivity and require power-cycling to restore communication. This is despite the fact that I have a mesh network in my home with terrific coverage, as well as 9 Alexa devices. So no matter how the Smart Plug needs to communicate with Alexa, my infrastructure shouldn't be a problem.Reliability in operation is problematic, too, as Alexa frequently and unpredictably informs me that she can't turn on one of the Smart Plugs right now, and to try again later.  Frustrating!Finally, there's no compatibility with home automation apps like SmartThings or Stringify, and the Echo app doesn't provide basic capability such as the ability to turn on a plug/light at sunset or off at sunrise.Overall, a disappointing purchase.  Hopefully a Gen 2 Smart Plug will offer more compelling capabilities and performance.  If you're looking for an Alexa-compatible smart plug today, however, there's definitely NO advantage purchasing this one.",Disappointing,Configuration: Smart PlugVerified Purchase,710 people found this helpful,775,29,162215,Public
mona,/gp/profile/amzn1.account.AGSI6KDZ4TO3BC6OJ5XTR3EJZQGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 26, 2018",0,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I had a few WeMo smart plugs before ordering these. First of all, I HATED the app because adding a plug was so cumbersome. Plus, one of the plugs never did show up on the app so I couldn't really control it. It was in a room upstairs and I thought it must have been out of range of my WiFi router. I do not have a WiFi extender and almost bought one due to this issue. Had to send those plugs back.I was excited to see Amazon was coming out with their own smart plugs and pre-ordered them right away. Controlling everything through one app is way preferable. As a huge bonus, my upstairs plug that I previously could not control with the WeMo plug and app now works flawlessly with the Amazon plug and Alexa app. I guess it wasn't out of range after all.Pros:1. if you're already tied into the Amazon Alexa ecosystem this just makes sense, and you keep things under control with a single app. And easily controlled with your Echo device if you wish.2. Really easy to add a plug via the Alexa app. Alexa will recognize it right away and you just scan the back of the plug to add it.3. Shorter and less bulky than the WeMo plug.4. Smart plugs that may have been non-responsive on my network before are working flawlessly now with the Amazon plug in use instead.Cons:1. A bit pricey. I wish they offered multi-packs for a lower price per unit. This will probably happen later.2. Adding a plug to operate on an on/off schedule was NOT as easy as with WeMo. It took too many steps, was not straightforward, and should be more streamlined. Basically, you're creating what they call a ""routine."" You have to add a start time. Then go back and do it all over again to add an end time. So I had to create two routines to get my coffee maker to start on weekdays at 6:45am and turn off on weekdays at 7:45am. That was silly. I did eventually figure it out, but they should really work on making it involve less steps and be more intuitive.I will buy more but will wait until the price comes down or they're on sale.",works perfectly,Configuration: Smart PlugVerified Purchase,686 people found this helpful,789,38,355053,Public
Scott N.,/gp/profile/amzn1.account.AEB4ERVOVELGAX53BCTQIGDLGWBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 26, 2018",0,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Ran great the first night I set it up....then, I experienced issues as other folks are having, but Amazon Staff on the Alexa boards are failing to help.Many people are having issues the next day...Alexa fails to recognize device....then when attempting to rediscover plug per Amazon Staff suggestion, device fails to be discovered.Edit.....Although device is not working, Amazon support has been working with me to resolve this issue. I'm pretty impressed!  Good job !Edit11-1-18Recieved 2nd Amazon plug. Same issue as first plug...loses connectivity.I also recieved 2 tp link plugs that connected flawlessly and don't lose connectivity.",Issues...Amazon attempting to resolve for me...VERY IMPRESSED GUYS!,Configuration: Smart PlugVerified Purchase,259 people found this helpful,293,40,145940,Public
Bill D,/gp/profile/amzn1.account.AH4FLZPYHXWIO4WKAMZY2EYI7MAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 5, 2018",0,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Totally brilliant is the best way to describe these plugs.  For more than 30 years, I’ve put up with the madcap craziness of my spouses’s obsession with Christmas.  That means those cheap mechanical timers eveywhere.  Guess who gets to set those up?  Guess who gets the complaint that lights don’t turn on and off at the same time?  This guy.  Guess who hates Christmas? This guy.This year, I ordered a bunch of these - they take about 2 minutes to set up.  You open up the Alexa app.  Hit the plus sign to add the device and scan the bar code on the back, then plug it in.  In about a minute, the plug is added to your system.  I renamed each and then marked it on the bottom where it’s located (“Christmas Tree”).  I set up a group (“Christmas”) and put all the plugs into the group so there’s a single word (“Alexa turn on Christmas”).  I’ve set up a schedule so all the lights in the group come on and off at the same time.One annual headache solved and the spouse is happy that the lights all come on at the same time and they can be controlled with a single word, and it’s not my name anymore.",Simple Solution to Holiday Decorations,Configuration: Smart PlugVerified Purchase,218 people found this helpful,2105,348,2622,Public
