author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
No BS Guy,/gp/profile/amzn1.account.AHMNU2L3RIEO6OF2YPRJKFQBNMQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 28, 2018",0,6,https://www.amazon.com/Jenga-A2120EU4-Classic-Game/product-reviews/B00ABA0ZOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Our family grew up together in some sort of Jenga haze where at every get together this was dragged out and we played for hours.Fast forward 15 years and I got this for my 3 year old (yeah, yeah, he doesn't have the manual dexterity or patience....Stop interrupting me) to pass that haze onto the next generation.Guess what, he loves Jenga!!  Just not in the ultra competitive, beer fueled way.  He views them as blocks, so we spend an hour or so each episode building stuff and knocking it down.Eventually we will start actually playing Jenga, but for now, his journey towards the haze of my youth is wonderful.Peace, No BS Guy",his journey towards the haze of my youth is wonderful. Peace,Size: ClassicVerified Purchase,113 people found this helpful,333,25,258908,Public
TEST,/gp/profile/amzn1.account.AHEZIQBGXOVHFQ6TTVXTVRDTT6MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 17, 2018",3,1,https://www.amazon.com/Jenga-A2120EU4-Classic-Game/product-reviews/B00ABA0ZOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This is a really good game. It actually improves the focus of kids, because if you will lose the focus you may lose the game. The best part about it is, you can plaiit alone or with more players so you are not bound by number of players. I buyed it for my 8 years old son because he liked it so much. We have to actually remove each block at a time on your turn and make sure the tower should not loose the balance. Overall I like this game because you can spend hours playing this without getting bored as well you can finish it early if you have limited time. Overall worth it's price and good game.",Worth it's price,Size: ClassicVerified Purchase,50 people found this helpful,550,49,38181,Public
MrLikeke,/gp/profile/amzn1.account.AFR7AY4LBDR7AHGOOKSOWGGO2IQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 26, 2018",0,2,https://www.amazon.com/Jenga-A2120EU4-Classic-Game/product-reviews/B00ABA0ZOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"The classic Jenga set brings back great memories growing up and playing with it as a youngster.  But I also remember back in the day of a sturdy clear plastic stacking sleeve. Just hope the current sleeve, which obviously didn’t meet my expectations, will last...the reason for mid 3-star rating. I bought the classic to pair it with my recent purchase of the colored wooden blocks of animal cartoons by Sun Top (Top Bright?) since the children’s set didn’t come with a stacking sleeve.  Nevertheless, I’m truly having fun with my grandkids and they love it as well and now I have a game to introduce to my senior friends. Why not offer a sturdier plastic stacking sleeve as an upgrade/accessory item?",Follow up review,Size: ClassicVerified Purchase,58 people found this helpful,135,28,371076,Public
Nicole,/gp/profile/amzn1.account.AFFZXBS3OQHPTWSQJORKUVP7SQYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 28, 2017",1,1,https://www.amazon.com/Jenga-A2120EU4-Classic-Game/product-reviews/B00ABA0ZOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I bought these for an adult drinking game using google suggestions for each block, worked out well!",Five Stars,Size: ClassicVerified Purchase,73 people found this helpful,174,72,193103,Public
Kerry Summers-Valdez,/gp/profile/amzn1.account.AGLCVAYDEXPFMIBXQ7K6GPEET3AQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 14, 2019",0,1,https://www.amazon.com/Jenga-A2120EU4-Classic-Game/product-reviews/B00ABA0ZOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"Happy to see the wood pieces are still made of wood. That's about the only thing familiar you'll see from the last time you bought a Jenga game.The box is rectangle.  The Jenga tower is square. The box contains cardboard padding that clearly is intended to be discarded. So now what? Put the bricks in the box and watch them shift around. It's like a bag of chips puffed up to look fuller. But why?And where's the plastic half cube that used to come with the set so you can easily straighten the tower? Not included, apparently.",Not thrilled.,Size: ClassicVerified Purchase,39 people found this helpful,80,37,304001,Public
Joni,/gp/profile/amzn1.account.AEHMXJ7XQSHB2E6Q3K6XPFGXT6RA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 6, 2016",0,2,https://www.amazon.com/Jenga-A2120EU4-Classic-Game/product-reviews/B00ABA0ZOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"If somebody doesn't know what Jenga is about: it is a game where you build a tower out of wooden blocks (3 pieces per floor), and players are taking turns to remove blocks out of the tower. If the tower falls apart on your turn, you will lose the game. It is very simple and fun game.If you're looking for a game as described above, then you can't go wrong with this product. Amazon delivered it in timely fashion as usual, and the product is exactly what you would expect–a bunch of wooden blocks that you can use to build a tower. Also, this comes with game instructions and some kind of stacking aid made out of carton. I tossed the stacking aid to trash, since I find it to be much faster to build the tower by hand without the aid.In my opinion, the game is at its best when played with two people, but there's no limit of how many people can participate in the game. I would recommend using a stable table to play the game on, but a dangling Ikea table (or equivalent) surely adds some challenge.In a good company this game is much more fun than any video game on the market, making it a bargain at less than $10. This game will also work anywhere with decent gravity–as long as you are able to find a stable surface. In conclusion, I would recommend Jenga to anyone living on a planet that has a sufficient gravitational force to hold the tower together on the surface, which includes all the areas to which Amazon.com delivers.",No HDMI Cable Required,Size: ClassicVerified Purchase,94 people found this helpful,447,127,846981,Public
Bo Duke,/gp/profile/amzn1.account.AHXMOPPP7L3GM3JY445SRL22ICMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 2, 2019",0,0,https://www.amazon.com/Jenga-A2120EU4-Classic-Game/product-reviews/B00ABA0ZOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"Purchased this directly from Amazon, and it came new and wrapped in clear plastic.  The inside block stack was also wrapped in plastic, which preserves the blocks until opening.  The blocks are not painted, which allows them to stay together and the game to proceed normally without being shortened by premature slippage. The cardboard box is rectangular, and might serve as a storage mechanism for the blocks for awhile, but I suspect it will not last for that purpose.  I'd prefer a storage bag, like several of the knock-offs that are marketed here have, but a bag might be found elsewhere.","Well-made classic, but I wish it came with a bag",Size: ClassicVerified Purchase,25 people found this helpful,119,56,543706,Public
Nicholas Ramsey,/gp/profile/amzn1.account.AHYHLDGYPWDGAKKHBBIINFA6DQMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 8, 2016",0,2,https://www.amazon.com/Jenga-A2120EU4-Classic-Game/product-reviews/B00ABA0ZOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"For the cost of this game, for under 15 dollars, you really can't beat the amount of fun and suspense that it delivers. My fiancé and all of my friends love this game very much; as well as my parents which tells you that all generations love this game. This is probably one of the best ""board games"" there are around; if you have little kids this would definitely teach hand eye coordination. Definitely durable given the amount of times the tiles have came crashing down going every which way. This game has suspense with no real danger, appeals to all ages, is simple to play, and lasts forever. You can still play it on a coffee table or dining room table, you don't need to clear a place on the floor. One thing I would suggest is changing the box size, you would think that the box would be the exact shape of the game so the pieces aren't rattling around in the box.  All in all; it's a great game for a great price that you can't beat. Definitely a must buy to keep in your home for a rainy day or for a family game night.",you really can't beat the amount of fun and suspense that it delivers,Size: ClassicVerified Purchase,41 people found this helpful,108,105,899914,Public
CJ,/gp/profile/amzn1.account.AF64NEMIWDEQEOO5CTSA3XLELV6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 25, 2018",0,0,https://www.amazon.com/Jenga-A2120EU4-Classic-Game/product-reviews/B00ABA0ZOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,Classic toy which provides fun for everyone. Really enjoyed reliving a game from the past. Pieces all appear uniform although I'm pretty sure the quality of the blocks are not as good as the original ones that were made. I'm sure these are lighter.The only other gripe is the very cheap cardboard guide that comes along with the game to assist you in rebuilding the tower once it's been toppled. I'd pay more if there was a better device to assist in building the tower again.Hours of fun that even our 4 year old was able to fully participate in. A non electronic game that holds your attention span..... amazing !,Great fun which brings back memories,Size: ClassicVerified Purchase,12 people found this helpful,78,121,339066,Public
James Cortina,/gp/profile/amzn1.account.AHGDJ5IWRG2B6KEEJUSMC2ZFAXYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 31, 2016",0,0,https://www.amazon.com/Jenga-A2120EU4-Classic-Game/product-reviews/B00ABA0ZOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This toy is extremely durable (how can you really break those small blocks of wood?), it's incredibly flexible as a toy. My family and I plays this game for hours. When my daughter plays it alone, she stays occupied with the game -- playing it alone, stacking and re-stacking the blocks, creating houses and encampments as if the pieces were designed as building blocks.As an adult, I don't enjoy card games or board games much, but I still appreciate having this game around the house. It's a game you can play with just about anyone, and although it does take some concentration when you're the one pulling out that precarious block, you can still converse and cavort while playing (as long as you've got the game on a stable surface!).Jenga also helps teach hand-eye coordination, precision, patience, forethought (""what will happen if I pull out this block?""), and just a bit of physics -- some of the blocks are rougher, some are smoother, so friction comes into play.I highly recommend this game to everyone, regardless of age!",Love it,Size: ClassicVerified Purchase,22 people found this helpful,44,80,1784118,Public
