helpful_votes,page_url,total_review,visibility_status
60,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJ3WJK4JFQ3RBO7EMPFSPAIUHHA/,7,Public
454,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3BGTEBVDRX5ONVAR2LS7SWBCBQ/,50,Public
256,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENK4VJNBRPRUNSFXHIQGOD4B6NQ/,42,Public
63,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJ52UFKUQFRE2RTE7NRVPHA5A7Q/,32,Public
238,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNHGHIPV4UA2MJMVM2XCBVDWQ4A/,66,Public
347,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFXI3DHZ5NS2DWYHBDRMWI342JNQ/,172,Public
69,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQOJCZPPQWIKKGNWNCJNFIDL5RA/,52,Public
266,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHX3M2CWEAGQQGHRVM3GXSFK46TQ/,43,Public
74,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4P3YIH4X6HOF4AAUBSERVQXK7Q/,70,Public
134,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGCAJG3PPVEFD4HRAZXX7RHNW7Q/,74,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELKY77ZRMJGZNH6V7PN4MEBX4IQ/,14,Public
"14,914",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHA72SDAVWPYNSORLF3IOLJAAK2Q/,"3,960",Public
"1,011",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AET3OFQCUOA564AQG7L7CS3XOJTA/,621,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHU7JUQD23H5PWP7Q43O4GVAU4YA/,15,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYKCSIOOKON5PKTI4RLWDGR24DA/,13,Public
555,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQBOAPB52Y5SPTVVAYZLMX5EG5Q/,213,Public
409,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJMVNBYACFCSHLF2J3A4B2XLS4A/,179,Public
824,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSF2QOUOEDW3LJJ7XSVCQXFTFTQ/,362,Public
309,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDCLXAA3WZVCXLOGRWWAD7Y3ZXA/,139,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF45UPHJQQABBNDDEFFYZQ7QHP4Q/,6,Public
53,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG43GFYBSE2GSM2N2GFWAJLUMS4A/,67,Public
218,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFVED7QHCVSO2NKMCRBUW3U42HQ/,221,Public
60,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELUOSFG4TCYSP4Z75LF2IN4K6BQ/,51,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEREZ5VXV3WI7JIMM6CQSBLXT6DA/,11,Public
169,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELIL6I4J6GPMGNVUKGW6RNFO3LQ/,238,Public
72,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGZUIOZEDJW3AZ4JRODXVHREPCA/,28,Public
104,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5GPH6OGDD3XLR5YULNBZKPOXPA/,93,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQDCW26REJ53VY2X5KBEBQY3Q2Q/,71,Public
69,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGISV22WFYBQMSSID4ILYODNMZ7A/,115,Public
32,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNHSDTGAKXLAFJ5UZCOSJPJZUIA/,88,Public
164,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEL57V33KIRPFHXG6ILIXZIWWD7Q/,158,Public
49,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDVV4O4R4NKYQQOIWTTM2OEWEDQ/,53,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPNCGXSCHKOTVUOEYSXUM3LJG5Q/,51,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGETBJKPYH4AAP4DX6WGJB3XALRQ/,28,Public
67,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6DB7JENVZ3IUF2CQRQ5SJSJZYA/,136,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKGAMSPMKGQDG2QXODXTKL523TQ/,27,Public
241,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMC2WJGTABIIW2MHLKK4LJU62KA/,59,Public
"1,885",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPMXALRXMDPF77E2AGOBFISXLTA/,123,Public
585,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEIDG5MBPQVHOJB33QCSEMAVNSQ/,389,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQB7HMX5GVFRO6FXOKRR5XSINNA/,16,Public
123,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZPI4GDGE4TJ53CS6DDMEY6IXWA/,223,Public
235,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBJRDRO5PQCIIR2JPM4CTFGW6SQ/,50,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUUXYSZZYEPVZKX7IFOJKXZPRRA/,3,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYYHSITYNZ5J2WIGOCVEQKOOFDQ/,23,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZNVOWT57SKZ5VC6MZSROQHQDXA/,23,Public
124,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7SA7NETRU5T5GZDPATO7GD4LLQ/,120,Public
93,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCFSH5TAO6WZ3E4C7GNQTJMCDYA/,147,Public
177,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQ7QSK6VYK2VDCQQAVGJSZ5CJTA/,164,Public
698,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCCY7M5VQZEP74DPKX6QYW2IBZA/,241,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXRDDBXMUPBGVONVAJ72J4BBKVQ/,18,Public
874,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXWXDKVKQGA5RZKGRUEVBYWOBGQ/,75,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWXU4KVNAYR47PLPQXUXZLRKAJA/,19,Public
86,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMSKPMTPPAZJJPFPKXOLSEUAQ4Q/,221,Public
299,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFV26MWG47PXLEQ2Z6NAUC3G3FRQ/,111,Public
34,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE253JFISBJNRNGBJKAA2AG3UETQ/,141,Public
722,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4TWJXZ7CIAWCFZIRQ7WHBLCMLA/,118,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBXT67DUGHZURU4HC2YTYFS5GUA/,33,Public
336,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUGK5YTV2YITQMBF2RUR3LVSJNQ/,95,Public
"3,460",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7JAQDZFIAIPSHR6JKTE7RBPTHQ/,"1,299",Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZ5BRCGRQTUOMBS56IPL7J7IY6A/,58,Public
163,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEKFTXHHVQR4UZP3ESGOK3OKWWKA/,58,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHHVPGTNMYHRNXUOPGC7Q2W2R7CA/,35,Public
34,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG52PLN4BI25VG5UHIGJRV472QMA/,47,Public
77,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHF3CGB4VLEX5FE45WIC33JB2GQ/,79,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6X5H4IZHPPWZYFNPQNNQIRGSFA/,49,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHI5DQVZKRIMRPWG3IWXFRSAQY2A/,32,Public
221,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEP4MKVG5EHY7RVONZQBU3IQO3QQ/,159,Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHM2O72RMNDINZHOVAJ74X6CHYXA/,30,Public
136,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJGVV7MROXNY7P57QUZZ5J464HA/,298,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGM2I33BEPUXP4KSKV7TYUEGJYAQ/,18,Public
97,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHSKFL5PFIU544HFER6UVTKYRCFA/,83,Public
82,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGFV4PLNRK423K6U4NNR7U3JUCA/,50,Public
748,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG367ZVHC4LUWKNFF536FOSFAIPA/,337,Public
306,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAKL7UBYC5PRARMFG4UKOBJ6VFQ/,129,Public
63,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEH5M6SODWB2NQZPTTUSDR7NM3Q/,20,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEZVSPJW3BKEOLPDALI7ZHFY7FA/,30,Public
172,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6X7JS4JEYFPJZIGDHAV6CREGQQ/,47,Public
90,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZSJ5MFXUBKZTLBHR7EXNRIPFZA/,324,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6GFH667UH37JKTRWMUWTH5HHWQ/,77,Public
418,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZ2KAUH75V2SQBKMSRZXZGNWYFQ/,117,Public
121,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGKYTZUZZRXDS2A6JI7AZJY5FAA/,200,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDK6C6YIKGRPUGV5SDTL64PV5UA/,39,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGC6DWS3Q35GTFVJGONZSEO4Z6ZQ/,84,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF66ZBH7DYOUDSO4CK2DN6PKYN4A/,45,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFO7J7B5GOOJPDKB6RBAXHA5CVUA/,4,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFU5QXJRR5LXRYOJTAPBKLBZ2E3Q/,29,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFIGH3KYIPPGVEK5OK5BLVJVYDQ/,30,Public
32,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAGUOZ2Z42BZ2LU6LJQUC3E3OZQ/,152,Public
130,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECN5RQKVAFUSPU2TFSYYDVGN7DA/,35,Public
315,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPCRMQVQYOVIYGCFBURHPSW4LPQ/,596,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHV27KGOMWW5VX3KVTLBGR3JFSHA/,17,Public
59,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFKJTYAF37JY7RT6T7QEDUF7KWQ/,135,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPHQV75G4VSCEKJSVHYS4K42CDQ/,72,Public
"2,150",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHVUPBZGNGAEOIYOJDFKAC7PVSQQ/,536,Public
52,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPDXK6B4HQSMHJX67V7BMXWGJAQ/,169,Public
35,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNUWZQNMIIM4JGTXUVKGP7C6ZZQ/,34,Public
164,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPMPC3MZOXL3UYVGECMKZHSH37Q/,456,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3LKO25M6TWNSJYMG5CZU2JEI6A/,32,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKTDFVTYLF63UXABDACNG6PIQ7A/,24,Public
"2,664",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMHQN774P5NDQE4HTZQGNH33DUA/,264,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAFD5ZOC3UQFCFZL3XUG447Z5SA/,31,Public
332,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKSLMSFYZQJ4FYXOZFLDHNNUDHA/,113,Public
110,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKY7CL3KK4UOMEG2KKTVIWZF7VQ/,835,Public
"5,217",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSTUTJOQ4MLPDVEBYQTC4NC34KQ/,"2,808",Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJSATD4RBO5RIFHIXXXQPALFJQA/,3,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYSTAOCEWJ6TZAUPEY4TZV7EWUQ/,36,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEW5I2P7FUEVORQDMI7UCL5UYXQ/,30,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2M4UZ3Q6V2OFH7LDSTGYFULAVQ/,11,Public
"2,550",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHY6VTKXMAU7MBUEPTHIVM3VMFEA/,580,Public
38,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETQANBJRPRFD7EILKFKQMM62GTA/,47,Public
41,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6ZN2JUXEB2NKWD5VDYJNAOZRHA/,56,Public
