badges,page_url,ranking
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGJ3WJK4JFQ3RBO7EMPFSPAIUHHA/?view=visitor,3111082
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF3BGTEBVDRX5ONVAR2LS7SWBCBQ/?view=visitor,465755
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AENK4VJNBRPRUNSFXHIQGOD4B6NQ/?view=visitor,1235797
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGJ52UFKUQFRE2RTE7NRVPHA5A7Q/?view=visitor,3673852
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFNHGHIPV4UA2MJMVM2XCBVDWQ4A/?view=visitor,186703
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFXI3DHZ5NS2DWYHBDRMWI342JNQ/?view=visitor,161973
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHQOJCZPPQWIKKGNWNCJNFIDL5RA/?view=visitor,1299179
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHX3M2CWEAGQQGHRVM3GXSFK46TQ/?view=visitor,84207894
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AH4P3YIH4X6HOF4AAUBSERVQXK7Q/?view=visitor,1122397
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEGCAJG3PPVEFD4HRAZXX7RHNW7Q/?view=visitor,252023
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AELKY77ZRMJGZNH6V7PN4MEBX4IQ/?view=visitor,4884659
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHA72SDAVWPYNSORLF3IOLJAAK2Q/?view=visitor,624
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AET3OFQCUOA564AQG7L7CS3XOJTA/?view=visitor,3885
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHU7JUQD23H5PWP7Q43O4GVAU4YA/?view=visitor,4748766
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGYKCSIOOKON5PKTI4RLWDGR24DA/?view=visitor,2703960
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFQBOAPB52Y5SPTVVAYZLMX5EG5Q/?view=visitor,166851
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHJMVNBYACFCSHLF2J3A4B2XLS4A/?view=visitor,94022
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFSF2QOUOEDW3LJJ7XSVCQXFTFTQ/?view=visitor,10898
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFDCLXAA3WZVCXLOGRWWAD7Y3ZXA/?view=visitor,369653
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF45UPHJQQABBNDDEFFYZQ7QHP4Q/?view=visitor,83808821
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG43GFYBSE2GSM2N2GFWAJLUMS4A/?view=visitor,186500
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFFVED7QHCVSO2NKMCRBUW3U42HQ/?view=visitor,82357
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AELUOSFG4TCYSP4Z75LF2IN4K6BQ/?view=visitor,1068203
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEREZ5VXV3WI7JIMM6CQSBLXT6DA/?view=visitor,14279839
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AELIL6I4J6GPMGNVUKGW6RNFO3LQ/?view=visitor,59929
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHGZUIOZEDJW3AZ4JRODXVHREPCA/?view=visitor,383726
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG5GPH6OGDD3XLR5YULNBZKPOXPA/?view=visitor,658065
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFQDCW26REJ53VY2X5KBEBQY3Q2Q/?view=visitor,7196630
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGISV22WFYBQMSSID4ILYODNMZ7A/?view=visitor,84341490
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGNHSDTGAKXLAFJ5UZCOSJPJZUIA/?view=visitor,1547536
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEL57V33KIRPFHXG6ILIXZIWWD7Q/?view=visitor,129346
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEDVV4O4R4NKYQQOIWTTM2OEWEDQ/?view=visitor,1748718
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEPNCGXSCHKOTVUOEYSXUM3LJG5Q/?view=visitor,1473999
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGETBJKPYH4AAP4DX6WGJB3XALRQ/?view=visitor,7994972
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AE6DB7JENVZ3IUF2CQRQ5SJSJZYA/?view=visitor,2048178
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFKGAMSPMKGQDG2QXODXTKL523TQ/?view=visitor,3199968
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEMC2WJGTABIIW2MHLKK4LJU62KA/?view=visitor,1906562
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGPMXALRXMDPF77E2AGOBFISXLTA/?view=visitor,1177952
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFEIDG5MBPQVHOJB33QCSEMAVNSQ/?view=visitor,14496
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFQB7HMX5GVFRO6FXOKRR5XSINNA/?view=visitor,13084048
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHZPI4GDGE4TJ53CS6DDMEY6IXWA/?view=visitor,79435
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGBJRDRO5PQCIIR2JPM4CTFGW6SQ/?view=visitor,2020909
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHUUXYSZZYEPVZKX7IFOJKXZPRRA/?view=visitor,50931076
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEYYHSITYNZ5J2WIGOCVEQKOOFDQ/?view=visitor,8796542
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHZNVOWT57SKZ5VC6MZSROQHQDXA/?view=visitor,4193400
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AE7SA7NETRU5T5GZDPATO7GD4LLQ/?view=visitor,2166371
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFCFSH5TAO6WZ3E4C7GNQTJMCDYA/?view=visitor,170224
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHQ7QSK6VYK2VDCQQAVGJSZ5CJTA/?view=visitor,2573805
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFCCY7M5VQZEP74DPKX6QYW2IBZA/?view=visitor,221939
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEXRDDBXMUPBGVONVAJ72J4BBKVQ/?view=visitor,4244369
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGXWXDKVKQGA5RZKGRUEVBYWOBGQ/?view=visitor,319223
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEWXU4KVNAYR47PLPQXUXZLRKAJA/?view=visitor,4385043
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHMSKPMTPPAZJJPFPKXOLSEUAQ4Q/?view=visitor,1447381
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFV26MWG47PXLEQ2Z6NAUC3G3FRQ/?view=visitor,320059
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AE253JFISBJNRNGBJKAA2AG3UETQ/?view=visitor,84477341
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AH4TWJXZ7CIAWCFZIRQ7WHBLCMLA/?view=visitor,368029
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFBXT67DUGHZURU4HC2YTYFS5GUA/?view=visitor,5501187
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHUGK5YTV2YITQMBF2RUR3LVSJNQ/?view=visitor,2203671
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AE7JAQDZFIAIPSHR6JKTE7RBPTHQ/?view=visitor,2460
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHZ5BRCGRQTUOMBS56IPL7J7IY6A/?view=visitor,84495250
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEKFTXHHVQR4UZP3ESGOK3OKWWKA/?view=visitor,84157391
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHHVPGTNMYHRNXUOPGC7Q2W2R7CA/?view=visitor,957024
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG52PLN4BI25VG5UHIGJRV472QMA/?view=visitor,2914075
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGHF3CGB4VLEX5FE45WIC33JB2GQ/?view=visitor,1539708
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AH6X5H4IZHPPWZYFNPQNNQIRGSFA/?view=visitor,4231659
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHI5DQVZKRIMRPWG3IWXFRSAQY2A/?view=visitor,6278454
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEP4MKVG5EHY7RVONZQBU3IQO3QQ/?view=visitor,764107
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHM2O72RMNDINZHOVAJ74X6CHYXA/?view=visitor,1065246
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEJGVV7MROXNY7P57QUZZ5J464HA/?view=visitor,298333
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGM2I33BEPUXP4KSKV7TYUEGJYAQ/?view=visitor,8030816
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHSKFL5PFIU544HFER6UVTKYRCFA/?view=visitor,757451
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEGFV4PLNRK423K6U4NNR7U3JUCA/?view=visitor,2070085
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG367ZVHC4LUWKNFF536FOSFAIPA/?view=visitor,22089
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEAKL7UBYC5PRARMFG4UKOBJ6VFQ/?view=visitor,1320592
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFEH5M6SODWB2NQZPTTUSDR7NM3Q/?view=visitor,1298191
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFEZVSPJW3BKEOLPDALI7ZHFY7FA/?view=visitor,4107613
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG6X7JS4JEYFPJZIGDHAV6CREGQQ/?view=visitor,173167
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFZSJ5MFXUBKZTLBHR7EXNRIPFZA/?view=visitor,507734
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF6GFH667UH37JKTRWMUWTH5HHWQ/?view=visitor,8046849
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHZ2KAUH75V2SQBKMSRZXZGNWYFQ/?view=visitor,81814
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHGKYTZUZZRXDS2A6JI7AZJY5FAA/?view=visitor,361910
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEDK6C6YIKGRPUGV5SDTL64PV5UA/?view=visitor,3303687
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGC6DWS3Q35GTFVJGONZSEO4Z6ZQ/?view=visitor,226028
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF66ZBH7DYOUDSO4CK2DN6PKYN4A/?view=visitor,5413199
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFO7J7B5GOOJPDKB6RBAXHA5CVUA/?view=visitor,29248038
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFU5QXJRR5LXRYOJTAPBKLBZ2E3Q/?view=visitor,1190288
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEFIGH3KYIPPGVEK5OK5BLVJVYDQ/?view=visitor,12102375
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEAGUOZ2Z42BZ2LU6LJQUC3E3OZQ/?view=visitor,1580758
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AECN5RQKVAFUSPU2TFSYYDVGN7DA/?view=visitor,468907
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHPCRMQVQYOVIYGCFBURHPSW4LPQ/?view=visitor,159406
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHV27KGOMWW5VX3KVTLBGR3JFSHA/?view=visitor,8994418
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEFKJTYAF37JY7RT6T7QEDUF7KWQ/?view=visitor,148903
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEPHQV75G4VSCEKJSVHYS4K42CDQ/?view=visitor,963969
