helpful_votes,page_url,total_review,visibility_status
"6,425",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPODJ3CHCFLR65MQHC4AYZ77ZRA/,127,Public
"2,548",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEKCJL62YWQCCXBQ5PLU55QI3XVQ/,335,Public
613,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJTR6XEDINVMFRJMJJD6BHZVK4A/,80,Public
"1,601",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSTQ3JDGW2TZB5XKBF7PD2DJOKQ/,"1,602",Public
339,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDAP55425KECDGICG74HLK22QHQ/,141,Public
907,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHM5PJ25ZY3S5GLL4GGMWY5IY4Q/,130,Public
643,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOXIPPGUTBZO4UOCXTRAH5YREDA/,126,Public
62,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHY6BH46R7WMYFKEKMKFBGG43J6Q/,10,Public
57,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3FFTOPYNFVFCYHTFC3B4E3E5VQ/,23,Public
32,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESFALCRNAIP3JUA2NEZGMBWIMRA/,2,Public
304,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMNYO3GHJRRZ24QGTOA7ZZVAH2A/,33,Public
86,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2K3YP5FHX3AAUTY24S7QZDE3CQ/,14,Public
83,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGIP3Z6EQQGFTZFOMXQI5FZ5KVQ/,81,Public
142,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNNL43IWHFZBIV6D3KEXEFWEP3A/,129,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGO3RPJF3KERYFETUJQNOS5IUZMA/,62,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2SMQVOFGQTO3YQGQUSOAJNFTEQ/,40,Public
323,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE325EUIOCDQMTFQKYH44SYGTZBA/,95,Public
558,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKJZO7GSB6T2WVBPJUYYWNRY4JQ/,71,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGN3IMCP7DFLZUCYKNVCUUTVWQWQ/,25,Public
62,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENO6LESYX52XTNKM7A3YQU3LHJA/,78,Public
171,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGD4TY7CBU3MN2JVIZQOTQIMM6LQ/,145,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFY37GAUKEFUHZMM2YDEQRF5T5EA/,8,Public
238,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNBAPGIH6VOJIHPMHVERMNCAAIA/,53,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4THSRAFF5M675MEYPKWJJ5ATLQ/,9,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTMRJP4H7BXE6DSXPIHUKBVHI4Q/,10,Public
"1,007",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEX2G5SGVNUJJWXJ752CQFF4LDNA/,506,Public
"1,852",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGK2TO5SXL3INTDWTEFWI5Y63IHA/,145,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGANRJQEUK3AAF4DZTQU7FJH7HQA/,54,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDLULNLGV6I7GQO6W62PVV2DKHA/,13,Public
35,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7A2QDBFK7FX27QQLCVVIY5JJHQ/,48,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF26E2J4JHIAR2PNYT5BHZ2QAFSA/,43,Public
125,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG76YDNG7J4N6OIUCSXU3RZVZX3A/,98,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAKKMXCPKS3476HB2K2JC46NSCQ/,57,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECPGYDKNF6IKL2NLN2H56QYNW3Q/,21,Public
128,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFU3PV6TWF4JQ5LN3Z7BHTTO73QQ/,92,Public
135,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEN5SSZ4MQ7PREYGHNNXOMMPHFNA/,62,Public
182,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHH4IPFH5CWOGQVOMOZUIOO2JVA/,213,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5LSDHBQ57Y3YUPNYRJ6AJYY56A/,146,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMUB2AET7DAOKPPIMT62IMW2FSQ/,38,Public
127,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHD7EL2KAGXVYIJOHI62LSLALHDQ/,45,Public
758,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLJUT2TLLY7ZOFX4HA72ESIIA2A/,220,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQSFUTAQHIQRQSGNUHWUCIIN2GQ/,26,Public
400,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZ65EUE2UFI6RRC5KRPSAGUHV3Q/,58,Public
66,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2VKAHEHXL2UL5YTSFA46PWZBOQ/,40,Public
224,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUKCDERJG5BOA2RBQDVWIVV6BXA/,45,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4MMLSNKBOUEWP3TNN5PAVV6XLA/,47,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHB26K3DM5ZZ3KQLWDA4I36X6C3Q/,29,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH2N634E3SSA3VQBUJIA4AUAWOVA/,40,Public
44,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEKMLYNS4Q5HFYUHDP4AQEADDA2Q/,13,Public
83,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6M5DYER4CITOFZKHFE6B53L22Q/,87,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDD6AAJFBMCGXXUW7PTI6I22NBA/,55,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHGEYTWWDEVEBC6C7BE7GCOC2TQ/,27,Public
409,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSN2VRJ3SF7TUDX3BJNQZXGRPWQ/,212,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6PJCUM24TVFXI2SELUUIXC2ZGQ/,34,Public
63,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPS4OHITXTQQKRN6PJOLR2RYSSA/,49,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH33X5FHMVLMU5VFVBLG3MVJPZHQ/,35,Public
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSIHHVQTCHB3CQSZTKFPKUHGSNA/,67,Public
143,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENZ3JN7BFXD7E7GSG6D42MRB5GQ/,87,Public
561,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAZATZRTLYJRJBSHMXR6AJXWUSA/,232,Public
678,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVASAN2LA7JXKRYOMK4QFMRMWVA/,43,Public
708,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE53OHKUZU7NYEKX6LTYS7USFBRQ/,22,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGB7FDL44BFGMJD36JUJM6NZSYDA/,87,Public
525,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFY2SMLR3MWGOKNWGIXEI6XMXQQ/,128,Public
52,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3UID5WAOS3JXQAVJTCIC43RERA/,42,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3TNV5346CKORIKG4FNV6WECQMQ/,44,Public
137,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRNGGWTEQDMPZ6MLYFA3U6RAZKQ/,68,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGE7CX4UF7KOYSA6ULEAGZT463WA/,40,Public
102,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4MH7MF44XRLBD3YPKX5QP3CLSQ/,49,Public
40,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZ7PEVNOLL2BLFNYNZBOU3HREIA/,23,Public
49,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3JZBZZRKBKQTKD2ZXV4XF2IXJQ/,42,Public
267,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHV7BMEBN46SOJT7IHIJFY7AZ6SA/,56,Public
127,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETJUWKRBUPDS3H6HLWOLWWUNLNA/,76,Public
199,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDKLCCCVCVELDCD7RM2L6W6X37A/,79,Public
105,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVCXTO6DVONAGOT27NIQEQGDC3Q/,27,Public
105,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXVLSTMPYPW4VGHA7XXKVMSWT3A/,259,Public
36,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCQUMTGF3ZQU7YSP4AQNPT23S7A/,24,Public
95,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHJ7YSDEVODPDNLR5PBHXFDIZAQ/,46,Public
91,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZDZQXOHDCSDXE47ZT2SWDCRM5A/,356,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2KZKR5R2MXYCX4MEQ6DXL5ZXNA/,14,Public
142,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBSSAB5H4TRXIXRGDOM3OQAHAKA/,104,Public
835,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLN7WGLAOWYTWOOQIGVR333FLWQ/,202,Public
592,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCW6MEC6FMM65PEYXTOIVKCL3CQ/,138,Public
395,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSR2KJEVQ4XWCLPZKP5GG23JV7Q/,134,Public
190,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMNE5ZAJFEKQME7OSISIDCA5BLQ/,42,Public
