author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,ranking,helpful_votes,total_review,visibility_status
Esmeralda344,/gp/profile/amzn1.account.AHNTTINWZBN6I74JRVATLWUBKX3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2019",3,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Your browser does not support HTML5 video.           I have had the SaluSpa Miami AirJet Inflatable Hot Tub for a month now and am happy.  I have been looking at this particular hot tub for two years now and finally ordered it. I've looked at others and have looked at reviews for all and I decided that this was what I wanted to go with. Time will tell on how long it will last but I thought I would get a few initial impressions out there.  It is larger than I expected and fits 2 people easily.  I would not put any more adults in this tub except maybe a third but leg room would become uncomfortable after this.  I am happy with the 104-degree temperature.  It is hot and I feel immediately soothed and relaxed.  I was not expecting it to feel this warm because the reviews said it would not get extremely hot but it is hot enough for my husband and I.  I live in a warmer climate and have it outdoors on a wood platform between it and the cement and it is protected under a balcony.  It has stayed 104 consistently even in chillier temperatures around 42-50 degrees. It has dropped to strangely cold temps here a few days and it still does great and keeps it up.  This is not designed for climates that are consistently under 40 degrees.  Set up was fairly easy and I pulled up some videos on the website by looking up Miami Jet.  I am very happy it has a nice cover and the hot tub inflates itself with the heat pump provided.  I have the chemicals needed and am finding it easy enough to maintain and not entirely difficult to understand.  I ordered a chemical kit that had the necessities.  I have wanted this tub for two years and I am actually happier then I thought I would be.  The bottom is comfortable and thicker than expected.  Its really quite nice and we have had company enjoy it as well.  It surpasses my expectations at this point.  I will continue to update in the following months.Update-  I have had this hot tub for several months now and my husband and I use it daily and sometimes more than one a day on the weekends (morning, afternoon, night)  The bubbles are fantastic and the temp is quite hot.  104 is hot.  I am so happy and thankful we have this.  It is easy to take care of with chemicals and the filters are easy to change.  We take the cover off together usually but its decently easy to take it off by myself and put it back on.  So nice.Update- we have had it for over half of a year and we use it every single day. It’s easy to care for and I use Bromine instead of clorine. I read Bromine withstands heat better.Update- at the 9 month mark the hot tub heater began to leak. This has a full one year warranty and I was assisted with the issue quickly. Iwould buy this tub again. I still use it every single day as does my husband.Update- if you ever get an Eo2 reading you may need to change the impeller. This is easy enough and it is called the active aqua impeller 400 gph. I used this on the old pump that was leaking and fixed it.They do not fix parts on pumps. They send out a new pump if yours breaks under warranty.  I fixed the internal part myself by watching a few YouTube videos. Just a heads up if it's outside of warranty.Update two years now- we moved and brought the hot tub with us. It survived and we are still using it every night. It's even better this time of year when it's cold. We would order again.",Ive looked at this hot tub for two years and compared others and happy I ordered-update,Verified Purchase,952 people found this helpful,,174,,,
Richard Elgar,/gp/profile/amzn1.account.AFRL427JRM74H4RLDZPU754DLMTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 12, 2015",5,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I've had this for a solid couple of months now, so probably a good time to evaluate it. I'm going to start out by noting that this is the third one that I bought over the summer. The other two had slow, and not so slow punctures, so I returned both of them after a little bit of use, and I've been using this one since the middle of August.I've used it pretty much every night. I've had a visitor use it, and my son has done too. It's a decent size for me and an eight year old, and I guess if you knew the folks, or wanted to, you could get in with 2 others, but you'd be in contact.As you can see from the photos, I decided to create a bit of a platform for it. That's because the small patch of lawn I have is very hilly/ bumpy, and I wanted a more level pool.So the good things you can probably get from the other reviews. I've loved using it, and am now thinking of moving it into my garage for the winter - I enjoy using it, but it will go below freezing soon enough and I know that the pump can't handle that!The things I've learned are hard to find information on but here's what I got.1. I'm still not sure about balancing the chemicals. I used bromine tablets, used something at the start to supposedly produce a bromine reserve, but every time I've measured the chemicals using a test strip, it registers almost no bromine. I don't know what to do about that.2. Probably related to that - despite using bromine, a bromide solution as above, clarifying solution and cleaning the filters regularly, the water still went cloudy and then foamy. The first time it was after about 6 weeks, the second time after 2 weeks. Both times I was tempted to apply a shock treatment, but instead just drained the water to start again. When I refill the pool in the garage I'll try to be more on the chemicals, but it just may be that I need to just change the water every two or three weeks, especially if it's used as much as I use it!3. I don't know if it's connected, but the punctures both appeared after I pumped the hot tub up quite a lot. Maybe it's better if it's not too rigid. Like I say, I don't know if it's connected, but slightly less pressure in the tub now and I haven't had a leak!4. To inflate the tub you use the same pump that you use for bubbles. If you need to inflate it at all later, it's a real pain to disconnect, inflate, and reconnect. I found it way easier to use a plug in inflator - something like   120 Volt AC Portable Electric Air Pump for Mattress Inflatables with Three Nozzles          ,5. I also used hot water from the house to fill the tub up. Personally, I think next time I'll just fill it up from the hose and allow the 2 days for it to heat up (which is how long it took here in eastern WA, even in the summer).6. The final thing I learned was...well actually I didn't learn this. I expected it, and it was true. It is brilliant to just sit in the hot tub looking up at the stars. When I was there with my son we saw the meteor showers this summer, and generally this works well and provides an excellent experience for around 10% or less than the cost of a 'real' hot tub. It's a bit redneck, but I'm OK with that and I haven't regretted buying it for a second!***UPDATE OCTOBER 2016So, I kept the hot tub in my garage, and it has given pretty much flawless service. I started using a non-chlorine shock treatment on a more regular basis, kept an eye on the bromine tablets, and subsequently have been getting a month or more between water changes. Quite happy about that. So happy in fact, that at the end of the season, when the price of the spas went down, I bought another one to keep in reserve. What I did not know at the time was that the model has been updated, and there is one quite significant change.The new hot tub is shallower. I'm 6'3"" so that is not fantastic as far as I'm concerned, although I can deal with it! It's probably going to be better for kids and people who aren't that tall. Another change is that the walls of the hot tub are thinner - not the material, but the distance between the outside and the water. This means that although it's shallower, there's more leg room in the tub, making it more comfortable I guess when you have more than one person in the tub.They've also updated the heater. I only used the basic functions, but it does seem to have a couple of updated features. Another thing I noticed is that the power cord is now thicker. That's probably a good thing! It's still highly recommended...but...the one I received didn't do so well on its test run. One of the connections between the heater and the pool (that goes to a filter) was a little askew, which meant that it was a real PITA to attach. Really quite difficult to get it tight enough that it wouldn't leak. Also, the bottom surface of the one I received wasn't properly glued to the base of the tub, so it kind of filled with air. I spoke to Bestway about this, and they have told me that they will replace the tub. I'll update this review as needed.*** UPDATE SEPTEMBER 2018So it finally died over the summer - in June or July, meaning that I got just under 3 years use out of it, at least every other day, probably more like 3 out of 4 days, meaning that it was used hundreds of times. I don't regret buying it for a second, but I wish I had been able to repair the tiny hole that appeared. It was on a seam so the vinyl patch wouldn't work, and I couldn't make vinyl repair glue work either. So, I started using the one that I mention above that I bought in October 2016 for a very reasonable price (yes, it was sitting in my garage for almost 2 years).The new one is a bit shallower as I mention above, but it seems (although I may be wrong) that the internal dimensions are slightly larger because the walls of the tub are thinner. The new heater seems a little more intuitive, but more importantly, the connections are bit easier to make between the tubes from the heater and the water circulator and the tub itself. My one complaint that I don't think I mentioned above in my review was just how ridiculously hard it was to unscrew and screw back in all the connecting tubes when you change the water (you have to do that otherwise there is no easy way to drain the water). It was really cumbersome, especially in the winter when it was a bit chilly in my unheated garage, and it was way to easy to strip the threads, meaning I needed to use plumbing tape). I hated it, and it always took much longer to do. But no more. The new connections sit slightly further out, and so far it has been remarkably easy to change the water, which I haven't done loads because......yeah, it turns out that using a shock treatment in the tub helps keep the water clearer. And also, cleaning the filters every few days. I should probably even do that every other day. So far what I've been doing is hosing the filters thoroughly, and that seems to get rid of all the accumulated stuff. I will change the filters every 2 months or so in the summer, but probably more frequently in the winter when the snow and cold weather makes it harder to hose those down.I'll add a photo when I get a chance of the new one in the garage. It's still highly recommended in my view!***",Redneck hot tub - UPDATED due to new model,Verified Purchase,"1,020 people found this helpful",,44192,1118,47,Public
Amazon Customer,/gp/profile/amzn1.account.AGPRA3SWZ546Q7HLM6NSZEVBCA5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 13, 2016",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"I bought this one for my  daughter and son in law.  I have the coleman green one,  SPEND THE MONEY FOR THE COLEMAN!.  Its  tougher materials and the bubble curtain is completely around the tub.  The saluspa is a 75% around the tub.  Also the plumbing for the second filter is inside the wall on the coleman and exterior hose on the saluspa.",I bought this one for my daughter and son in ...,Verified Purchase,190 people found this helpful,,141704,230,46,Public
Laurie Colson,/gp/profile/amzn1.account.AEUF4OBPRTFVXS5DF7EVUCAADC5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 18, 2016",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"I bought the Lay-Z Spa Miami in November 2015.  After running gloriously for two weeks, it started throwing the dreaded error code E02.  After doing mighty battle with the plucky little hot tub, here is what I learned about diagnosing and fixing E02.  These are roughly in the order of how likely they are to occur.  First, ALWAYS START WITH THE FILTERS.  If your filters are old or dirty, it makes all the other problems worse.  In particular, because the plumbing between the filter and the pump is a low pressure system, it's prone to drawing air INTO the tubes. So, if your filters are dirty, the pump has to pull harder against the filters, causing even lower pressure and drawing even more air in.  Once enough air starts getting in, it can form bubbles that are big enough to interfere with the water flow sensor, which trips E02.=====  Reason #1: Dirty filters  =====To diagnose:- Unscrew filter assembly, open it up and have a look.To fix:- Hose that bad boy down.  Bestway says to do this daily.  If the filter is clogged with goo and algea, I haven't had any luck cleaning it out, you just have to change it.=====  Reason #2: OLD filters  =====To diagnose:- If your filters have been submerged for more than two or three weeks, the paper-based material gets soggy and congeals together, significantly restricting water flow.  You REALLY DO have to replace them every two or three weeks, even if they don't look dirty.- To confirm this is causing problems, remove one filter and run the pump, putting your hand over the return inlet to feel the jet of water.  If the water stops flowing as soon as you reconnect the filter (and you then get E02), it means the filter is the only thing obstructing water flow.To fix:- Replace the filters! Amazon has a pack of 12 for $40.=====  Reason #3: Air leaking in at the connectors near filters  =====To diagnose:- With the pump off, bleed all of the air out of the transparent vinyl ""side hose"" by slowly loosening the connectors on either side (some water will drip out)- Re-tighten connectors- Turn the pump on, and watch for bubbles to gather in the hose, or listen for a faint hissing- Elevate middle of hose gently to cause any bubbles to gather in the middle of the tube where you can see themTo fix:- Tighten the connectors; consider wrapping threads in teflon tape- Be sure to hold filters underwater until all air is purged before screwing them on, otherwise it migrates into the tube===== Reason #4: Air leaking in at pump connectors within the egg  =====To diagnose:- With all other sources of air ruled out, turn the pump on and listen for air going through it (sounds irregular and gurgley, like when you first start a garbage disposal with a big chunk of food).  You can also look for bubbles EXITING the egg through the short transparent bit of hose behind connector C.- Gently twist the ""T"" connector (B) going into the egg by lifting/lowering the side hose.  If the air sounds get worse, one of the two seals inside is broken.  (You really have to baby this connector otherwise, especially when the water is cold and the vinyl is stiff).To fix:- Flip the egg over and remove the bottom panel- Loosen the hose clamps on either side of the short piece of vinyl tub within- Heat both ends of the tube up with a heat gun or blow dryer- Re-seat both ends on the external connector and the pump, and tighten the hose clamps behind the barb on the fitting=====  Reason #5: Side hose is too short, pulling a kink in short hose behind elbow connector  =====To diagnose:- Examine the short tube behind the elbow connector (embedded inside the tub) to see if it's collapsed badly enough to restrict water flow.To fix:- Buy a foot of vinyl tubing (1"" ID, 1.25"" OD) from Home Depot ($2.50)- Cut the side hose in half (voiding your warranty, of course), and splice it back together again with the new hose, but with 2 or 3 inches extra in the middle- To do the splice, heat up the new hose with a heat gun (or blow dryer) and work it over the cut ends of the side hose (I was able to get 5 inches of overlap on either side, making the side hose 2 inches longer total)- Fit two wormscrew hose clamps (<$1 each) over the middle of the overlaps while the vinyl is still warm.  Be careful that they don't have any sharp edges near the tub wall.=====  General thoughts  =====- It's not good to run the pump dry, so when you first turn it on, either let is soak for an hour (to allow water to work its way in through the filters), or unscrew a filter to let water rush in all at once (albeit unfiltered).  If you don't do this, you'll almost certainly get E02 a couple of times before the pump fills up enough to support water flow.- The tub deflates a bit after first inflation, because the warm water works all the wrinkles out- The vinyl side hose and second filter are a design afterthough from Bestway.  The early setup videos and product photos don't show it or mention it.  I believe that's why it causes so many problems, it needs some redesign.  The biggest issue is that moving the side hose around can really torque the T connector going into the egg, loosening one or both of the seals within.- I believe rubbing and brushing the filter when you wash it just packs the gunk into it further, recommend water only.- When installing the tub in a location, don't allow the egg to get squeezed against a wall, which will push on connector C and crush the pump supply tube inside.  Remember that the tub walls expand as you fill it, so allow a couple inches between the egg and any walls or railing.  This was probably my biggest mistake of the whole adventure.- I didn't get to this point (thankfully), but if you get really desperate and give up on the whole thing (after voiding your warranty), the component parts of the spa are in high demand on ebay.  You can part out a Lay-z spa for as much as it's worth, if you're patient and don't mind shipping things.- As with any hot tub, there's a significant cost to operating the thing, almost entirely because of the heater.  Running the pump flat out to keep the tub at 104 degrees cost us about $100/month.  That was in the winter, with an ambient temperature of ~40 degrees.  Electricity is 11.8 cents/kWh for us, so I think the 2kW heater was on about two thirds of the time.  By bringing the temperature down to 102, and turning the heater off completely on days we don't use it (about half the time), the cost dropped to ~$35/month.  I think I'm losing a lot of heat through the slab it's installed on though, despite a foam pad, so I may put it up on a short platform to see if I can decrease cost further (I am very cheap).",How to fix error code E02,Verified Purchase,186 people found this helpful,,1482496,705,26,Public
Geradette Tschada,/gp/profile/amzn1.account.AGIVXKTJBLNFPPJPTY34IMAS6BSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 13, 2017",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,At first I was very happy with the spa. I bought it in August. it is now November and I have had multiple leaks.The patches don't work. To many small leaks to fix. I went to a pool store to find better patches and they didn't work either.I purchased 2 additional spas as gifts. I hope they don't also leak. The plastic on top of spa is very thin. I do not recommend this spa at all. It is truly garbage. Every type of patch I tried failed. Terrible. I would like my money back.,DO NOT BUY THIS SaluSpa PRODUCT,Verified Purchase,79 people found this helpful,,316336,96,33,Public
Chris,/gp/profile/amzn1.account.AHG3IDIZQNFOO5XBMEHZXQNGCAAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 8, 2014",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I bought this as a soak after work or over the weekends.  At this price it's about the price of a 2-3 day hotel stay with a professional spa, but lasts a LOT longer than that.As to the negatives: there is no seat, no ""jets"" that you would imagine in a professional grade tub, no lights and the temp gets to only 104, and takes a while to get there.As to the positives: cost.  As another reviewer pointed out, most people want a lounger, with jets for your neck, back, arms, legs and feet but to get that you're talking $8-10k AT LEAST.  This has an easy set up and easy fill, with easy operation.  I set this up in my basement and with a large dehumidifier can keep the humidity to around 45% which is more than safe.  While it doesn't have ""jets"" that you would picture at a professional jacuzzi it does have a LOT of rolling bubbles and when you lean back against it gives the same effect.  Not the ""flesh pounding"" you'd get with the professional grade but feels like a light massage on your back and neck.  The lid does a GREAT job of not only locking in the heat but the humidity also.  Make sure you keep up on bromine etc just like with all hot tubs and you'll have no problem.  Even with the drawbacks listed above, I would highly recommend it.  Underwater lights are a bit tacky (IMO), and I was on the fence about the bubbles and no jets but they come out and foam up at such a rate it does the job and I'm happy with it.  The temp gets to only 104 but I have found that sufficient.  With professional level spas they can get to 115 and while I have found it feels nice, I can only do 15 minutes and usually get out a bit dizzy.  At 104 it's about right.  The heat penetrates the muscles and when you get out you're not dizzy from the heat and no ""temperature shock"" from leaving it.  I would like to say the temp goes from 104 to 100 within 10 minutes but I have not found an issue with that as the heater will kick on and keep it in that range.One warning I would like to say is that if you have any images of sitting in it with snow falling on your hair etc...forget it.  As with all hot tubs it injects ambient air into the water to create the bubbles and what do you think happens to 104 water when you inject 28 degree air?  That's right, the temperature tanks faster than the heater can heat it up, real quick.While the professional level tubs can hack it, this one can't.  I don't have a problem with that because this runs off a 110 v circuit and professional tubs require 220 or more and come with an electric bill to match.  This tub will add about $8 /wk to your bill while a professional level tub will jack your bill by 20% or more, easy.  Probably close to 30% if it's outside in the winter (I used to own one at a previous house I lived in).All in all, for the price point it outperformed my expectations.  If you're buying it expecting professional grade, you're going to be disappointed.  You won't get the pounding jets, lounger and broiling hot water, but you won't be paying $8-10k with a 30% jack in your electric bill, forever and ever Amen, either.  On the other hand, if you're up for a hot soak after work with a light massage, this is for you.",Perfect for the price,Verified Purchase,"1,238 people found this helpful",,2320121,1476,12,Public
Willy B,/gp/profile/amzn1.account.AF5GDZB3EZ3YPSMQVIKJHORRJROQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 6, 2016",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This is by far the best item I have purchased on Amazon.GOOD:The tub shipped in a couple of huge boxes.  The initial installation was really not too bad and can be done in less than 30 minutes.It's surprising durable, we have had this item outside in freezing rain and snow in the middle of Oklahoma and it has run like a champ!  In fact it has ran nearly non stop for some 6 months now.The maximum temperature is 104, which is like a nice hot bath, the pump produces enough air bubbles to be enjoyable.The display screen on the pump is rather nice and uses pretty simple options to run the tub.The cover is rather nice, its quite large and really helps lock in the heat.The power cord is heavy duty GFCI so you dont have to worry about shocking yourself.It's pretty Big! I am 6'1'' and my fiance is a full figured gal and we fit in there with a lot of room to spare!BAD:The air bubbles are a bit loud, however nothing major.UGLY:The worst part about this item are the small O-ring/Gaskets inside the plumbing.  They are easy to replace but there appear to be zero replacements. I used a couple of rubber gaskets I got from Walmart and they working pretty well.  In the time we have had it we have only had one tiny leak and it was due to just one of these little O rings wearing out.","Stop Right Now, Buy this Tub!!!!! It's amazing.",Verified Purchase,86 people found this helpful,,1705798,140,64,Public
Meester Shack,/gp/profile/amzn1.account.AE23GZKEXQ3ODPLBPFFIXMJCZR7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 22, 2014",4,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I bought it after reading reviews and I like it.  It's not a lot of things, but what it is, is great for the price, especially if it holds for up for even one year.  I would prefer it a couple or four degrees hotter, but it's adequate at 104.  I really wanted to use this winter, so this is what I've done... I put one inch builder's Styrofoam insulation under it, I put R19 insulation wrapped in mylar and wrapped it around it, also made a insulation stuffed muffin top for it.  Hopefully it is well insulated and the heater won't have to work too hard and it will last outside all winter.",I bought it after reading reviews and I like it. It's not a lot of things,Verified Purchase,985 people found this helpful,,202114,1190,213,Public
Punker McCrackin',/gp/profile/amzn1.account.AG7SUU4OSGEH23JAGPKWKWDZ5I3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 13, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"****UPDATE*****8/27/2019Brought the hot tub out of storage top ring look deformed once inflated. Reduced the air in the hot tub but still looked deformed and the sides had too little of air in it.We used it one time before it popped.........never again lasted just over a year.Spend the extra and buy the better Coleman version. Heavy duty walls and construction.*****UPDATE*****9/14/2018Had the hot tub for the about 5 months now it held air but looks like a bloated marshmallow on the top in spots. The top ring is not even, you will see others with pictures of what I am speaking about. I also found that you will need to watch how full it is with air. It seams to expand in the summer heat and got really tight. Also the side wall are not straight up and down, and have more of a inner curved look. So the top and bottom of the side wall sticks out more. Not sure if this is a defect or how it was made. Our old Coleman Saluspa have flat wall top to bottom.The inside graphics have all warn away no big deal but this adds to how cheap this unit really is made. I really don't think I will try and use this in the garage in the winter this year. For some reason I really don't trust that it will last through the winter. And from what I have read most people that have stored it have had leak issues the following year. So it sounds like a one year kind of hot tub.My original pump from my Coleman Saluspa last just over two year, the o-rings inside started to deteriorate away and started to leak. The old pump was run everyday for the two years in the summer and winter. I have had to use the new pump that came with this unit and so far so good time will tell.So bottom line looks like we are stuck with a wavy topped $300.00 kiddie pool, just waiting for it doom.****Old review*****We previously owned a Coleman Saluspa. And loved the hot tub using it almost daily and year round outside and in the garage in the winter. Iwill ad we live in Chicago and had -10 degree weather this year. In a non-heated garage it worked perfect.But I used an air compressor to blow it up as I could not reach the valve with the filler hose and attach it to the pump.  And overnight the beams inside blew out as I put too much air in it. My bad, so thus is why I purchased this model. I wasn't going to spend another $400 bucks. Though well I'll save some money buy this one cant be that different.Big mistake, as a former owner of the 77"" x 28"" Coleman Saluspa all I can say is this was a huge mistake. And even thought I paid under $300 and bought a Amazon warehouse like new damaged package. Btw it was in perfect no damaged shape never been opened.This hot tub is a disappointment which I will explain.1- the bubble jets only go a little more than half way around the tub. So between the two filters you have no jets just dead space. On the bigger model you have jets all the way around. What is this the no wake zone? I understand this model only has 60 jets compared to the 120 the bigger model has but really?2- The second filter inlet tube runs on the outside of the hot tub? Great design flaw and why you will not be able to use this at all in colder weather. As you will be constantly loosing heat to the exposed tube. The larger model has the tube built into the side wall. I did not run the tube and left the cap on the inlet. You will not be able to do this as I still have my old pump. You can cap the pump inlet but will need to buy a cap. But if you run the hose buy some pipe insulation foam to keep the heat in the tube.3- Just doesn't seam to fill as tight as the bigger model. Looks cheap and flimsy once filled and the security top cover  is not snug like the bigger model and sits loose around the edge. Almost looks like a kiddie pool really when filled shinny and cheap looking. Plus you get no gauge to tell you it is full. Just a filler tube. So you run it for awhile and it just stops filling. Again it looks under filled and cheap.4- No ground cover pad included? Nothing no tarp no bubble pad? The bigger model comes at least with a bubble pad. Buy some foam to put under it and a tarp.5- This will hold two people tops. I am 215 lbs and the wife is 130. If our ten year old comes in we are right on top of each other. So good for one or two comfortably. Any more or if you are bigger buy the next size up.Bottom line spend the extra $100 and buy the 77"" x 28"" model. You will thank me later it is just much better built. if I would have not used the compressor to fill the old Coleman Saluspa I would not be leaving this review.Only plus I will say because this the Bestway model and not the Coleman. You can get an extended warranty on it if you register it within 15 days of purchase. This is not offered on the Coleman. Why is this important just read the reviews on pump issues and you will see why.Also it is still hot water and bubble jets so yes it is relaxing.On the pump I have this new one as a backup and I am using my older pump from my first hot tub as all the connections are the same.","Spend extra and buy the 77"" x 28"" Coleman Saluspa model you'll thank me later.",Verified Purchase,22 people found this helpful,,83762175,169,105,Public
Robert,/gp/profile/amzn1.account.AHHVJ2WDWEBKPMV56RSCRSUTIVQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 22, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Typical garbage from China. D.O.A. Control panel non-responsive. I swear that 65% of the stuff I buy from China is inferior and gets sent back.I will not consider ANY item like this again. PITA to deal with if it fails. Get everything unpacked and setup, get the location ready and then boom. Fail right out of the box. Royal pain to get it all packed up to send back. I will need to have it picked up as it's quite heavy and in the meantime I will have funds unavailable for 2 weeks probably plus 3 hours of my life wasted. What a great experience. Never again.",Sick of returning junk.,Verified Purchase,27 people found this helpful,,84409356,211,53,Public
