page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio/amzn1.account.AHNTTINWZBN6I74JRVATLWUBKX3A/?view=visitor,174,,,
https://www.amazon.com/profilewidget/bio/amzn1.account.AFRL427JRM74H4RLDZPU754DLMTQ/?view=visitor,44192,1118,47,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGPRA3SWZ546Q7HLM6NSZEVBCA5A/?view=visitor,141704,230,46,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEUF4OBPRTFVXS5DF7EVUCAADC5A/?view=visitor,1482496,705,26,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIVXKTJBLNFPPJPTY34IMAS6BSA/?view=visitor,316336,96,33,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHG3IDIZQNFOO5XBMEHZXQNGCAAQ/?view=visitor,2320121,1476,12,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF5GDZB3EZ3YPSMQVIKJHORRJROQ/?view=visitor,1705798,140,64,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE23GZKEXQ3ODPLBPFFIXMJCZR7A/?view=visitor,202114,1190,213,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7SUU4OSGEH23JAGPKWKWDZ5I3Q/?view=visitor,83762175,169,105,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHVJ2WDWEBKPMV56RSCRSUTIVQQ/?view=visitor,84409356,211,53,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHTRY7AD54FHH7Z62KGTL3IPRMCA/?view=visitor,429631,69,81,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJWW6P2AQKGQUQRW53G26AWIEEQ/?view=visitor,7046997,23,8,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHLHH3BHDBK2BDRGYLV4ALEX27WQ/?view=visitor,3594124,42,18,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFOFNJ67ZPP7B275HTOT4PTMAJBA/?view=visitor,11404028,13,4,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AERP6BQYACOLDQKKRU3EFSRZ7REQ/?view=visitor,435505,101,134,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEJCRMJDQPAD2QZLVLVYSWVSQSYA/?view=visitor,5445394,6,14,Public
