helpful_votes,page_url,total_review,visibility_status
521,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAA22QSRITESCES3PBUFICACVVA/,14,Public
436,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCXNZMADAPAVRAKNQ5ATIYHA3KA/,72,Public
474,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH2XQHZJUZAU4PASJKFY5RXRKEEQ/,21,Public
282,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLTOR76CIKXLRFYEVYXSTPZRF5Q/,38,Public
225,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUAIISYQ6F5ZJCD3NTV2RZTRTHQ/,102,Public
183,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMRWBZLVZVVCOS5S6NO7PNTYYDA/,14,Public
2897,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLKXHSBETXCAPRDRZLJTDDEVRBQ/,2521,Public
194,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFJUKWS5G5TNLBCJ2SGA7ATJJPQ/,22,Public
96,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKUTQ5HV3XTUUXSR5AETTKX3F3Q/,30,Public
120,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZ3QYTPSX7MDCN4J6GLSUTJKVHA/,20,Public
117,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLPMNA2RRQJVJAEUK5FOUFNCQHQ/,44,Public
360,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGGN74KDBLOLPTC63JJXSM7YZYA/,172,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7AYQIKNAWNG4X4VIESOE2ZKPVQ/,58,Public
402,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWHZAGY3ZOVYN6GCPTPDPVVKV5Q/,227,Public
190,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFGH7I655WNQN6CH7JGFRLVTXSPA/,37,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVSQENJYHY3MRVIAXXEQGMS7PVQ/,10,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEW6UHN5XSGFDXGIHTKZBC4FZLMA/,1,Public
85,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHI6BFJGC6MS3LGTH77ZFMIGVGGQ/,69,Public
54,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKQBMMBMUMQRT6VROM24FA4FS5A/,108,Public
560,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGW2IRGDKP2NDFEQDGDBA7DOE2CA/,52,Public
197,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLCV56URUGJT7OHFO6UOJXEU4UA/,65,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKO24JKFWHDW6YPJBA4UXE3Z2IQ/,22,Public
91,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFB643VOPHMAIS6FZ6IUAJYWAPQA/,53,Public
124,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLEKU7H7V5K3U77KMVGGHPPD4PA/,137,Public
112,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZFP3Z5GMVXKC5FG6HL2RADFWLA/,47,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELBVDHQT6GXAZKAJUKBLAH5PSWA/,40,Public
1996,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZYBNGU73EKE5LJ3G5KBDIS2R5Q/,70,Public
148,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPWGF3XWJGW5GX5NC65ZHHURJSQ/,46,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVYTC7KVWSKA5KVQNHZ6LODPHPA/,56,Public
292,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBVKWRKWPBJYCMKHJOEJQV2YKQA/,176,Public
106,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDSNKSW3DQ3LOQTIBLAQR3DLYDA/,40,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHCRENUMUEU644AHCU4EALD56NUQ/,26,Public
133,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5Z3ZQCVAF4L7F6NSKKBXQBJTZA/,59,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDLQGUL6A6OWGFFDMVTTQTCKXUA/,16,Public
342,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKZQPM7NCPSVAC2WXQFIRMGHJCA/,155,Public
407,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAJLWYKEZ4UTLCWVCVS5PHMG5IQ/,40,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYJQRSLIXEFYA3YS652GE35NCFQ/,65,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECOAY3ZZYOGMQ7HWMFIRMH4V5HQ/,32,Public
1072,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF47IWZCBWR42UQH2LUFQMAVZM7A/,119,Public
187,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVM4SFJXNIZKIQPRJV5FGBY7YKA/,53,Public
67,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHVAYKIKY3JUCINTZOZF5QDYKQ3Q/,109,Public
127,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFY3IVAYBE2LFPXNDNOSZ6Z7SUZQ/,52,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTIIPKERX5HT5IJOBZBWRLSB6EQ/,18,Public
328,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHERCQ5DBFURHO7RSRIIDLTQRVJQ/,156,Public
255,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOHR7ZBMRN3Q7EESRIXUEDZXOHQ/,40,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3IUESH23GL2HOEDJWFPOQQMXSA/,48,Public
159,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCEDEVA5QVTUOUSNKCK34FBLZVA/,144,Public
517,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXOBZSXQPJGXPAHEMD5HWMXIT7Q/,214,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEK6WEFMUYQMMMMEMGITMT6NL24A/,4,Public
17580,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETGSOE6YE5FT4H4FQHYEMUEJ4NA/,3922,Public
122,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZPW5PUVM3CNGLFITRFCKPZSTEQ/,51,Public
97,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOKUWW6RQEU563SJ3HS2GSESSHA/,60,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZVRJ2XSJLOX3OXSA3JVBRH3RGQ/,39,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEI2KI4CSW4LFR4XL43COTGJXENA/,19,Public
58,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPOS3XRR2VGHU763B7K4MHAT4IQ/,75,Public
330,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHP5LV3NL76VHS5WZGOTLDWM5XFA/,145,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTQYBBJSZ7ZDVKLKSNVFW5AOYVQ/,5,Public
64,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCT6XUALUWOJDYX4EB4VH3F5LNQ/,153,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEV7QTL33Y2GEORY2R6JX222WEZQ/,98,Public
119,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMYSW4RJJNWJHJKJOPDQEBIBSUA/,74,Public
116,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3KLU2STX2RNJWM75QMTZM6KCTQ/,33,Public
628,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6VWYHPUYOKOKNW5ET3RUJ2PMVA/,201,Public
