helpful_votes,page_url,total_review,visibility_status
268,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFTIUF2PJB4DSH426W473YJBELA/,8,Public
803,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGETHZ54GGMSQVQZBVZRFM6KP7DA/,433,Public
774,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBN2CAX5N5HJKISUW6XXH5QMXWA/,146,Public
"1,436",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLYVOCFEQJVA4OXTJIPZZSVQ4CA/,450,Public
321,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6C7UYOPQLQYVIQAOGLGFK3MBEA/,130,Public
705,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFABIZT75CRHBTITGUOSHOZQLQCQ/,84,Public
59,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGURGLYTIT6X6MDWSCRDAENNFIVQ/,12,Public
432,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFM2KUNUYWODSKIEQEF5IFGB5OIQ/,61,Public
265,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFG5U5UF5YDRAPJGV3XTOA4UCNBA/,234,Public
170,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6QN6V5Q5EVH6WLXI3OXXI7O7PA/,77,Public
75,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWUQ2WK3OMXZNFEP22PNTNA366Q/,26,Public
83,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFG4PRXLRMNYMR3MZWNN6MH5O5ZA/,27,Public
158,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIGTJSBUGU4MIOGMNEVYEXCE4SA/,58,Public
106,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFGIYV5BROKHJNKOZWLOLMCENKUA/,46,Public
83,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEG2MHQKSJSZSJFZ6T4WZP627BIA/,63,Public
100,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBKMF3FKYNGCM2EXK2T4MTA7U2A/,93,Public
132,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHII6UF2EMRW2DCKVLQRVYEUJ2OA/,108,Public
67,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFK6T6ONFKA4A6VWES75CVOQYO6Q/,34,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDCPIVDKJHVM7NC2OXT3LAIJ5KA/,7,Public
235,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHORPWGAF4REW3AGGDYM6AKMRTHA/,123,Public
720,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5K4A77RS5BERRETJYP6UCUCVQA/,209,Public
904,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNNQCDPUIIV3OR4MLYRUM7DKH5A/,87,Public
475,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRCLQRV26AY2C4VPC2J2ADLMGJQ/,181,Public
87,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGX7NPPPHTGRYXSNYSP6YITHKUQ/,139,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHCDWCWSEDIZJFXLSYIEJZEOEUCA/,41,Public
470,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUDC3R2YCZPIWZWXNAEN73XL5EQ/,334,Public
311,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPNDJGU6FDQM2O3CNYEBO7NAWMA/,225,Public
536,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFID4IEFBDNOZCOB752I5QAYK7KA/,125,Public
"2,609",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWFS5TBSG75PIZIII4T4GEDAWSA/,"1,183",Public
538,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHOBI2OF3R6DAFDS2KDAPEZCISQ/,289,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDZXNYYTT77SFY5WGKNDPZXRPDA/,38,Public
163,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3IRTQLBV2DJVU2MRJJRMKAFBDQ/,43,Public
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4EY6BTY2YCZITLG7S5RWX64IZQ/,50,Public
185,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESACGFB5YCEMCYBEUQOUTUPFD7Q/,34,Public
133,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPK5X7FMECJA57LDGKDQDFFJASA/,125,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVGHEYMUUQS7XZKIOCKLED2ZFKA/,69,Public
53,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZIN6SGLMCUM6B6JEIAIJGESVEQ/,22,Public
618,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZHSRRNEBAWENEVOD7Y5GJJAF5Q/,176,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFOB6F3GOVBVWSCDLCGIQYE6RDSA/,57,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZGAIYV6PWCMBAYU6ZK4VJNGEAQ/,47,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHH2HHVHZE5DLUR4M3NTBNAGGSNQ/,20,Public
184,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMDS6DJ6WOEAFQEQ2AC3CTQKBIQ/,43,Public
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELFIP3QWTKJX4N2F7VQJRO2JOXA/,14,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCYF37HDRTMFS5CVGC33DCCZRDA/,4,Public
82,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEMY4XAOA5NTSGX4IGOTDVP6AOA/,39,Public
114,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGDYUOBX4I4L5SQWWPXMUMDP6WQ/,10,Public
57,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYGHAROKINQNVMYK4ULAERKMI5A/,22,Public
230,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWT3E7HPIIXRYAMGHEYL2LZQFUA/,49,Public
35,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTDRSQK4XG36POJ23V5K7GF2MZQ/,52,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTKNLF6UQ2QE77IGE65Q2XDMIHQ/,6,Public
257,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3WBQBJZQKCGLYGYLNNTFVLPYVA/,117,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZ7PZ5FTBVTPUSSGYBKTSFQH7SA/,20,Public
237,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHN2YWSWNMD7VW2JLSIHMW7CXJIA/,123,Public
81,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSHSUE35NPNDVEGQR5JRH7QTPNA/,68,Public
99,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLVHBEEZQTHHBPQRWUQBSNIX45A/,37,Public
"1,669",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUXQV7MAJ7KD3YWXVRM6PT26PTQ/,157,Public
428,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWUNNSXYZ2DU44BRWOT3ILWY27Q/,251,Public
157,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGURU5GL3WGJ7JZJBOXZXGJLK2YQ/,125,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFULRKD4G5KP2IPER57FKAE4ZE5Q/,35,Public
99,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNPIZID3WM6ZKQT4UWJNV2B5ARA/,139,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6NTHRJ5ZMC4RGIOJFLTUSZHC2Q/,25,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLWKF4OFCUW23PJ2GY2L7JQO4SA/,65,Public
113,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFRTH3CDWUBQKLK5RRVHQOXV2IHA/,96,Public
123,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVEWKMCUZNUITK4U3FREBUYQW2Q/,14,Public
81,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHENR5W2A2VHRU6RSTPK6MN5LLTA/,89,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEW5ATB6Z4LUVWSG3DRZAQSF72WQ/,62,Public
39,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGGLFNSXPYUY7CZU2OH6VDRUMGQ/,16,Public
