page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFTIUF2PJB4DSH426W473YJBELA/?view=visitor,1069710,268,8,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGETHZ54GGMSQVQZBVZRFM6KP7DA/?view=visitor,20262,803,433,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBN2CAX5N5HJKISUW6XXH5QMXWA/?view=visitor,48421,774,146,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGLYVOCFEQJVA4OXTJIPZZSVQ4CA/?view=visitor,3544,1436,450,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF6C7UYOPQLQYVIQAOGLGFK3MBEA/?view=visitor,718869,321,130,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFABIZT75CRHBTITGUOSHOZQLQCQ/?view=visitor,126153,705,84,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGURGLYTIT6X6MDWSCRDAENNFIVQ/?view=visitor,5911484,59,12,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFM2KUNUYWODSKIEQEF5IFGB5OIQ/?view=visitor,221743,432,61,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFG5U5UF5YDRAPJGV3XTOA4UCNBA/?view=visitor,37285,265,234,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE6QN6V5Q5EVH6WLXI3OXXI7O7PA/?view=visitor,344712,170,77,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHWUQ2WK3OMXZNFEP22PNTNA366Q/?view=visitor,1493524,75,26,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFG4PRXLRMNYMR3MZWNN6MH5O5ZA/?view=visitor,2151461,83,27,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGIGTJSBUGU4MIOGMNEVYEXCE4SA/?view=visitor,84318155,158,58,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFGIYV5BROKHJNKOZWLOLMCENKUA/?view=visitor,3888917,106,46,Public
