helpful_votes,page_url,total_review,visibility_status
740,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXBHEGM4BEIHYXHWKZSV3CMMZWA/,506,Public
168,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4CU2H22HEFEQWECYK6Y7UP33DQ/,11,Public
"8,294",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEW3GXS55W7AHA6G6KV3RTIFV5GA/,"1,037",Public
569,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4LRWDGM4LZG6GWUCPT2RYACZYA/,314,Public
137,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYNSDHGHJBBCDFELB5CIIRIPYHA/,26,Public
41,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSQPIHTILMYQHLFKX7ZSFLXTTZA/,40,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH52RZ536RCJSUBWZ24VU4NDB36A/,46,Public
821,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBI7JEKIP6ICWBKPDMTHZXWUCMA/,341,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE5CEZXZ7SKG73NOEGSIBHJX7AJQ/,22,Public
"4,233",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAH7TRSQRPKBN7E6KTD2SKI6QJQ/,513,Public
256,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSC2RCE2CDFP7L3PQ5MHNCUHDCQ/,135,Public
533,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWBR4DFDHYMQJDGFL7Z22JL4N4Q/,45,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPF4XK4DN7IXTVHBE3YZ6FWWAUA/,62,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF72ZNIYX3HEVI7QZ43XV37SUGIA/,51,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEE3QMKROVWV6XVCYNKNKCDK55A/,18,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHG4DFK36CHUQTGPGQRHEJJDKX7A/,16,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNR6XNROYMM2X5OK4G6D3MNILPQ/,53,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AET3ADXCNPKDEZX6TOD3GM4RQ2KQ/,10,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIEADRBWLQGFSFFPR5VG5SCODQQ/,22,Public
385,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZFXOFXVP3U2BAH4GRSPNRJYG5A/,255,Public
49,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLBP6MQK44QWBE4SKWVU7ODM23A/,41,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AERWB2XZFLFTUJIZAY2SZYDYFEPQ/,39,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELKBOPGAPY4SWEATKPKCTQD7H4Q/,28,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFW3RBM65NDUO4LUTVRPY765ED3Q/,8,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYOEOPU7WM3EAM4CVTAJHPHR4LA/,27,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3ZYWOLI5KDV7XANLLNFI4YB45A/,59,Public
106,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCCGPKW267J23VVTESFLXNFNODQ/,64,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHF5EY4SS75F2TSRWZKBZVJYLCOA/,36,Public
290,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEW45RL4AZDKIU5K7B3PUY5IKP5A/,80,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLUIJ5ZVJODFURYYTTUTZJJNVYQ/,36,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRYISBH4AFVAEFLHF2W2W5X6N5A/,4,Public
35,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQYONW6BPFJTKMS4CVN2UAO57YQ/,136,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCUR4CQU6532NQKKDGB64BRCX6Q/,22,Public
442,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUTKSRT7UVGK2L5CU6DXCKYYA7A/,346,Public
407,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3CKXY5RH2CM3OBOVSYZUAMB5LA/,28,Public
250,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7YOX4URGCXIEEBZY6RA6IAF5MA/,54,Public
383,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE62KF7HYAT4MOD54VASABRYQ5OQ/,116,Public
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKIIKNWZSXLHC5WHT2OWZEDB7HA/,45,Public
95,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFW47CDQ4QDRVK62Z37AJMXI4PTA/,38,Public
62,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUFXDZ3MF74ISLGBO44F7ZM46QA/,101,Public
89,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYETNVAU4VOOWXB257DXZX4BD7A/,37,Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUAXDTJ2JQMBW3WNTVCRIDJC47Q/,180,Public
132,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSRJGBOJGFTQAKBWUR5EQIJPG4Q/,99,Public
155,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNIWJZMVBUE4EK7TQNZDEISBQ5Q/,159,Public
94,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFX75A722TXZUFTHQHU6XKGUI7SQ/,241,Public
335,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYI3ZYKCCHD7TKK6Z6K7G6VMATQ/,248,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7UECXPAHMVE7333DYN3Y4RZ6QQ/,13,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUWZZVZ7J74GCSZE7OFANF65VTQ/,32,Public
79,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEX7JJXZ3TOKVW5CRI4FZHF2H2MA/,140,Public
45,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5MWZA44BAKU3JBEOUQCPAJ236Q/,56,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUUKITG4Y5HYUTFSQQK6MDIIUKA/,60,Public
153,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5EJJU5ENVV6PK655FAYYIG57KA/,66,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7HTHLQWRUN2HM74XYDX66EJQUA/,60,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVPHJ7W2XVHJROTAUPJ7FKFMQTQ/,28,Public
,,,
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3SFW6VQZ356VZO7KLUHX6LCDJA/,14,Public
