helpful_votes,page_url,total_review,visibility_status
635,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGTALFRNSI6CHMLN6YZ3TTEGTQQA/,104,Public
136,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGL5FGAVG4DGZLYD4PVV7ST5AAVQ/,15,Public
119,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYHZOGWZYY4U4H3DYZG73C6DOTQ/,17,Public
435,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6MWO47TVIELFVLIWMOAJI54ZYA/,800,Public
573,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDYJEO6TA2OVPKPOTGD3L3C3GZQ/,191,Public
75,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGN4DDHPMTU6XJMVJWCW2ENVGB4Q/,19,Public
58,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJE4ZS7FSYQYZF72V64KNFYTZOQ/,14,Public
166,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7NG2BFYWUQMNMERSYTAF6Z36FQ/,124,Public
85,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDMSWIGXCPFSHRFPOV7VXRNBPTQ/,95,Public
54,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBPKE4TVTGAG7POKDKICOC7GG5A/,52,Public
564,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJMVA5TJQABU4VAM4OHC663PANA/,226,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEMMVHEEAOEZIPP4Z2GGN7Y5NTA/,25,Public
290,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFBPWGJU4E2AWU4AHHLNDAKKHBQ/,144,Public
40,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIMYECLISLGEIQRPHV7TEYNXFCQ/,43,Public
179,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUK4UZHPKDCWHKWZZREXKEOYDCA/,151,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGI2XXWCT53JMJVH65BPPYVTVLQ/,63,Public
92,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFRCFA62YQMRNRDN4KTLQAHGXIHQ/,25,Public
41,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJMYVJMU5J7RNGGCAWVN3DD6JHA/,8,Public
216,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFU25L2ODGT6HO7SIWKJE2KC3VZQ/,113,Public
52,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKF46YPU7WWALZU4IDJXMWFYBOQ/,75,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7K677UUSC4FERAHLK2YWCBGJOQ/,31,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZN4UIBL5FTLHKWNCS23PTGQHCQ/,23,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYQWA3P6MFNQI6GIQLFXPAJT7HQ/,29,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGMQFYNK36YRYY7MT3EIIN7JQTPQ/,1,Public
346,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELYM3RPHST44RLJHIQFQGQRNFMA/,60,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEN6YRPEKY6OB3HPA3H5SL3LZRA/,8,Public
70,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRR6QPNQDK4WKOKMA3YKAXKARPA/,34,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5UKTKKY2TVEATXO5I5FHOWOGAQ/,4,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3MBJ52EYCP2V7SVV4RA7RWRXBQ/,10,Public
182,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6A6HWZMT673Y2U4YGT4BVE7W7A/,112,Public
128,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDW2OXNMOV2Y3FWKS3PEDIBCY5Q/,65,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH73DZ5IOXGCOMMMRSGPKUSE7JNQ/,83,Public
816,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5G7V3N34NXOSVSMWB4JZXEZ7YQ/,"1,014",Public
254,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKANVTXCHK6FJTG43HHHHHI2SZA/,170,Public
718,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFGXQHWOI7ZU4YSEMM7PJQWAS4WA/,60,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFACALYRXIM7RCQU6IHKUT56VHQ/,25,Public
72,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFXBO2HFF4GHXVHD2X3B3IGXY6ZA/,131,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE73PNK4UDH34IIIDHORAL5PP3TQ/,6,Public
243,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGDKEE5KR5ZW4PBRXPSLGSMK2MKA/,61,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGGAX7HIBB73SHZKNIIGO7VBYONQ/,39,Public
79,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKYSJ7G6375Q7XNCZD7UHIS4PWA/,100,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3RSKHITIITWGWZGZUGISXRTRHQ/,69,Public
66,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJLQ4I2GZSEKSFYOU34OQUCLMPA/,69,Public
51,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6EMGNKCJNJ2CBD7GH5EULOX6RA/,59,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGI53YAFHYI4KTKNJJ5FHR6KYBDA/,22,Public
182,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECD6K7ZYRERQCIA7GXTKHOGFLSQ/,168,Public
218,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFXEBRXPAXRPVFFRTIRDRBVMU3PQ/,48,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWZAK2PRC6SB5RNS7ZNSVDNJRJA/,37,Public
288,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVDNO4E4X2I7F7EC2QBKF7HU4NQ/,74,Public
49,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH22RPSRWLDLNF7DJ43AJAULL5SA/,56,Public
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLFN6ML4CHEZQREJPIFERFARBMQ/,47,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFV4SWBDJ5RACD5Y4JAOV5K5RX6A/,5,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELAC55MP7MXFXU7YS7BZ3TYNN4A/,27,Public
232,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYLZCU4GIMYDVFWZA2LAZ5P24XQ/,197,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGN2GLSYPF3G5XSFDV2STCXJSFA/,9,Public
"1,031",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFAHDCNLJ7E3HVOXDMB4HUMM7HA/,442,Public
94,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYZRUQNOCCQJT6ZLDLWERRTFNDA/,71,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2IUZBNAODRWNT6SQBDG5LCVJRQ/,50,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWZ2UYFKKRCORLAO7GTQZW6UVNA/,26,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDPM3YBEN656GOWYEG2DWBZPPUQ/,3,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWRVXDNOHOUMF3AIPKZ57UGMQEQ/,13,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXS7XTR7AHEVPY75QGIJLJTNQUQ/,18,Public
154,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZJHTL2I5WA5X7PPERFWHSY5YIQ/,147,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAWYBRECBOROR7LTTLA2YTPSH5Q/,37,Public
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWF772O5YIAUO4Z5HAVMHIT7CCQ/,66,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7MM7EGQT3XSDDLK5DGEIIYG5TA/,26,Public
127,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE23NLTVF46UAQILWL6FXL274R2A/,137,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHO2R3PLQTUUHTCA2D336L3PY3A/,20,Public
74,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJ7LZFX7VORK7FWNEWWRNMFJKPQ/,75,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6R27BPWHGIYGY2WHAD2VEZLJEQ/,17,Public
67,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEKYQBNOPXM3K5OIH27OBTB7XNKQ/,19,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF574HOI3TQEJ7DUPVJD6LZ2BTZQ/,83,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXK45SCU77YQJHJYJ2AODPUZRUA/,24,Public
48,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3ZAF4P2RNTU3EXZETR7NPOIRXQ/,29,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCLK5TR4XYD3V6I6HJVJQRUQSKA/,20,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKOHUPMH7MZZ6ERWL24TMGO3GWQ/,12,Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKZIM6QZ6FW7TT45HL72NBANXBA/,39,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEASWHPMQSUWKXLMRBFTYVKGUKNA/,26,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBXEGMRAGCLW3AEXS7G2KGZKQ3Q/,10,Public
131,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEB2JNZAJJKQLLQTOGRSDUCUPU4Q/,175,Public
136,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH2Q67264KXB4TPY7V3CR3LM7OBA/,310,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHVB37JSTISPO4JS266QKGR75ODQ/,68,Public
82,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFV5HKPMJA5SPWDNNQIHFOSCYJFA/,48,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFH4CSGMA3TBA3RFLGPDD4SKD7DA/,23,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYA2T57RTTT4MM5HK47CMLYXA7A/,19,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFX36CKADB47WJHBIPMT35KJBMVQ/,74,Public
77,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJEFANXBYAEJ24DNZZALZI5VQ2Q/,65,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJYCNTVZZDNAJLYJL2EZPHXZFWQ/,92,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESP3PHH5SYBXL5VXUQXILZSATTQ/,47,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIVP7ZXEJ2IWQ4JRT2S6NHPEKYA/,14,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4GIPQWZ3IDVA3YAYCV7ONTTF2A/,11,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEP77OXYBGMT6O267IWT3XVMHZDA/,21,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVH3C5EWTG4FQFFKLRWAH2DH6AA/,12,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMB6UNUDN7DMV5VRGAFQMI3F6SQ/,61,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXRSPKOKXTTF57NZQF35H4MWKOA/,35,Public
86,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFBTBKDBHBYZ6N2BY3JXGVTBOOA/,150,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSFUYU2X62LPUQ7LREG4U5U3PPA/,12,Public
108,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSXYOZQ3S7VHONP5C3T4D2QCZQQ/,104,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHSEDCUN7PH2UF7JJHWWE4QOUQA/,19,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4Y2EQAPDOIG2UXTL2WWQU5GRPA/,34,Public
151,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHONRW6OOO2OFNBMG27TDAKAIOGQ/,127,Public
"8,370",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFV22L7AEKI2LW6HMLRLUKNYVBGQ/,"1,684",Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRFGA6NTOHYLVUBQVE4GTLZGGBA/,21,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTCAXM5PVXCWYVOJ7JRE4SLRF5A/,8,Public
90,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3CVK7U3J7KRQ6UQJNPBZFJ4WJA/,130,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4LSXBEC6QEJWCCIZXS4K3U656Q/,49,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELD5GEQAQ3JW22DOY7GPZ3DEQNA/,2,Public
294,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMTAZY6RIFGR3YXDZGTLCHHO6PQ/,552,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZD4J75A4XEIQPWOL4RJH3XFSTA/,12,Public
218,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGPLCPWZVGLE3P5BRTBLCTS4SRDQ/,115,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWHQ3Z2ZZKX5KGBEJJSDQPJDRGA/,94,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEC3IS2EZJ6K3RRJQYIBUOV4NYMA/,54,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFXOD3PT4YNUTWADOHNZ6CGVJAZQ/,16,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6ETD2AZEK5M4NCYGCLMWRTRLSQ/,39,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFQ4WSOND7QKPN7QICMFLQEJP6Q/,27,Public
59,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHX6P22ITNQE5PVE5U62T3UBEINQ/,45,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUWMVSFMAAUOAUSG4UFFMSZC7CA/,20,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2IDXGWA3UKJVE42XJMHUPE6YHA/,36,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZ6MTGXZQ7ZQCPJ7WU3FKZQDYDA/,26,Public
58,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOERTRJIBNGSJK7ZCAKGGDL5V3A/,70,Public
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJBWH6F37ZFD7HC745G5DPNSW4A/,46,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4V5NPG42KHEVJFPNPUFU6ODRSA/,123,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGH3M3FTNYQV5WMEFIK4ZNDNHPLQ/,30,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVX5B3HZVT426PU5ASVQYTNAROA/,48,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMCZ5HSULXCDGDV7QPDD7LB4MHA/,23,Public
137,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXL4I4B3SLILBITKG55BTRNID2A/,140,Public
59,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVDK64SKPUJCN57MHJJKZXG4VLQ/,102,Public
63,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5NEHB3OE2LQCHKWD4T7RXTJRQQ/,132,Public
119,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHVUDLIUDADEYGLFERZW35LRMPFQ/,56,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGERSQUQ6PJZXAE5HUPOYDD33HLA/,50,Public
117,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3DY5UKGETRFFEHQBYWGXMPIUIQ/,58,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFELMXPMZLICFEGEKDCGJRYD2TQQ/,33,Public
,,,
213,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQCWPXKODCVBBRZGTCG6BZOVGUA/,39,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHJYDSZ2KUH6BBXTN7ZNKLZZQKQ/,1,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEQNYTHREB6B3RDJPPXSNSQR23Q/,12,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEIGB4XAXTR6JZNDRZLTBHXX7XA/,68,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAKUC7IL7G5GRFGLQIGZZ5OFKXQ/,54,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGOLWPIIPUJQGL2Z3M2GOCYD3QQ/,27,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFN5HIA6STPHFN3TW6OBH3OHJNJA/,14,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFGAZI7RCOOSC7LMG6PLER2LVZCA/,21,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECFV5X2XZFAJSZXJMUT6234C4UQ/,21,Public
459,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUADQ7NGVGZAQ5XZMEDJEORBJKA/,168,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPMFCLIUMLYSLM266OI4C3S46IA/,23,Public
139,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7AOTRMKTU4VXTTGSUSNEZFRBBA/,89,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZ3NRBEF7EPMBWHG4HEXBTBUPZA/,14,Public
230,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3EIVHNLV2FQALDXWQR5BWJWVOQ/,78,Public
26,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBTDNC22UUAH7L4BOVY2T4MRI3A/,5,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZ2BPDN3PYFR37W6MVWULKW24IA/,9,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZAAYCEI4M2ADGJCL5CAVR7H42A/,23,Public
98,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHMOREQC6WXMKS4RSWKQHAUFHCCQ/,79,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEK5RTYSQRS5A7M5N6WAIQXLLFLA/,32,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHU6SFXBZF72B53OV6E7Y3BGZO4Q/,24,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFS7C3ZZSSKVYWGDGLPQ6KJTHPUQ/,11,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWLM5S5AAMCEFNVU7RGUUZKLY2A/,17,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE2J6LB5EZVDQG63PPNHBE6SBEYA/,13,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEJBSAP4L6PWKCQGWTB5BFRZATQ/,7,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBZEWUX54KWTLSUUUII6UU4OWNQ/,20,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLV2W3TT4NE22UGDW3WGXQRHQIA/,43,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIZVWY6XJMIPJDZXSDD4IVLOF2A/,20,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENISVP4ZG2GGENWY4SNZHOGAA4Q/,16,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPKMGZXMJEOSW4OO3UP7WV66UXA/,35,Public
237,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUKR7N3VSG3HTT5DJLCM5QBTOIA/,109,Public
17,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOVZEAOBLGXDETMBH6D3ZHA5YNA/,35,Public
28,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHNIPU3JCBLAZH66G4JIIB7TP4A/,8,Public
,,,
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUIBCCUG74S3E5TAU7EEPJT527A/,58,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPQ6Y5HGO3WBKFTJAE7BYDUTLQQ/,31,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6ULLLM4TMN35NDDAKRXHTXUVTA/,16,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGMCTZ3SIY4X3EI56U3P52WI5CQ/,21,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE43WINF3JDLD3K6CEIBPM4XO3QA/,22,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXGS66KIKTGOV7EPPSQYTMFMZQA/,130,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNXZBEJBQ5UAQLA5DIZJPWIUYYQ/,4,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUOPMKZI2K27TBNXH5GUBR2JEJA/,19,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH2JLXC475ZGSZRE7NW3KSHPTWMQ/,15,Public
