page_url,ranking,helpful_votes,total_review,visibility_status
https://www.amazon.com/profilewidget/bio/amzn1.account.AGTALFRNSI6CHMLN6YZ3TTEGTQQA/?view=visitor,14849,635,104,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGL5FGAVG4DGZLYD4PVV7ST5AAVQ/?view=visitor,581776,136,15,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGYHZOGWZYY4U4H3DYZG73C6DOTQ/?view=visitor,1450897,119,17,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AH6MWO47TVIELFVLIWMOAJI54ZYA/?view=visitor,7147,435,800,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEDYJEO6TA2OVPKPOTGD3L3C3GZQ/?view=visitor,14491,573,191,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGN4DDHPMTU6XJMVJWCW2ENVGB4Q/?view=visitor,1020579,75,19,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJE4ZS7FSYQYZF72V64KNFYTZOQ/?view=visitor,918412,58,14,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7NG2BFYWUQMNMERSYTAF6Z36FQ/?view=visitor,173843,166,124,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEDMSWIGXCPFSHRFPOV7VXRNBPTQ/?view=visitor,350233,85,95,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBPKE4TVTGAG7POKDKICOC7GG5A/?view=visitor,392831,54,52,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJMVA5TJQABU4VAM4OHC663PANA/?view=visitor,4065,564,226,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEEMMVHEEAOEZIPP4Z2GGN7Y5NTA/?view=visitor,83633738,17,25,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEFBPWGJU4E2AWU4AHHLNDAKKHBQ/?view=visitor,258271,290,144,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEIMYECLISLGEIQRPHV7TEYNXFCQ/?view=visitor,1963731,40,43,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUK4UZHPKDCWHKWZZREXKEOYDCA/?view=visitor,55402,179,151,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEGI2XXWCT53JMJVH65BPPYVTVLQ/?view=visitor,396430,71,63,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFRCFA62YQMRNRDN4KTLQAHGXIHQ/?view=visitor,3577347,92,25,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEJMYVJMU5J7RNGGCAWVN3DD6JHA/?view=visitor,3822048,41,8,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFU25L2ODGT6HO7SIWKJE2KC3VZQ/?view=visitor,48826,216,113,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGKF46YPU7WWALZU4IDJXMWFYBOQ/?view=visitor,474399,52,75,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AG7K677UUSC4FERAHLK2YWCBGJOQ/?view=visitor,4145300,33,31,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AEZN4UIBL5FTLHKWNCS23PTGQHCQ/?view=visitor,10209053,16,23,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGYQWA3P6MFNQI6GIQLFXPAJT7HQ/?view=visitor,8575618,5,29,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMQFYNK36YRYY7MT3EIIN7JQTPQ/?view=visitor,26564938,11,1,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AELYM3RPHST44RLJHIQFQGQRNFMA/?view=visitor,381047,346,60,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGEN6YRPEKY6OB3HPA3H5SL3LZRA/?view=visitor,83920369,1,8,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AGRR6QPNQDK4WKOKMA3YKAXKARPA/?view=visitor,867593,70,34,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AH5UKTKKY2TVEATXO5I5FHOWOGAQ/?view=visitor,83792982,1,4,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AE3MBJ52EYCP2V7SVV4RA7RWRXBQ/?view=visitor,5944034,11,10,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AH6A6HWZMT673Y2U4YGT4BVE7W7A/?view=visitor,125155,182,112,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFDW2OXNMOV2Y3FWKS3PEDIBCY5Q/?view=visitor,526716,128,65,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AH73DZ5IOXGCOMMMRSGPKUSE7JNQ/?view=visitor,1049335,61,83,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AF5G7V3N34NXOSVSMWB4JZXEZ7YQ/?view=visitor,2089,816,1014,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFKANVTXCHK6FJTG43HHHHHI2SZA/?view=visitor,339390,254,170,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AFGXQHWOI7ZU4YSEMM7PJQWAS4WA/?view=visitor,149970,718,60,Public
https://www.amazon.com/profilewidget/bio/amzn1.account.AHFACALYRXIM7RCQU6IHKUT56VHQ/?view=visitor,3447816,26,25,Public
